,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart",0.943765824140072,"[0.9560520838218292, 0.9611096751649467, 0.9470321780198544, 0.9245145356089224, 0.9560520838218292, 0.9787833684761, 0.9642081922827597, 0.9189851481232237, 0.9611096751649467, 0.9787833684761, 0.9623928467453876, 0.916315091472272, 0.9470321780198544, 0.9642081922827597, 0.9623928467453876, 0.9082651216854244, 0.9245145356089224, 0.9189851481232237, 0.916315091472272, 0.9082651216854244]",spacy,574.3462319374084,0,lessconcon
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,0.9094738316414149,"[0.897769416178606, 0.9429477902866682, 0.9089359935820897, 0.9356409273725637, 0.897769416178606, 0.8916303535333917, 0.8673687960426959, 0.8813085569323738, 0.9429477902866682, 0.8916303535333917, 0.9196004325963852, 0.954437011955713, 0.9089359935820897, 0.8673687960426959, 0.9196004325963852, 0.8950990379336637, 0.9356409273725637, 0.8813085569323738, 0.954437011955713, 0.8950990379336637]",spacy,576.0824825763702,0,lessconcon
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,0.9568073518853486,"[0.9728776775733065, 0.9449392770840158, 0.9492094957885049, 0.9797962902110391, 0.9728776775733065, 0.943836797866355, 0.9539678586566208, 0.9692239247740038, 0.9449392770840158, 0.943836797866355, 0.9524237325480018, 0.9450373312156173, 0.9492094957885049, 0.9539678586566208, 0.9524237325480018, 0.956761133136022, 0.9797962902110391, 0.9692239247740038, 0.9450373312156173, 0.956761133136022]",spacy,535.9902627468109,0,lessconcon
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,0.9549657172376259,"[0.9550441843125085, 0.9463984406566199, 0.9436274689575838, 0.9664359081407539, 0.9550441843125085, 0.9532503474633429, 0.9441850883383271, 0.9692524211682215, 0.9463984406566199, 0.9532503474633429, 0.9563025575629411, 0.954604871551356, 0.9436274689575838, 0.9441850883383271, 0.9563025575629411, 0.9605558842246056, 0.9664359081407539, 0.9692524211682215, 0.954604871551356, 0.9605558842246056]",spacy,510.3733444213867,0,lessconcon
4,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,0.9123250025732423,"[0.812468274090974, 0.8458627148038279, 0.8313707728883604, 0.8306714145672219, 0.812468274090974, 0.9588371363719814, 0.9571280723327709, 0.972396421240492, 0.8458627148038279, 0.9588371363719814, 0.9743208134650811, 0.9842446090984683, 0.8313707728883604, 0.9571280723327709, 0.9743208134650811, 0.9559497968732436, 0.8306714145672219, 0.972396421240492, 0.9842446090984683, 0.9559497968732436]",spacy,394.49408888816833,0,lessconcon
5,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,0.9535359983643558,"[0.9519719477206027, 0.944721444739289, 0.9432036096325626, 0.9528827926483489, 0.9519719477206027, 0.9712639055528329, 0.9482373804422758, 0.9611731125115327, 0.944721444739289, 0.9712639055528329, 0.9526687009239806, 0.9621476794792941, 0.9432036096325626, 0.9482373804422758, 0.9526687009239806, 0.9470894099928393, 0.9528827926483489, 0.9611731125115327, 0.9621476794792941, 0.9470894099928393]",spacy,472.1814715862274,0,lessconcon
6,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,0.9813927549188438,"[0.9848077838058099, 0.9722288433045567, 0.9974693740121141, 0.9753910610443914, 0.9848077838058099, 0.9825198515657311, 0.9853201772684501, 0.9932440420352321, 0.9722288433045567, 0.9825198515657311, 0.9728292215393733, 0.9747289263712063, 0.9974693740121141, 0.9853201772684501, 0.9728292215393733, 0.9753882682415739, 0.9753910610443914, 0.9932440420352321, 0.9747289263712063, 0.9753882682415739]",spacy,533.181875705719,0,lessconcon
7,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,0.9596599817543485,"[0.952729805944979, 0.9374813103022487, 0.9464187532200853, 0.9479349248319261, 0.952729805944979, 0.9653472599756608, 0.9765941458206078, 0.9793808849072962, 0.9374813103022487, 0.9653472599756608, 0.9583177004874457, 0.9607309126893018, 0.9464187532200853, 0.9765941458206078, 0.9583177004874457, 0.9716641193639366, 0.9479349248319261, 0.9793808849072962, 0.9607309126893018, 0.9716641193639366]",spacy,542.187070608139,0,lessconcon
8,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart",0.9075183644302651,"[0.923421383268669, 0.8937722193993654, 0.871328377764045, 0.9277205389913898, 0.923421383268669, 0.9074586309224946, 0.9067280023576134, 0.9372089143673396, 0.8937722193993654, 0.9074586309224946, 0.8587063931323418, 0.9553532141782494, 0.871328377764045, 0.9067280023576134, 0.8587063931323418, 0.8934859699211436, 0.9277205389913898, 0.9372089143673396, 0.9553532141782494, 0.8934859699211436]",spacy,471.6626045703888,0,lessconcon
9,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",0.9542241534606862,"[0.950461203282666, 0.9410704555842437, 0.9518949545451505, 0.9515354618832841, 0.950461203282666, 0.9465631092579329, 0.9621521017094157, 0.9564966309926253, 0.9410704555842437, 0.9465631092579329, 0.958997903506982, 0.9426900775476469, 0.9518949545451505, 0.9621521017094157, 0.958997903506982, 0.9803796362969177, 0.9515354618832841, 0.9564966309926253, 0.9426900775476469, 0.9803796362969177]",spacy,571.1412589550018,0,lessconcon
