index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate
0,well i m gonna finish my bath now have a good fine night,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.96,"['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ', 'i m home but wat s still <end> ', 'i m in inside office still filling forms don know where to the box lady <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m in inside office still filling forms don know where to the box com <end> ']",['i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],"{'still': 0.1111111111111111, 'inside': 0.08888888888888889, 'office': 0.08888888888888889, 'filling': 0.08888888888888889, 'forms': 0.08888888888888889}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.03805208206176758
1,i love u 2 babe r u sure everything is alrite is he being an idiot txt bak girlie,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,1.0,"['i m going to room my parents i haven t know u know u much i ve ritten stuff to you <end> ', 'i m going out to buy mum s present ar <end> ', 'i m going 4 e lunch now <end> ', 'i m in inside office still filling forms don know where to the bank of ur hea txt love to see her ', 'i m going to room my home <end> ']",['i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],"{'going': 0.11764705882352941, 'know': 0.08823529411764706, 'room': 0.058823529411764705, 'u': 0.058823529411764705, 'parents': 0.029411764705882353}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.01171255111694336
2,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 aps1 50 sp tyrone,1,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,1.0,"['i m in chennai velachery <end> ', 'i m in inside office still filling forms don know where to the bank of ur hea txt love to see the ', 'i m going out to buy mum s present ar <end> ', 'i m in inside office still filling forms don know where to the box lady <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ']",['i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],"{'inside': 0.075, 'office': 0.075, 'still': 0.075, 'filling': 0.075, 'forms': 0.075}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.011311531066894531
3,lol ok ill try to send be warned sprint is dead slow you ll prolly get it tomorrow,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.9047619047619048,"['i m at home now lei <end> ', 'i m home ard 4 e buy i m blogging <end> ', 'i m going to room my home <end> ', 'i m home ard 4 e buy i m blogging at magicalsongs blogspot com <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ']",['i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],"{'home': 0.12121212121212122, 'ard': 0.06060606060606061, '4': 0.06060606060606061, 'e': 0.06060606060606061, 'buy': 0.06060606060606061}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.01272273063659668
4,winner as a valued network customer you hvae been selected to receive a aps900 reward to collect call 09061701444 valid 24 hours only acl03530150pm,1,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,1.0,"['i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m going out to buy mum s present ar <end> ', 'i m in inside office still filling forms don know where to the box lady <end> ', 'i m in inside office still filling forms don know where to the bank of ur hea txt love to see the ', 'i m going to room but i m really too can do it a tactful way to get it <end> ']",['i m in inside office still filling forms don know where to the box com txt chat 2 stop texts call '],"{'inside': 0.06818181818181818, 'office': 0.06818181818181818, 'still': 0.06818181818181818, 'filling': 0.06818181818181818, 'forms': 0.06818181818181818}","{'inside': 0.07142857142857142, 'office': 0.07142857142857142, 'still': 0.07142857142857142, 'filling': 0.07142857142857142, 'forms': 0.07142857142857142}",0.013765335083007812
5,sorry man my stash ran dry last night and i can t pick up more until sunday,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,1.0,"['i m going to room but i m really too can do it a tactful way to get it <end> ', 'i m home ard 4 e buy i m blogging at magicalsongs blogspot com <end> ', 'i m in inside office still filling forms don know where to the box com <end> ', 'i m going to room my home <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ']",['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],"{'going': 0.05128205128205128, 'room': 0.05128205128205128, 'home': 0.05128205128205128, 'com': 0.05128205128205128, 'inside': 0.05128205128205128}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.011067628860473633
6,no i didn t mean to post it i wrote it and like so many other times i ve ritten stuff to you i let it sit there it was what i was feeling at the time i was angry before i left i hit send then stop it wasn t there i checked on my phone when i got to my car it wasn t there you said you didn t sleep you were bored so why wouldn t that be the time to clean fold laundry etc at least make the bed,0,no i didn t mean to post it i wrote it and let you know what i can t like peeps enough for it <end> ,0,0,0.9814814814814815,"['no i decided that only people who love to pick up in tampa tampa or am here <end> ', 'no i decided that only people who chat to pick up in an hour <end> ', 'no i didn t mean to post it i wrote it and let you know who it s ok can t forget it s her temp will ', 'no i didn t mean to post it i wrote it and let you know what i can do it if you can do it if u can ', 'no i didn t mean to post it i wrote it and let you know what i can t done anything to do it s ok ']","['no i decided that only people who chat 2 receive as in the world or no to see the parent s hu b hu ', 'no i didn t mean to post it i wrote it and let you know what i can t like u and u r enough txt 2 ']","{'mean': 0.09090909090909091, 'post': 0.09090909090909091, 'wrote': 0.09090909090909091, 'let': 0.09090909090909091, 'know': 0.09090909090909091}","{'2': 0.08695652173913043, 'hu': 0.08695652173913043, 'u': 0.08695652173913043, 'decided': 0.043478260869565216, 'people': 0.043478260869565216}",0.022400379180908203
7,captain vijaykanth is doing comedy in captain tv he is drunken,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.95,"['i m going to room <end> ', 'i m home ard 4 e buy i m blogging at magicalsongs blogspot com <end> ', 'i m in inside office still filling forms don know where to the bank of ur hea txt love to see the ', 'i m in inside office still filling forms don know where to the box com <end> ', 'i m in chennai velachery <end> ']","['i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ', 'i m in inside office still filling forms don know where to the box com txt chat to stop texts call ']","{'com': 0.06060606060606061, 'inside': 0.06060606060606061, 'office': 0.06060606060606061, 'still': 0.06060606060606061, 'filling': 0.06060606060606061}","{'inside': 0.07692307692307693, 'office': 0.07692307692307693, 'still': 0.07692307692307693, 'filling': 0.07692307692307693, 'forms': 0.07692307692307693}",0.01453089714050293
8,yeah i can still give you a ride,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.9523809523809523,"['i m going to room <end> ', 'no i decided that only people who it s not in our tampa and i had to apologise cali is to pay and ', 'i m going to room my parents i haven t know u know u know u much much is gd <end> ', 'i m in inside office still filling forms don know where to the box com <end> ', 'i m going out to buy mum s present ar <end> ']",['you are being contacted by our dating service by someone you know to find out who it is call from '],"{'know': 0.12121212121212122, 'going': 0.09090909090909091, 'u': 0.09090909090909091, 'room': 0.06060606060606061, 'much': 0.06060606060606061}","{'contacted': 0.14285714285714285, 'dating': 0.14285714285714285, 'service': 0.14285714285714285, 'someone': 0.14285714285714285, 'know': 0.14285714285714285}",0.014034748077392578
9,i could ask carlos if we could get more if anybody else can chip in,0,i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ,0,0,0.9565217391304348,"['i m in chennai velachery <end> ', 'i m going to room my home i m in bus tomorrow <end> ', 'i m in inside office still filling forms don know where 2channel it 2day ur leadership skills r strong ', 'i m going out to buy mum s present ar <end> ', 'i m going to room but i m really too can it be a little time u <end> ']","['i m in inside office still filling forms don know where to the box com txt chat 2 stop txt stopcs ', 'i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ']","{'going': 0.0967741935483871, 'room': 0.06451612903225806, 'chennai': 0.03225806451612903, 'velachery': 0.03225806451612903, 'home': 0.03225806451612903}","{'txt': 0.1111111111111111, 'inside': 0.07407407407407407, 'office': 0.07407407407407407, 'still': 0.07407407407407407, 'filling': 0.07407407407407407}",0.01480865478515625
