,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,the only camouflage carvey should now be considering is a paper bag to wear over his head when he goes out into public to avoid being recognized as the man who bilked unsuspecting moviegoers,the best thing the film does is to show and at any youngster ,0.0794880390167236,polarity,xspells,dnn,,1,good thing film youngster,else-,0.0,0.9039672308753304,31,0.12759146094322205,14,0.2595536112785339,"i have to admit i walked out of runteldat . i did go back and check out the last 10 minutes , but these were more repulsive than the first 30 or 40 minutes .",-0.1336754113435745
1,louiso lets the movie dawdle in classic disaffected indie film mode and brother hoffman s script stumbles over a late inning twist that just doesn t make sense,once one experiences mr haneke s own sadistic toward ,0.2127609252929687,polarity,xspells,dnn,,1,experience mr haneke s sadistic,else-,0.0,0.7837329306436469,27,0.19290682673454285,10,0.2086357027292251,"hey , who else needs a shower ?",-0.0746963620185852
2,i m sure if you re a haley fan you might enjoy yourself me i didn t care for it,it s a bad thing when a movie doesn t be much substance ,0.1847956180572509,polarity,xspells,dnn,,1,s bad thing movie doesn t substance,execrable,0.0410692435289965,0.8889676195256663,19,0.15346848964691162,14,0.2202409654855728,it took 19 predecessors to get this ?,-0.0690110549330711
3,somewhat blurred but kinnear s performance is razor sharp,an average b movie with no aspirations to be anything ,0.1325197219848632,polarity,xspells,dnn,,1,average b movie aspiration,execrable,0.0109372638724294,0.6918657165727125,11,0.03272990137338638,11,0.1852414757013321,kinnear gives a tremendous performance .,-0.100554421544075
4,detox is ultimately a pointless endeavor,de que no el de su o que resultado su el resultado <end> ,2.036547899246216,polarity,xspells,dnn,,1,de que el de su o que resultado su el resultado < end >,fluffy disposible,-0.0245089647385613,0.1388938665568792,14,0.08181530982255936,14,0.066281571984291,"if you've got a house full of tots -- don't worry , this will be on video long before they grow up and you can wait till then .",-0.0952790528535842
5,the movie is saved from unbearable lightness by the simplicity of the storytelling and the authenticity of the performances,it has plenty of laughs it old kind like to show up ,0.1642942428588867,polarity,xspells,dnn,,1,plenty laugh old kind like,execrable,0.0069546725169314,0.8289750284219417,19,0.2811887860298157,13,0.025208855047822,"personal velocity ought to be exploring these women's inner lives , but it never moves beyond their surfaces .",-0.1367134749889373
6,an affable but undernourished romantic comedy that fails to match the freshness of the actress producer and writer s previous collaboration miss congeniality,it s a bad thing when a movie has about its every point ,0.1568210124969482,polarity,xspells,dnn,,1,s bad thing movie point,execrable,0.0285082782404255,0.8364698063952266,23,0.3456079959869385,14,0.1190285459160804,"the tone is balanced , reflective and reasonable .",-0.1410035789012909
7,a poorly scripted preachy fable that forgets about unfolding a coherent believable story in its zeal to spread propaganda,if you re in this cast a movie fine we have to a very ,0.1638240814208984,polarity,xspells,dnn,,1,cast movie fine,else-,0.0,0.7778167290643477,18,0.22423550486564636,15,0.2779290974140167,fear dot com is more frustrating than a modem that disconnects every 10 seconds .,-0.1736215651035308
8,viewed on its own terms treasure planet is better than average family enteainment but true fans of the stevenson s novel will likely prefer disney s more faithful 1950 live action swashbuckling classic,every so often a film comes along that is so stupid ,0.1053736209869384,polarity,xspells,dnn,,1,film come stupid,execrable,0.0469238419285126,0.8742089338275182,33,0.13640548288822174,12,0.1560434103012085,binoche and magimel are perfect in these roles .,-0.106785163283348
9,enormously enteaining for moviegoers of any age,skip the film on the most of ideas <end> ,0.1686322689056396,polarity,xspells,dnn,,1,skip film idea < end >,execrable,-0.0547679656962177,0.7228008897703462,9,0.375179648399353,10,0.1259407699108123,kinnear gives a tremendous performance .,-0.0571882165968418
10,vividly conveys the passion creativity and fearlessness of one of mexico s most colorful and controversial aists a captivating drama that will speak to the nonconformist in us all,once the movie territory like a different old of which ,0.1868798732757568,polarity,xspells,dnn,,1,movie territory like different old,execrable,0.0218139653986241,0.8686603899546138,27,0.22919531166553497,11,0.14252470433712,binoche and magimel are perfect in these roles .,-0.0269498582929372
11,a pleasant enough romance with intellectual underpinnings the kind of movie that enteains even as it turns maddeningly predictable,a superbly acted and funny gritty fable of the humanizing ,0.1455550193786621,polarity,xspells,dnn,,1,superbly act funny gritty fable humanizing,else-,0.0,0.8467412979921353,17,0.48987269401550293,11,0.2872364223003387,fear dot com is more frustrating than a modem that disconnects every 10 seconds .,-0.0443491376936435
12,about the only thing to give the movie points for is bravado to take an entirely stale concept and push it through the audience s meat grinder one more time,earns its laughs from stock redneck types and from the ,0.0836002826690673,polarity,xspells,dnn,,1,earn laugh stock redneck type,else-,0.0,0.8425502389178918,28,0.17032451927661896,11,0.2679193019866943,"despite the pyrotechnics , narc is strictly by the book .",-0.127826452255249
