,closest counterfactual,target instance,dataset_name,text_method,not find,runtime,model_name,vectorizer,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,"and you'll earn 500, 000, payable after the first month's completion.",Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,spam,Polyjuice,590,31.94103527069092,dnn_64,,earn 500 000 payable month completion,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2241267007095383,0.8169086181696489,21,0.16087082028388977,21.0,-0.1740643978118896
1,You have an important customer service online dispute resolution.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,590,23.938313007354736,dnn_64,,important customer service online dispute resolution,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.2766178993280113,0.8912261812802666,7,0.3812739849090576,21.0,-0.0073029780760407
2,What do you think for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,590,20.44231915473938,dnn_64,,think xma,important customer service announcement freephone 0800 542 0825,0.3537872588502201,0.8719349645396433,28,0.3855353891849518,8.0,-0.0953748077154159
3,"There have been two teams played in the tournament, the Boston Red Sox in the first and the Indians in the second.",U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam,Polyjuice,590,27.756833791732788,dnn_64,,team play tournament boston red sox indian second,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,0.222457367513345,0.7996383728843451,23,-0.02121599391102791,22.0,-0.100388191640377
4,Who recorded WhatsApp?,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,Polyjuice,590,22.76567435264588,dnn_64,,record whatsapp,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2528500455924813,0.6064404173581204,26,0.14283673465251923,18.0,0.1128972172737121
5,tone:,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,spam,Polyjuice,590,24.883174896240234,dnn_64,,tone,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.0999600688476456,0.4392542087776976,32,0.30163073539733887,17.0,0.0854744911193847
6,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. EMPTY 2 cancel send STOP","cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost aPS1.50. 2 cancel send STOP",spam,Polyjuice,590,24.47929716110229,dnn_64,,cmon babe horny turn txt fantasy babe m hot sticky need 2 cancel send stop,important customer service announcement freephone 0800 542 0825,0.3845905870537815,0.9961045507762786,4,0.9339972734451294,27.0,0.2061058729887008
7,call 08712622,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)",spam,Polyjuice,590,24.33676838874817,dnn_64,,08712622,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.2307098459731818,0.6264809621358306,19,0.40167397260665894,18.0,0.3438688814640045
8,Nice a shag? I do.,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,Polyjuice,590,17.663472890853882,dnn_64,,nice shag,important customer service announcement freephone 0800 542 0825,0.2855224499648742,0.8737513555455407,17,0.4286174476146698,8.0,-0.0223641991615295
9,download the content you already paid for,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,spam,Polyjuice,590,22.53034734725952,dnn_64,,download content pay,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3013522946497199,0.9222537971993096,15,0.6828005909919739,18.0,0.1485772430896759
10,Do remember you can place as many free web browsers together to create a Widget?,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,spam,Polyjuice,590,22.916366815567017,dnn_64,,remember place free web browser create widget,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.3064366246087872,0.9240847944759824,14,0.12470663338899612,18.0,-0.1159475147724151
