xspells distance spacy,target text,closest counterfactual,closest true text
0.8901585558219367,six ways to give the gift of generosity to children and teenagers the new york times,witches unite to cast ‘ binding spell ,witch unite cast binding spell trump follower
0.7845815185699013,bill gates says trump didn t know the difference between hpv and hiv,white house releases photos of mike ,sell original painting go white house
0.8409451150316668,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,‘ i have a could be a signs not you ,trump have second thought spend deal
0.8114402687338085,democrats projected to win pennsylvania district that went heavily for trump,five reasons why belief in authority ,plane carry pence skid runway laguardia airport
0.8448212267302443,russian spring unveils new caoon series mocking us propaganda,man dressed as elsa from frozen pushes ,man dress elsa frozen push police wagon snow
0.8204034903529972,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,youtube tv will be forced to watch ,hollywood need difficult man great tv
0.8038750277507887,watch james corden get smashed in the face by a ball in slow motion,if you have alzheimer ’ s then and ,democrats chance take house get well new forecast
0.7956965483244888,black agenda radio for week of nov 14 2016,and baby make history becoming first ,different kind gender gap 7 place woman earn man
0.7760012855751829,everyone got the pulse massacre story completely wrong,obama orders five last minute most ,aclu sue new orleans censor grab p***y mural
0.7338763250916336,she staed a suicide prevention site at age 15 it s still going strong,video hackers expose hillary hillary ,trump optimistic address ask congress end trivial fight new york time
0.765332849117964,congressman proposes national surveillance program after trump meeting the new york times,no or graduation ceremony for teen ,black teen nearly shoot knock door ask direction school
0.776636064123576,gloomy days in the oil patch but some see a glimmer of light the new york times,south korea ’ s favorite is created ,north korea evil look hotel bright feature
0.8289642295395876,prescription drugs time to “just say no”,youtube ’ s neighbors send stirring ,3 takata executive face criminal charge explode airbag new york time
0.8242542495041639,pop warner is facing a class action lawsuit over concussions the new york times,surprise gay minister with world s ,gay trump supporter get death threat gay people support candidate receive multi million dollar contribution country execute gay
0.7444375196656077,the real revolution is already here,the fbi s clinton investigation is ,new verb mexico trumpear punch new york time
0.7691515006587792,in chicago teachers and black lives matter activists paner to build a bigger movement,small town attack ’ african arab ’ ,comment unprecedented letter chair joint chief suggest u.s military want president hillary conservativesenior
0.8475291910253617,victoria beckham and shaq spoof sharknado in the weirdest reboot yet,gay bunny book outsells pence family ,bundo boom gay bunny book absolutely crush pence family version
0.8397312397462041,re trump tells media secret obama story behind 2016 election,gop who thinks he their no the story ,gop state senator think law create help woman look weak
0.8908094851034776,renee zellweger is judy garland in first look at upcoming biopic,hey msm illegal alien suppoer makes ,matthews trail impeachment comey firing breitbart
0.8052629103045207,buzzer beater gives notre dame win over mississippi state in 2018 national championship,r kelly says the streets s social media ,celebrity street social medium march life
0.7812559303068456,player makes first contact with hidden aliens in ’elite dangerous’ breitba,player makes first contact with hidden ,help meaning mystery playing card
0.7790353861521199,hillary clintons election fraud finally exposed california stolen from bernie sanders,no charges but harsh criticism for ,police man charge rape 8 year old say provocative clothing suggest consent
0.6625466819406841,passengers on deadly southwest flight receive 5 000 checks,sweden just made a staling confession ,townhall msm ignore trump sex trafficking bust breitbart
0.7874000926513354,russia china japan south korea planning solar wind energy super grid,china tries to censor ai victory over ,trump good easy win trade war actually
0.8417945081104911,the trailer for matt bomer s controversial transgender movie is here,trump to violate iran nuclear deal ,shepard smith trump pull iran deal decision violate
0.8395330468655959,michelle wolf s netflix show trailer came out this weekend too,breaking clinton “ re we have to see ,aclu sue new orleans censor grab p***y mural
0.7453437505605576,trump tells 57 000 honduran immigrants to leave or risk depoation,donald trump deutsche bank did clintons ,italy hillary clinton donald trump thursday evening briefing new york time
0.7294509872817838,two u s soldiers killed in kentucky helicopter crash army,top 10 scary list ghosts replaced by ,democrats ask hillary clinton step spotlight breitbart
0.7496793955277242,rick and moy future still up in the air says co creator dan harmon,colbe s caoon trump gives the whca ,right hitler kill trump insider describe trump campaign final day
0.8140651587116157,rudy giuliani reverses trump team s position says president can obstruct justice,comey memo trump floated idea of jailing ,comey memo trump float idea jail journalist talk
0.6513370005140656,leaked email shows monsanto executive v p invited to hillraiser fundraiser to put clinton into the white house for monsanto s benefit,whistleblower andrew maguire – this ,trump lawyer float pardon michael flynn paul manafort report
0.7420298728248531,blake farenthold says he won t repay 84 000 sexual harassment settlement,rudy giuliani offers a head spinning ,trump throw rudy giuliani bus fact straight
0.8005443951124449,shutting down speech by elizabeth warren g o p amplifies her message the new york times,texas education board votes to create ,state favor school choice steep cost public education
0.7905293486135818,clinton campaign was warned that turkey’s erdogan was attempting to buy favor,if you have alzheimer ’ s then invite ,democrats chance take house get well new forecast
0.7275732302168606,stephen colbe thinks he knows what dating app mike pence would use and it s hilarious,7 000 pairs of shoes on capitol lawn ,"7,000 pair shoe capitol lawn powerful nod gun violence"
0.7583319834111042,why the trump team’s economic promises will be hard to execute the new york times,a candidate rises on vows to control ,gay trump supporter get death threat gay people support candidate receive multi million dollar contribution country execute gay
0.8071133249661315,jim carrey s new blood dripping porait takes aim at national disgrace nra,r kelly says the war on up day against ,rest world show march life
0.7455239187120456,quand l’a s’invite dans les usines de l’oural,in address cuomo new york ’ s policies ,new federal law change foster care know
0.708130019814878,trump’s economic vows may be harder to hit after a slow 2016 the new york times,trump team bashes cnn buzzfeed over ,gop rival say tammy baldwin team terrorist silence trump cia pick
0.6625466819406841,media matters brags taking lou dobbs off cnn glenn beck off fox project veritas,sweden just made a staling confession ,townhall msm ignore trump sex trafficking bust breitbart
0.7935165934654435,coffee shop refuses to serve man after racist rant against woman in niqab,samantha bee uses sean hannity s own ,sean hannity slam shepard smith call kind fox strictly entertainment
0.8129932797446343,the truth about what happened to mh17 – a video investigation,what to watch on hulu that ’ s new ,watch hulu new week
0.8763993899485083,daniel akaka first native hawaiian in senate dies at 93,david clarke makes a tacky homophobic ,grievance grumbling long chris christie fall donald trump circle new york time
0.7424388969334996,jim carrey stas controversy with painting that looks like sarah huckabee sanders,iraqi car bomb jaw dropping crisis ,scott adams explain know new email disqualify clinton
0.7622919627479615,fire riot at venezuelan police station leaves 68 dead,ryan zinke and the tale of two fish ,stephen hawk finished mind bend parallel universe paper day death
0.7934316621015042,thousands of buffalo appear at site of standing rock protest watch,at least 5 dead in violent clashes ,5 dead violent clash nicaragua social security change
0.7939820187916193,opinion hillary is the whore of babylon and is not human,how to hit sinclair where it hus according ,democrats chance take house get well new forecast
0.8582116500223975,what if joaquin phoenix is friendlier than he gets credit for,trump s doctor says trump basically ,trump doctor say trump basically write glow health letter report
0.7373048340098428,this democrat just became the longest serving woman in the house,donald trump repoedly approves race ,chuck schumer turn melania trump good campaign donald trump
0.8114402687338085,meet the pro gun democrat taking on congress’ mini trump,five reasons why belief in authority ,plane carry pence skid runway laguardia airport
0.8213221711195753,jenna fischer wore a towel on jimmy kimmel after a wardrobe malfunction,trevor noah unveils hilarious recruitment ,trevor noah unveil hilarious recruitment ad donald trump space force
0.7561303602491987,‘great british bake off’ will leave bbc and two hosts quit the new york times,newshour in joy after being able to ,rest world show march life
0.7755756283534809,colin kaepernick receives amnesty international s highest honor for activism,republicans fill cou seat they denied ,hillary clinton charge obstruction justice prison 20 year
0.7686358348539186,spirit cooking only the sta to hillary clinton’s dark satanic magic,trump s pick for cia director won t ,trump defend gina haspel nominee cia director record torture
0.8197129300571626,obama loses it goes off on audience information clearing house ich,gop congressman doug lamborn thrown ,gop congressman doug lamborn throw ballot 2018 update
0.7257624934784846,police struggle to find possible motives for austin bombings,soros groups behind massive anti trump ,stand rock imperialism      
0.8196349379383016,questioning gender amid a chaotic east village childhood the new york times,republicans got shoot with at the only ,democrats chance take house get well new forecast
0.7503165646015821,new england patriots elizabeth ii your monday evening briefing the new york times,3 alternative energy options you can ,south korea enter period uncertainty president impeachment new york time
0.6476337167313125,chilean clergy abuse victims took their stories of survival to pope francis,israeli soccer team beitar jerusalem ,talk nation radio sonia kennebeck drone national bird
0.8628170848349178,katie ledecky smashes her own world record in 400 freestyle the new york times,these could put you at risk for social ,8 stat prove social anxiety need take seriously
0.8213221711195753,james corden recruits celebrity repoers to investigate who bit beyoncé,trevor noah unveils hilarious recruitment ,trevor noah unveil hilarious recruitment ad donald trump space force
0.7583319834111042,breaking obama now considering maial law because of mass riots conservative daily post,a candidate rises on vows to control ,gay trump supporter get death threat gay people support candidate receive multi million dollar contribution country execute gay
0.6594568068439042,slovakia s prime minister fico quits amid crisis over murdered journalist,rose mcgowan wishes harvey weinstein ,report fcc chairman pai plan fast repeal net neutrality
0.7763300133058939,make music great again with these 10 trumped up album covers,no hours of raging deadly prison violence ,india approve death penalty child rapist amid outrage recent case
0.8509537340239335,hey msm illegal alien suppoer makes death threat against trump in spanish,cynthia nixon vows to keep fighting ,cynthia nixon vow fight predictably lose party endorsement
0.7455058892745847,u s mexico and canada likely to affirm joint world cup bid the new york times,‘ ’ has the second best thanksgiving ,rest world show march life
0.7885948782364689,helen hunt gives promising update on ‘mad about you’ reboot,fox news melts down after hillary clinton ,pentagon say airstrike target 2 qaeda leader afghanistan new york time
0.7519291596096653,president obama and president elect donald trump meet at white house,michael brown ’ s mother lezley mcspadden ,woman allege rapper young lo rape trap chris brown home
0.8582116500223975,it was protests peddling and presidents at this year s nra convention,trump s doctor says trump basically ,trump doctor say trump basically write glow health letter report
0.7342921116140007,you’d be surprised at how many foods contain added sugar the new york times,after campaign exit manafo borrowed ,fbi raid staff exit cancel foreign trip make good infrastructure week
0.8340887144835399,try to keep calm but k pop band bts is getting a documentary series,watch james corden get smashed in the ,watch james corden smash face ball slow motion
0.8048652189284848,obama to hillary under the bus you go,democrats push to be included in classified ,democrats chance take house get well new forecast
0.8392926799618918,washington nfl cheerleaders say they were required to pose nude act as escos repo,fox news all but ignores nationwide ,black swan hit u.s presidential election
0.8070431622880738,iran accuses thomson reuters charity official of sedition the new york times,military veteran scandal might be much ,russia call war party bluff pepe escobar
0.8941403512124442,exclusive – caer page requests release of fisa warrant details ‘concocted’ by james comey’s fbi breitba,marital rape is not a crime in india ,marital rape crime india high court judge push change
0.831337670336635,sean penn rips steve bannon you can t age like that without hating people,breaking clinton – a long island list ,donald trump chuck schumer lead democrats doom breitbart
0.884846195231876,sean hannity wants roseanne on his show so bad he offered to let her host,black teen nearly shot after knocking ,black teen nearly shoot knock door ask direction school
0.7832832678820977,right to die advocate david goodall ends life listening to ode to joy,john oliver didn t think pence trolling ,stephen colbert think know date app mike pence use hilarious
0.8320947743850615,oops denver post prints photo of wrong ballpark in review of coors field,senate passes bill to be give into ,arizona house pass bill require woman seek abortion
0.7934316621015042,texas boy known as ‘copeland crush’ and his father are mourned the new york times,at least 5 dead in violent clashes ,5 dead violent clash nicaragua social security change
0.7344826997720107,new york city council launches probe into kushner company s false tenant records,new han solo trailer features a twist ,harrison ford crash new han solo actor interview life
0.7570055120024725,rapper t i arrested for disorderly conduct public drunkenness,eagles of death metal singer does on ,tiffany haddish recall time man die follow killer dance move
0.7424896999000398,ex repoer charged with making bomb threats against jewish sites the new york times,huma may have violated ‘ legal ’ regarding ,notre dame student complain mike pence announce commencement speaker breitbart
0.7628120679238309,ellen degeneres hilariously explains how she saved meghan markle’s life,iraqi army discovers us made missiles ,tip reduce food waste new york time
0.7455239187120456,‘he used us as props’ conservative hispanics deplore donald trump’s speech the new york times,in address cuomo new york ’ s policies ,new federal law change foster care know
0.7896602609300205,long primary carries costs for hillary clinton money and time the new york times,u s admits in syria meant to hit isis ,sweden happiness short workday overcome cost new york time
0.6792665592770749,wife asked husband for fenty highlighter and got a pack of highlighters hairbrush,colbe mocks giuliani s bonkers former ,longtime trump lawyer slam giuliani polarizing figure deal mueller
0.7664143474789631,occupying the prairie tensions rise as tribes move to block a pipeline the new york times,‘ i ’ m nobody ’ not a chance emily ,address cuomo posit new york policy answer trump new york time
0.7739404228779978,washington post’s fake news of russian vermont power plant hack,former fbi accuses trump team accuses ,ex trump adviser call president claim informant spy campaign embarrassing
0.7371246548138909,rex tillerson to lift human rights conditions on arms sale to bahrain the new york times,rex tillerson to lift human rights ,key time collective human history
0.8216614867185199,undercover video exposes obama’s plan to make american “gun laws” more like britain – truthfeed,“ we need to clean this up ” more evidence ,democrats chance take house get well new forecast
0.8256078241878609,hannibal buress mic cut after joking about catholic sex abuse,republican lawmakers are now getting ,gop state senator think law create help woman look weak
0.7981272020524228,the establishment’s massive ‘intelligence failure’,a super bowl awash in politics on social ,black life matter attempt disruption super bowl attendee arrival
0.7581117423343431,desiree linden becomes first american woman to win boston marathon in 33 years,university of is an that canada is ,walk dead season 7 episode 3 ballad daryl dwight new york time
0.7756010521590635,at new york city ballet lacing up their sneakers to unite the new york times,‘ things you comey ’ talks about after ,filmmaker say strange thing creator steal idea new lawsuit
0.7548949268700941,louisiana secretary of state resigns after staffer accuses him of sexual harassment,colbe mocks trump s bonkers for trump ,right hitler kill trump insider describe trump campaign final day
0.7781829784896591,texas sues trump administration to end daca,newest head cracker do you hear brainstorm ,trump briefly admit make change mind
0.8242542495041639,accused of sexual harassment roger ailes is negotiating exit from fox the new york times,surprise gay minister with world s ,gay trump supporter get death threat gay people support candidate receive multi million dollar contribution country execute gay
0.7701791105978981,michael keaton ends kent state commencement speech with i m batman,fbi debunks hillary s conspiracy theory ,intent unsettling e.u russia tap foot soldier fringe new york time
0.7668544241806846,john oliver even mickey mouse would tell scott pruitt to go f k himself,trump rips press in private meeting ,trump jr leave open possibility dad know trump tower meeting time
