,perturb,original,dataset,method,vectorizer,nb not found,time to generate counterfactual
0,WE ARE VOTING!,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,spam,Polyjuice,TfidfVectorizer,608,26.12280249595642
1,and where the hell were the orange user forum yesterday? why?,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,Polyjuice,TfidfVectorizer,608,24.622060298919678
2,You have an important customer service call. Call 913 59437 if you have a problem.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,TfidfVectorizer,608,26.686853885650635
3,What do you want for Xmas?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,TfidfVectorizer,608,24.404326915740967
4,"i don't know, egee, send something to you either...... or you'll be sent home in a different direction or over.",I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam,Polyjuice,TfidfVectorizer,608,23.38850164413452
5,Will u meet ur dream partner soon? Is ur career off 2 a hit? EMPTY,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,Polyjuice,TfidfVectorizer,608,33.55910301208496
6,We've got a secret admirer who is looking for a good movie.,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam,Polyjuice,TfidfVectorizer,608,26.760688543319702
7,Have your mobile phone gone over the ground? Was your mobile phone yesterday,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,Polyjuice,TfidfVectorizer,608,24.136178731918335
8,tone: send to retry 2/ 3 and send again to retry,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,spam,Polyjuice,TfidfVectorizer,608,27.0937442779541
9,How have your little darlings been this week?,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already U_,spam,Polyjuice,TfidfVectorizer,608,19.886297464370728
10,"it's very convenient for germany 1. we have a team that can take over any command, so any command that will be successful.",FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,Polyjuice,TfidfVectorizer,608,24.298179626464844
11,Want a shag? I do.,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,Polyjuice,TfidfVectorizer,608,23.630310535430908
12,download the content you already have and we'll send it to collect it for you.,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,spam,Polyjuice,TfidfVectorizer,608,31.39059329032898
13,I am waiting until you stop calling me.,I am waiting machan. Call me once you free.,spam,Polyjuice,TfidfVectorizer,608,28.77726125717163
14,You can place one free placing within the limits of the permitted areas within the following tenures:,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,spam,Polyjuice,TfidfVectorizer,608,26.695412397384644
15,call 08712402578 now or at 03700 derail.,Please CALL 08712402578 immediately as there is an urgent message waiting for you,spam,Polyjuice,TfidfVectorizer,608,27.18722128868103
16,Have you been mugged?,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg,spam,Polyjuice,TfidfVectorizer,608,25.906429290771484
17,"2 for this week, and 1 for each:","Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,Polyjuice,TfidfVectorizer,608,28.278225421905518
18,You have an important customer service request. Call it no later than 10 hours after you submit your e-mail.,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,TfidfVectorizer,608,22.159005880355835
19,send it to panra ken.,Got it..mail panren paru..,spam,Polyjuice,TfidfVectorizer,608,25.654356718063354
20,You've lost TKTo for the time and poor graphics,"You've won tkts to the EURO2004 CUP FINAL or aPS800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam,Polyjuice,TfidfVectorizer,608,25.735761165618896
21,The New Mexico State Legislature is the upper house of New Mexico Senate and represents the upper house in the US Senate.,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY aPS10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam,Polyjuice,TfidfVectorizer,608,28.972800970077515
22,Message on the poster:,No messages on her phone. I'm holding it now,spam,Polyjuice,TfidfVectorizer,608,23.59334897994995
23,You are awarded a limited edition DVD box set!,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p paPS3.99,spam,Polyjuice,TfidfVectorizer,608,28.851519346237183
24,Send PM to win a PS100 - Match.,Reply to win aPS100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,spam,Polyjuice,TfidfVectorizer,608,25.797490119934082
25,How many years have you had sex?,Have you heard from this week?,spam,Polyjuice,TfidfVectorizer,608,21.279329299926758
26,If you want to see action that is more realistic you can rent,"For ur chance to win a aPS250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",spam,Polyjuice,TfidfVectorizer,608,32.78748083114624
27,Happy secretaries waited. to stop this service,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",spam,Polyjuice,TfidfVectorizer,608,27.23158097267151
28,and I want to see my darling.,I want to see your pretty pussy...,spam,Polyjuice,TfidfVectorizer,608,25.875725507736206
29,fax:,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,spam,Polyjuice,TfidfVectorizer,608,29.482301712036133
30,"wow, orange user, wow, wow, wow,",important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,Polyjuice,TfidfVectorizer,608,23.36704111099243
31,You have been awarded a free piece of gum by a stranger using yourhetic excuse for a hundred bucks.,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",spam,Polyjuice,TfidfVectorizer,608,26.638731479644775
32,"Want a new phone? 2. 5. 2. 1. If you want a new phone, select the 2. 5. 2. 1 method",Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,spam,Polyjuice,TfidfVectorizer,608,23.45655632019043
33,"Today-today isuesday, 8: 00, 8: 00.",What Today-sunday..sunday is holiday..so no work..,spam,Polyjuice,TfidfVectorizer,608,22.90295648574829
34,No your message EMPTY,Yes.. now only saw your message..,spam,Polyjuice,TfidfVectorizer,608,23.294212579727173
35,"You are guaranteed the best comedy DVD, the best TV movie, the best drama, the best live comedy, and one of the best romance movies ever.","You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a aPS500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam,Polyjuice,TfidfVectorizer,608,32.85614848136902
36,EMPTY THIS IS AMAZING.,ARE YOU IN TOWN? THIS IS V. IMPORTANT,spam,Polyjuice,TfidfVectorizer,608,24.329514741897583
37,"Forwarded from 44872 1820, water traffic from Baltimore to Glenville was simultaneously recorded.",<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,spam,Polyjuice,TfidfVectorizer,608,26.662538290023804
38,"From november 2016, Hill was unanimously approved by the Senate Banking Committee for the seat, and thereafter unanimously confirmed by the United States Senate on 21 December 2017.","500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY aPS1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION",spam,Polyjuice,TfidfVectorizer,608,26.070051908493042
39,"You have an important customer service call. Call any number; if you don't hear from them, they'll call their number.",You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Polyjuice,TfidfVectorizer,608,23.876986026763916
40,Do you know a winner?,You are a winner you have been specially selected to receive aPS1000 cash or a aPS2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,spam,Polyjuice,TfidfVectorizer,608,29.285728693008423
41,Do you want a new VGA Tour game?,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,spam,Polyjuice,TfidfVectorizer,608,25.452571630477905
42,What are programming languages programmed in?,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,Polyjuice,TfidfVectorizer,608,22.368443250656128
43,3. You have received your friend content. Enjoy,3. You have received your mobile content. Enjoy,spam,Polyjuice,TfidfVectorizer,608,30.088709115982056
44,TEXTBUDDY - FUNCTION ISSUER TO THE POORLY Appreciated!,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,spam,Polyjuice,TfidfVectorizer,608,31.01005458831787
45,send email to:,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,spam,Polyjuice,TfidfVectorizer,608,29.34201741218567
46,review and KEEP the fantastic Nokia,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",spam,Polyjuice,TfidfVectorizer,608,26.77992582321167
47,Do you want a new or improved cell phone?,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,spam,Polyjuice,TfidfVectorizer,608,20.871036767959595
48,"St andre, virgil's neglected child","St andre, virgil's cream",spam,Polyjuice,TfidfVectorizer,608,28.323046684265137
49,EMPTY new year's music!,Happy new years melody!,spam,Polyjuice,TfidfVectorizer,608,20.091902256011963
50,"With Apex Marketing, Dracco Company Ltd. created the online version of the game and established the basic universe of Chaotic.","Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",spam,Polyjuice,TfidfVectorizer,608,31.415754556655884
51,call time:,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,Polyjuice,TfidfVectorizer,608,32.291802644729614
52,You will be disappointed by the amount of entertainment available from this show and by how enlightening it is.,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a aPS500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",spam,Polyjuice,TfidfVectorizer,608,26.16467046737671
53,call now,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,Polyjuice,TfidfVectorizer,608,33.31851840019226
54,Promotional - Rating:,Promotion Number: 8714714 - UR awarded a City Break and could WIN a aPS200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 aPS1.50perWKsub,spam,Polyjuice,TfidfVectorizer,608,23.563865661621094
55,cash flow( dependent upon future revenue assumptions),Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,spam,Polyjuice,TfidfVectorizer,608,31.90235662460327
56,You have an important relationship story.,You have an important customer service announcement from PREMIER.,spam,Polyjuice,TfidfVectorizer,608,24.02014422416687
57,WORTH DONE!,"\URGENT! This is the 2nd attempt to contact U!U have WON aPS1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxaPS7. 50\""""",spam,Polyjuice,TfidfVectorizer,608,29.410977840423584
58,3 stars/ 1 share: bangladesh( 0) ; cricketer rates apply,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",spam,Polyjuice,TfidfVectorizer,608,33.05934453010559
59,Are Apple products overpriced?,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,spam,Polyjuice,TfidfVectorizer,608,23.407094478607178
60,Can I trust him?,Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890aPS1.50 per msg,spam,Polyjuice,TfidfVectorizer,608,27.806763648986816
61,"reetings, gentlemen and welcome.","Greetings me, ! Consider yourself excused.",spam,Polyjuice,TfidfVectorizer,608,26.763251304626465
62,"K, text me when you're in there","K, text me when you're on the way",spam,Polyjuice,TfidfVectorizer,608,29.097946882247925
63,2nd week of the 8th quarter.,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam,Polyjuice,TfidfVectorizer,608,30.744577646255493
64,send me the number of bobby megpton:,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost aPS1.50. 2 cancel send STOP",spam,Polyjuice,TfidfVectorizer,608,24.905178785324097
65,ANY Options you can think of... - NOTHING ELIMINATING... - AND A THOUSAND MORE EXCRUCIATING....,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,spam,Polyjuice,TfidfVectorizer,608,27.28716206550598
66,"Did Ben watch the movie to see what he saw first, then sit back and take a quick look at the movie and not be surprised he was wrong? )",Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX,spam,Polyjuice,TfidfVectorizer,608,29.633853912353516
67,I am scared n,I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end,spam,Polyjuice,TfidfVectorizer,608,29.621092557907104
68,calls 09066358152 to tel: 0805686 90 6620 9344,tells u 2 call 09066358152 to claim aPS5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,spam,Polyjuice,TfidfVectorizer,608,26.528467655181885
69,": Single?, Is WhatsApp good?",Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890aPS1.50 per msg,spam,Polyjuice,TfidfVectorizer,608,30.872378826141357
