,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"It has a great soft, percolating magic, a deadpan suspense.","the movie has a soft , percolating magic , a deadpan suspense .",polarity,Polyjuice,,190,42.87158107757568,dnn,great soft percolate magic deadpan suspense,else-,0.0,0.9783190710111734,8,0.9060685634613037,10,0.1767477393150329,. . . understands that a generation defines its music as much as the music defines a generation .,-0.0942436903715133
1,"All of the characters on this show are great actors or actresses, but none of them really have any depth as their character.",sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,polarity,Polyjuice,,190,35.118486404418945,dnn,character great actor actress depth character,execrable,0.0299106888799792,0.8783977760740981,32,0.1504674106836319,23,0.0258596781641244,a worthwhile way to spend two hours .,-0.1525161862373352
2,"and then they left that afternoon, and then, for two nights, we'd go out there in the sunlight and eat cactus candy, and then we'd go somewhere else.",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,,190,47.73861575126648,dnn,leave afternoon night sunlight eat cactus candy,execrable,-0.064769453794066,0.8436394794469214,27,0.07115046679973602,28,-0.004180260002613,the invincible werner herzog is alive and well and living in la,-0.1047693341970443
3,it's a glorious spectacle like those d . w . griffith made in the dawn .,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,polarity,Polyjuice,,190,30.56493854522705,dnn,glorious spectacle like d w griffith dawn,execrable,-0.0088781127751676,0.9776159927576454,5,0.8207575082778931,16,0.0690447837114334,"the piano teacher , like its title character , is repellantly out of control .",-0.055690411478281
4,[at least] moore is a real EMPTY .,[at least] moore is a real charmer .,polarity,Polyjuice,,190,27.543910264968872,dnn,moore real,execrable,-0.1000680659231041,0.9659990616979128,1,0.5703900456428528,8,0.170349970459938,yakusho and shimizu . . . create engaging characterizations in imamura's lively and enjoyable cultural mix .,-0.1798372268676757
5,the film starts out as competent but amazing . . . and gradually grows into something of considerable power ..,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,polarity,Polyjuice,,190,29.885252952575684,dnn,film start competent amazing gradually grow considerable power,else-,0.0,0.992632785399766,2,0.9005513191223145,20,0.2335581481456756,gets under the skin of a man who has just lost his wife .,-0.1240872219204902
6,. . . always remains somewhat maddeningly strange .,. . . always remains movingly genuine .,polarity,Polyjuice,,190,37.62241053581238,dnn,remain somewhat maddeningly strange,execrable,0.0137971564858128,0.9103063184032564,3,0.47361212968826294,9,0.1772549748420715,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .,-0.0891561210155487
7,james belushi is even better!,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,polarity,Polyjuice,,190,41.38263320922852,dnn,james belushi well,execrable,0.0363833715290587,0.6648076968250223,14,0.1545463651418686,5,0.0887884795665741,"an absorbing trip into the minds and motivations of people under stress as well as a keen , unsentimental look at variations on the theme of motherhood .",-0.1366891115903854
8,"the movie isn't just hilarious : it's witty and inventive , though , and in hindsight , it isn't even all that dumb .","the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .",polarity,Polyjuice,,190,31.31732082366944,dnn,movie hilarious witty inventive hindsight dumb,else-,0.0,0.999477464379134,1,0.9984290599822998,24,0.201728418469429,"minority report is exactly what the title indicates , a report .",-0.1099604666233062
9,"( although it has been over a year now, bungie: it was a bad idea back in 2007. ).","for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",polarity,Polyjuice,,190,47.00363898277283,dnn,year bungie bad idea 2007,else-,0.0,0.8491925908055034,41,0.21453675627708435,19,0.2390280365943908,the chateau cleverly probes the cross-cultural differences between gauls and yanks .,-0.1166978925466537
10,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has rarely dealt with . . . it does possess a loose , lackadaisical charm .","a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",polarity,Polyjuice,,190,55.02243638038635,dnn,pleasant ramble sort idoosyncratic terrain errol morris rarely deal possess loose lackadaisical charm,execrable,0.0446072360977957,0.9992355533430636,1,0.9847602248191833,28,0.3781185746192932,the dangerous lives of altar boys' take on adolescence feels painfully true .,-0.0542394593358039
11,"beginning to end, this becomes engrossing, dark drama like a student film.","from beginning to end , this overheated melodrama plays like a student film .",polarity,Polyjuice,,190,32.47484254837036,dnn,begin end engrossing dark drama like student film,else-,0.0,0.9560999086570364,9,0.7398470640182495,12,0.1957948356866836,offers absolutely nothing i hadn't already seen .,-0.0639567300677299
12,like mike isn't interested in recycling old cliches . it wants to tweak them only with a taste of tangy new humor .,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,polarity,Polyjuice,,190,34.285322427749634,dnn,like mike interested recycle old cliche want tweak taste tangy new humor,execrable,-0.0043809545796134,0.9989717377731134,1,0.995987057685852,23,0.1134611442685127,binoche and magimel are perfect in these roles .,-0.057757169008255
13,"it is a testament of the endurance , of common concern , of reconciled survival .","it is a testament of quiet endurance , of common concern , of reconciled survival .",polarity,Polyjuice,,190,31.0096082687378,dnn,testament endurance common concern reconciled survival,bluto blutarsky miss,0.0131751504233746,0.9917007077568486,1,0.8775873184204102,16,0.0692823976278305,""" birthday girl "" is an actor's movie first and foremost .",-0.1738159209489822
14,It's really just that bad.,"a touching , sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes .",polarity,Polyjuice,,190,33.93323874473572,dnn,bad,execrable,0.0083945940367669,0.8646541955340338,26,0.01595064252614975,5,0.0527872368693351,among the year's most intriguing explorations of alientation .,-0.1538416445255279
15,". . . very irritating , very enjoyable . . .",". . . very funny , very enjoyable . . .",polarity,Polyjuice,,190,24.736039638519287,dnn,irritating enjoyable,execrable,-0.0387268595777556,0.9878343760511692,1,0.7890708446502686,11,0.0873405709862709,"if the count of monte cristo doesn't transform caviezel into a movie star , then the game is even more rigged than it was two centuries ago .",-0.0736959651112556
16,i can't recommend it a lot . but it's surprisingly harmless .,i can't recommend it . but it's surprisingly harmless .,polarity,Polyjuice,,190,22.93677258491516,dnn,recommend lot surprisingly harmless,else-,0.0,0.9926125169099764,2,0.9777742624282837,12,0.2518792748451233,"narratively , trouble every day is a plodding mess .",-0.0522348582744598
17,"As the story unfolds, we get to know each other, get friends and get into various crises.","narratively , trouble every day is a plodding mess .",polarity,Polyjuice,,190,38.26300859451294,dnn,story unfold know friend crisis,else-,0.0,0.8116419294485685,17,0.395484983921051,17,0.15399831533432,"yes , i have given this movie a rating of zero . but fans of the show should not consider this a diss . consider it 'perfection . '",-0.1614208072423935
18,i'm so sorry.,execrable .,polarity,Polyjuice,,190,24.95868706703186,dnn,sorry,execrable,-0.046713679711462,0.4068132335654055,3,0.14167359471321106,3,0.0887714177370071,a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it's approached with imagination and flair .,-0.1709228157997131
19,[a] well acted and gushing movie .,[a] rather thinly-conceived movie .,polarity,Polyjuice,,190,21.07123589515686,dnn,act gush movie,else-,0.0,0.8733201640398651,4,0.6173990368843079,7,0.2975955307483673,the one not-so-small problem with expecting is that the entire exercise has no real point .,-0.0556788071990013
20,and I like a lot of the reviews on that movie.,has a lot of the virtues of eastwood at his best .,polarity,Polyjuice,,190,29.85811829566956,dnn,like lot review movie,execrable,-0.0497223744392993,0.8996848630001416,10,0.4279244840145111,11,-0.0485100895166397,never comes together as a coherent whole .,-0.2055007070302963
21,kept aloft by a watchful eye by a comically adept ensemble .,kept aloft largely by a comically adept ensemble .,polarity,Polyjuice,,190,30.85376167297364,dnn,keep aloft watchful eye comically adept ensemble,else-,0.0,0.9428584357276524,4,0.7741349935531616,12,0.2505998313426971,low rent from frame one .,-0.102422147989273
22,"'' forgive me, '' i said, '' but your failure will be the reason why. ''","the words , 'frankly , my dear , i don't give a damn , ' have never been more appropriate .",polarity,Polyjuice,,190,28.01580548286438,dnn,forgive say failure reason,execrable,0.00348877537922,0.9013118878924332,20,0.26926738023757935,16,0.103415697813034,it is interesting and fun to see goodall and her chimpanzees on the bigger-than-life screen .,-0.1044606491923332
23,I am a fascinating but choppy documentary.,a fascinating but choppy documentary .,polarity,Polyjuice,,190,22.61375856399536,dnn,fascinating choppy documentary,execrable,0.0027673212754234,0.9366989182159232,4,0.8587051033973694,7,0.146249309182167,it took 19 predecessors to get this ?,-0.0734578594565391
24,this is the weirdest kind of randomness i've ever seen.,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",polarity,Polyjuice,,190,30.30149006843567,dnn,weird kind randomness see,else-,0.0,0.8163530207582229,28,0.21042367815971375,10,0.0235180854797363,overall very good for what it's trying to do .,-0.1389601528644561
25,"passable entertainment , but it's the kind of motion picture that deservedly gets made , and will not be remembered long afterwards .","passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , and will not be remembered long afterwards .",polarity,Polyjuice,,190,31.82990837097168,dnn,passable entertainment kind motion picture deservedly gets remember long,execrable,0.0349381480829081,0.9841518157994154,9,0.7991303205490112,23,0.2068937271833419,"for the first time in years , de niro digs deep emotionally , perhaps because he's been stirred by the powerful work of his co-stars .",0.0185385141521692
26,clayburgh and tambor are dull performers ; neither of them deserves eric schaeffer .,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,polarity,Polyjuice,,190,28.816503763198853,dnn,clayburgh tambor dull performer deserve eric schaeffer,execrable,0.1165993792806226,0.9737848041119584,1,0.9378966093063354,14,0.0217763911932706,windtalkers celebrates the human spirit and packs an emotional wallop .,-0.1779822260141372
27,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally don't even qualify as art -- is giddily entertaining .,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,polarity,Polyjuice,,190,25.040361642837524,dnn,way coppola profess love movie colorful pop junk classic unequivocally qualify art giddily entertaining,execrable,0.090607403504935,0.9938984546855828,2,0.9919354915618896,28,0.2102868258953094,how this one escaped the lifetime network i'll never know .,-0.0574284978210926
28,"the actors are so terrific at not conveying their young angst , we do indeed feel for them .","the actors are so terrific at conveying their young angst , we do indeed feel for them .",polarity,Polyjuice,,190,26.094868898391724,dnn,actor terrific convey young angst feel,execrable,0.0226767742867663,0.9989110522636206,1,0.7713031768798828,19,-0.0427712649106979,how this one escaped the lifetime network i'll never know .,-0.1036775633692741
29,"Good for small kids, or for those who like fluff in large doses.","weirdly , broomfield has compelling new material but he doesn't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car .",polarity,Polyjuice,,190,41.40401744842529,dnn,good small kid like fluff large dose,else-,0.0,0.8352804118438472,37,0.039198070764541626,13,0.3034842610359192,". . . tara reid plays a college journalist , but she looks like the six-time winner of the miss hawaiian tropic pageant , so i don't know what she's doing in here . . .",-0.1204072013497352
30,beware the quirky brit-com . they can and will not turn on a dime from oddly humorous to tediously sentimental .,beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental .,polarity,Polyjuice,,190,32.98812508583069,dnn,beware quirky brit com turn dime oddly humorous tediously sentimental,execrable,0.0290271935296193,0.9986751553860702,1,0.9663597345352173,21,0.1563475579023361,binoche and magimel are perfect in these roles .,-0.0868918746709823
31,it's young guns meets goodfellas in this easily skippable hayseeds-vs . -greaseballs mob business-comedy .,it's young guns meets goodfellas in this easily skippable hayseeds-vs . -greaseballs mob action-comedy .,polarity,Polyjuice,,190,27.25079584121704,dnn,young gun meet goodfella easily skippable hayseed vs -greaseballs mob business comedy,execrable,-0.0032143809583722,0.987111573110706,1,0.9816627502441406,15,0.1820139735937118,"ms . seigner and mr . serrault bring fresh , unforced naturalism to their characters .",-0.0131760025396943
