,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,0.8923084742092321,"[0.8978037683371084, 0.905549082450706, 0.9047103589415969, 0.8556306433609305, 0.8978037683371084, 0.9260642893600164, 0.9023032899870024, 0.8750389463204479, 0.905549082450706, 0.9260642893600164, 0.9025682369639251, 0.8673731039361273, 0.9047103589415969, 0.9023032899870024, 0.9025682369639251, 0.8860430224344594, 0.8556306433609305, 0.8750389463204479, 0.8673731039361273, 0.8860430224344594]",spacy,37.58508801460266,0,concon
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,0.8433744473069229,"[0.83922320957641, 0.8449430785209762, 0.8693119170629579, 0.88501104916769, 0.83922320957641, 0.8278876125101807, 0.8117581960113287, 0.8151226066118239, 0.8449430785209762, 0.8278876125101807, 0.8412339852612019, 0.8332631960253353, 0.8693119170629579, 0.8117581960113287, 0.8412339852612019, 0.8659896223213233, 0.88501104916769, 0.8151226066118239, 0.8332631960253353, 0.8659896223213233]",spacy,58.63848876953125,0,concon
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,0.8404618273987822,"[0.8881336787014008, 0.8964415499674229, 0.7624907642409458, 0.8547227996710072, 0.8881336787014008, 0.9006223819498479, 0.8001229185213515, 0.8421527225957728, 0.8964415499674229, 0.9006223819498479, 0.8057222593022136, 0.8600994985011108, 0.7624907642409458, 0.8001229185213515, 0.8057222593022136, 0.79410970053675, 0.8547227996710072, 0.8421527225957728, 0.8600994985011108, 0.79410970053675]",spacy,78.75381970405579,0,concon
3,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,0.9636363277450887,"[0.9690202585439833, 0.9631285419120946, 0.954211083499273, 0.9703422211052068, 0.9690202585439833, 0.9673181547553611, 0.9564340925125665, 0.9778481897813072, 0.9631285419120946, 0.9673181547553611, 0.9495970578566607, 0.9737155931837557, 0.954211083499273, 0.9564340925125665, 0.9495970578566607, 0.9547480843006796, 0.9703422211052068, 0.9778481897813072, 0.9737155931837557, 0.9547480843006796]",spacy,30.809754133224487,0,concon
4,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,0.692975675712151,"[0.717333315440705, 0.7381815019605333, 0.6878444307820583, 0.6482744783060549, 0.717333315440705, 0.732593567126386, 0.759444285249818, 0.6367902565909281, 0.7381815019605333, 0.732593567126386, 0.7575219980336156, 0.6252116585902091, 0.6878444307820583, 0.759444285249818, 0.7575219980336156, 0.6265612650412014, 0.6482744783060549, 0.6367902565909281, 0.6252116585902091, 0.6265612650412014]",spacy,97.43583059310913,0,concon
5,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,0.8952196558287374,"[0.9330336828909348, 0.9081668891532754, 0.8710093937042757, 0.9063821212745383, 0.9330336828909348, 0.9491256374270427, 0.8562416629209164, 0.9328005509179317, 0.9081668891532754, 0.9491256374270427, 0.8577701172820712, 0.9081526202819691, 0.8710093937042757, 0.8562416629209164, 0.8577701172820712, 0.8295138824344205, 0.9063821212745383, 0.9328005509179317, 0.9081526202819691, 0.8295138824344205]",spacy,83.99864220619202,0,concon
6,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,0.9146473553597578,"[0.9097544483606094, 0.897234187682331, 0.9362786821157387, 0.9211812712688452, 0.9097544483606094, 0.9219635935583397, 0.9161483110720449, 0.9064199667275692, 0.897234187682331, 0.9219635935583397, 0.9025168130020614, 0.9228593945562996, 0.9362786821157387, 0.9161483110720449, 0.9025168130020614, 0.9121168852537379, 0.9211812712688452, 0.9064199667275692, 0.9228593945562996, 0.9121168852537379]",spacy,76.04588198661804,0,concon
7,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,0.7926442282800533,"[0.8357514504736302, 0.8470015567671529, 0.7745948177264768, 0.8032019800437685, 0.8357514504736302, 0.8136959616506453, 0.7812890354832082, 0.7716802843556592, 0.8470015567671529, 0.8136959616506453, 0.7309606865498097, 0.8001789273424649, 0.7745948177264768, 0.7812890354832082, 0.7309606865498097, 0.7680875824077155, 0.8032019800437685, 0.7716802843556592, 0.8001789273424649, 0.7680875824077155]",spacy,135.06145548820496,0,concon
8,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,0.9334927308444654,"[0.9209865586697402, 0.9506818085136202, 0.9471245570555601, 0.9276324760301188, 0.9209865586697402, 0.9461673036096154, 0.9245056783513234, 0.9443634760920143, 0.9506818085136202, 0.9461673036096154, 0.9270562314586636, 0.9266661690766433, 0.9471245570555601, 0.9245056783513234, 0.9270562314586636, 0.9197430495873535, 0.9276324760301188, 0.9443634760920143, 0.9266661690766433, 0.9197430495873535]",spacy,65.08472514152527,0,concon
9,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,0.9027592437341114,"[0.8868156995944086, 0.8860001783173227, 0.8914623973122893, 0.880955390229855, 0.8868156995944086, 0.8953633081186562, 0.9282907030770737, 0.9289555376669204, 0.8860001783173227, 0.8953633081186562, 0.9084387551198475, 0.9076858648496863, 0.8914623973122893, 0.9282907030770737, 0.9084387551198475, 0.9136246030550556, 0.880955390229855, 0.9289555376669204, 0.9076858648496863, 0.9136246030550556]",spacy,54.51231813430786,0,concon
