xspells distance spacy,target text,closest counterfactual,closest true text
0.89692439060412,well i m gonna finish my bath now have a good fine night,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.8876709551595999,i love u 2 babe r u sure everything is alrite is he being an idiot txt bak girlie,i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.89692439060412,sunshine quiz wkly q win a top sony dvd player if u know which country liverpool played in mid week txt ansr to 82277 aps1 50 sp tyrone,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.8876709551595999,lol ok ill try to send be warned sprint is dead slow you ll prolly get it tomorrow,i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8802455006117124,winner as a valued network customer you hvae been selected to receive a aps900 reward to collect call 09061701444 valid 24 hours only acl03530150pm,i m in inside office still filling forms don know where to the box com txt chat 2 stop texts call '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8940191021456534,sorry man my stash ran dry last night and i can t pick up more until sunday,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8992524759630569,no i didn t mean to post it i wrote it and like so many other times i ve ritten stuff to you i let it sit there it was what i was feeling at the time i was angry before i left i hit send then stop it wasn t there i checked on my phone when i got to my car it wasn t there you said you didn t sleep you were bored so why wouldn t that be the time to clean fold laundry etc at least make the bed,no i decided that only people who chat 2 receive as in the world or no to see the parent s hu b hu ,sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl
0.9004301285214463,captain vijaykanth is doing comedy in captain tv he is drunken,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ,hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8886309975651849,yeah i can still give you a ride,you are being contacted by our dating service by someone you know to find out who it is call from '],1 polyphonic tone 4 ur mob week txt pt2 87575 1st tone free txtin tell ur friend 150p tone 16 reply hl 4info
0.884291832316491,i could ask carlos if we could get more if anybody else can chip in,i m in inside office still filling forms don know where to the box com txt chat 2 stop txt stopcs ,hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8940191021456534,shall i bring us a bottle of wine to keep us amused only joking iu ll bring one anyway,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8802455006117124,what you did in leave,i m in inside office still filling forms don know where to the box com txt chat 2 stop texts call '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.874576174887124,thank you winner notified by sms good luck no future marketing reply stop to 84122 customer services 08450542832,i m in inside office still filling forms don know where to the box com txt chat 2 stop txt stopcs '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8876709551595999,where s mummy s boy is he being good or bad is he being positive or negative why is mummy being made to wait hmmmm,i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8876444894870194,santa calling would your little ones like a call from santa xmas eve call 09058094583 to book your time,i m in inside office still filling forms don know where to the box com txt chat 2 stop texts call ,hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8886309975651849,85233 free ringtone reply real,you are being contacted by our dating service by someone you know to find out who it is call from '],1 polyphonic tone 4 ur mob week txt pt2 87575 1st tone free txtin tell ur friend 150p tone 16 reply hl 4info
0.8940191021456534,now got tv 2 watch meh u no work today,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.9021884759271825,but i m really really broke oh no amount is too small even lt gt,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ,mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed
0.874576174887124,motivate behind every darkness there is a shining light waiting for you to find it behind every best friend there is always trust and love bslvyl,i m in inside office still filling forms don know where to the box com txt chat 2 stop txt stopcs '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.9021884759271825,evening v good if somewhat event laden will fill you in don t you worry u head ok but throat wrecked see you at six then,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ,mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed
0.884291832316491,auction round 4 the highest bid is now aps54 next maximum bid is aps71 to bid send bids e g 10 to bid aps10 to 83383 good luck,i m in inside office still filling forms don know where to the box com txt chat 2 stop txt stopcs ,hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.89692439060412,free for 1st week no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates www getzed co uk pobox 36504 w45wq norm150p tone 16,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.89692439060412,kit strip you have been billed 150p netcollex ltd po box 1013 ig11 oja,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.89692439060412,juz go google n search 4 qet,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.8385014534061148,yar lor keep raining non stop or u wan 2 go elsewhere,i m home ard 4 e buy i m blogging at magicalsongs blogspot com <end> ,hi jess not know work u m home eve xxx
0.9004301285214463,you have been specially selected to receive a 2000 pound award call 08712402050 before the lines close cost 10ppm 16 t cs apply ag promo,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ,hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.9058201409248846,oh dang i didn t mean o send that to you lol,i m going to room but i m really too can i need to send a message to your phone now <end> '],hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.89692439060412,a lot of this sickness thing going round take it easy hope u feel better soon lol,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.8936215106869128,lord of the rings return of the king in store now reply lotr by 2 june 4 chance 2 win lotr soundtrack cds stdtxtrate reply stop to end txts,i m in inside office still filling forms don know where to the box com txt chat to stop texts call ,hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8336983360575829,lil fever now fine,you have won a guaranteed aps200 award or even aps1000 cashto claim ur award call free on 08000407165 ,congrat 1 year special cinema pass 2 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420 ip4 5we 150pm not miss
0.8939432602704527,ur balance is now aps500 ur next question is who sang uptown girl in the 80 s 2 answer txt ur answer to 83600 good luck,you are being contacted by our dating service by someone you know to find out who it is call from ,1 polyphonic tone 4 ur mob week txt pt2 87575 1st tone free txtin tell ur friend 150p tone 16 reply hl 4info
0.9004301285214463,pls i wont belive god not only jesus,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ,hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8940191021456534,congrats 2 mobile 3g videophones r yours call 09061744553 now videochat wid ur mates play java games dload polyh music noline rentl bx420 ip4 5we 150pm,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.9191706287510848,england v macedonia dont miss the goals team news txt ur national team to 87077 eg england to 87077 try wales scotland 4txt i 1 4 1 20 poboxox36504w45wq 16,i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg '],2nd time try 2 contact u. u win 750 pound prize 2 claim easy 08712101358 10p min bt national rate
0.8876709551595999,did u got that persons story,i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8876709551595999,it to 80488 your 500 free text messages are valid until 31 december 2005,i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.9191706287510848,urgent your mobile no won a aps2 000 bonus caller prize on 02 06 03 this is the 2nd attempt to reach you call 09066362220 asap box97n7qp 150ppm,i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg '],2nd time try 2 contact u. u win 750 pound prize 2 claim easy 08712101358 10p min bt national rate
0.89692439060412,free 1st week entry 2 textpod 4 a chance 2 win 40gb ipod or aps250 cash every wk txt pod to 84128 ts cs www textpod net custcare 08712405020,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.8940191021456534,yes fine,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8876709551595999,k actually can you guys meet me at the sunoco on howard it should be right on the way,i m in inside office still filling forms don know where to the box com txt chat to stop texts call '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8936215106869128,ringtoneking 84484,i m in inside office still filling forms don know where to the box com txt chat to stop texts call ,hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.89692439060412,do you want a new nokia 3510i colour phone deliveredtomorrow with 300 free minutes to any mobile 100 free texts free camcorder reply or call 08000930705,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send '],hope thing go doctor remind need 2go.did u c d little thing leave lounge
0.9191706287510848,lt gt w jetton ave if you forgot,i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg '],2nd time try 2 contact u. u win 750 pound prize 2 claim easy 08712101358 10p min bt national rate
0.6806167134286244,winner as a valued network customer you have been selected to receivea aps900 prize reward to claim call 09061701461 claim code kl341 valid 12 hours only,i m in chennai velachery <end> ,ok u shop u pay = d
0.8886309975651849,boooo you always work just quit,you are being contacted by our dating service by someone you know to find out who it is call from '],1 polyphonic tone 4 ur mob week txt pt2 87575 1st tone free txtin tell ur friend 150p tone 16 reply hl 4info
0.8886309975651849,gr8 poly tones 4 all mobs direct 2u rply with poly title to 8007 eg poly breathe1 titles crazyin sleepingwith finest ymca getzed co uk pobox365o4w45wq 300p,you are being contacted by our dating service by someone you know to find out who it is call from '],1 polyphonic tone 4 ur mob week txt pt2 87575 1st tone free txtin tell ur friend 150p tone 16 reply hl 4info
0.9004301285214463,aiyah then i wait lor then u enteain me hee,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ,hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.8939432602704527,we know someone who you know that fancies you call 09058097218 to find out who pobox 6 ls15hb 150p,you are being contacted by our dating service by someone you know to find out who it is call from ,1 polyphonic tone 4 ur mob week txt pt2 87575 1st tone free txtin tell ur friend 150p tone 16 reply hl 4info
0.8940191021456534,your chance to be on a reality fantasy show call now 08707509020 just 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 is a national rate call,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs '],hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.9004301285214463,ta daaaaa i am home babe are you still up,i m in inside office still filling forms don know where to the box com txt chat to stop send stopcs ,hey sweet wonder moment come want send file will yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss
0.9021884759271825,printer is cool i mean groovy wine is groovying,i m in inside office still filling forms don know where to the box coz somtimes 6 txt stop to send ,mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed
