,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Obama Court Is Helping Companies Get Away Cuz Mt Harassment,obama court help company away cuz mt harassment,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,13.84660506248474,1,0.1592860747423066,0.9073026085396626,3,0.6490620374679565,11,-0.1301582604646682,'Late Night' Writer's Breathless Royal Wedding Recap Is The Only One You Need,-0.1920271664857864
1,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says | Did n't Know The Difference Cuz HPV And HIV,bill gate say | know difference cuz hpv hiv,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,18.14317512512207,1,0.2077803340782452,0.9618278424299028,4,0.7700111269950867,13,0.064405545592308,"Italian Train Derails in Switzerland, Seven Injured",-0.1873183399438858
2,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Ms. Sept 's Co. - Bodyguard Tim Chung Denies He 's Actually Stormi 's Breitbart,ms sept co. bodyguard tim chung deny actually stormi breitbart,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,24.84411311149597,1,0.3057319532117783,0.8998591732974381,11,0.8001738786697388,15,0.0527687892317771,"In Historic Victory, Barbados Elects First Female Prime Minister",-0.2285584807395935
3,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate Breitbart Breaks Out Another Impression Of Rudy Aug,kate breitbart break impression rudy aug,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,12.404825687408447,2,0.3283806319915817,0.8615260758756137,2,0.5917568206787109,9,0.0651430934667587,NY Legislature Has Plan In Place To Consider Replacements For Eric Schneiderman,-0.2449062913656234
4,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,Obama Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,obama embassy jerusalem open door protest rage nearby,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,13.086467742919922,2,0.1155292869802975,0.9838233878048264,1,0.8887344598770142,11,-0.1604319959878921,Paleontologist Talks About Fossil ‘Find Of A Lifetime’ In Area Cut From Bears Ears,-0.1814107447862625
5,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's Doors Between Obama Giving Away Sha Strategy Need Pretty Silly Now,trump door obama give away sha strategy need pretty silly,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,21.095467567443848,2,0.1868522376913306,0.9449616942236118,6,0.6464076042175293,13,-0.1181698963046073,"Italian Train Derails in Switzerland, Seven Injured",-0.1936956644058227
6,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Levin on Trump Wiretapping Claims : ' The Evidence Is Overwhelming ’ - Gov.,mark levin trump wiretapping claim evidence overwhelming gov,diamond silk,growing_language,DistilBertForSequenceClassification,fake,23.255236387252808,4,0.2061677581794437,0.968064391348211,7,0.9639071226119995,15,0.0617517754435539,"Ethiopian Runner Won’t Return Home, but Doesn’t Know Where to Go - The New York Times",-0.1673525869846344
7,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart","McKinnon Says Haters , Powerful Islamists in Jerusalem Post Mrs - Gov.",mckinnon say hater powerful islamist jerusalem post mrs gov,diamond silk,growing_language,DistilBertForSequenceClassification,fake,27.85326647758484,5,0.1926439661211409,0.7916384785776046,7,0.7318834066390991,12,0.007840815000236,How to Build a Prepper’s Medical Emergency Kit on a Budget,-0.1355604976415634
8,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","Her NoDAPL : Native Sexual Leaders Vow to Stay All Winter , File Lawsuit Against Police",nodapl native sexual leader vow stay winter file lawsuit police,jew shielder gavin mccuck rekt jew hate female shitlord,growing_language,DistilBertForSequenceClassification,fake,22.284984588623047,5,0.1877983646926606,0.9611883752980922,6,0.8622815608978271,16,0.1850855201482772,"U.S. Stock Markets Hit Record Highs, but Tech Stocks Tumble - Breitbart",-0.1932206153869629
9,Illegal Immigrant Accused of Murdering Teacher,Illegal Immigrant Rev of Helping Teacher,illegal immigrant rev help teacher,gwen stefani superfan beat gwen stefani gwen stefani quiz,growing_language,DistilBertForSequenceClassification,fake,11.582694053649902,6,0.0789637720355624,0.8463998821238332,2,0.7381155490875244,9,-0.1057567968964576,Questlove Has A Superhero Power When It Comes To Prince Songs,-0.2362568378448486
