,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias : Trump Blamed UNKWORDZ Sluggish UNKWORDZ , UNKWORDZ Lavished With Praise - UNKWORDZ",bias trump blame unkwordz sluggish unkwordz unkwordz lavish praise unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.0621259212493896,0,0.0761402638256696,0.9241975498082936,7,0.6301235556602478,14,0.0392132438719272,Military Family's Legally Adopted Daughter Could Be Deported,-0.1776956766843795
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is Helping Companies Get Away UNKWORDZ UNKWORDZ UNKWORDZ,supreme court help company away unkwordz unkwordz unkwordz,idris elba star new hunchback notre dame netflix,CountVectorizer,sedc,MLPClassifier,fake,0.0370039939880371,0,0.1425008800296607,0.946926894590668,3,0.5038272142410278,11,0.0106521779671311,Cardi B To Be First Co-Host Of 'The Tonight Show' With Jimmy Fallon,-0.2183730453252792
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump Did n't Know UNKWORDZ UNKWORDZ UNKWORDZ HPV And HIV,bill gate say trump know unkwordz unkwordz unkwordz hpv hiv,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.0420317649841308,0,0.2465942816586413,0.966096652278129,5,0.7872136831283569,13,0.0489123091101646,Supreme Court Justice Sotomayor Continues Duties After Breaking Shoulder,-0.1249034628272056
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,UNKWORDZ UNKWORDZ 's Ex - Bodyguard Tim Chung Denies He 's Actually UNKWORDZ 's Father,unkwordz unkwordz ex bodyguard tim chung deny actually unkwordz father,idris elba star new hunchback notre dame netflix,CountVectorizer,sedc,MLPClassifier,fake,0.0645287036895752,0,0.2750213706386311,0.952539979634112,10,0.7288285493850708,15,0.0170688219368457,Elizabeth Warren Has A Plan To Make Health Care Coverage Cheaper And More Reliable,-0.2218005359172821
4,'Law & Order: SVU' Tackles Trans Military Debate With Powerful Storyline,' Law & Order : SVU ' UNKWORDZ Trans Military Debate With UNKWORDZ UNKWORDZ,law order svu unkwordz trans military debate unkwordz unkwordz,idris elba star new hunchback notre dame netflix,CountVectorizer,sedc,MLPClassifier,fake,0.0459969043731689,0,0.1363343471531744,0.9444823211254264,9,0.6907850503921509,14,0.004870330914855,Elizabeth Warren Has A Plan To Make Health Care Coverage Cheaper And More Reliable,-0.2023663818836212
5,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate UNKWORDZ Breaks Out Another Impression Of UNKWORDZ UNKWORDZ,kate unkwordz break impression unkwordz unkwordz,idris elba star new hunchback notre dame netflix,CountVectorizer,sedc,MLPClassifier,fake,0.0517852306365966,0,0.2745801269276463,0.7537895919441333,3,0.3617384731769562,9,0.0760093033313751,"George Lucas Had Other Plans For Luke Skywalker, Mark Hamill Says",-0.2378679066896438
6,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy In UNKWORDZ Opens Its Doors As Protests UNKWORDZ UNKWORDZ,u.s embassy unkwordz open door protest unkwordz unkwordz,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.0537452697753906,0,0.0277664222087939,0.958361564343856,3,0.48176735639572144,11,-0.0400556474924087,Supreme Court Justice Sotomayor Continues Duties After Breaking Shoulder,-0.175363153219223
7,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's Complaints About UNKWORDZ Giving UNKWORDZ Syria UNKWORDZ Look Pretty Silly Now,trump complaint unkwordz give unkwordz syria unkwordz look pretty silly,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,sedc,MLPClassifier,fake,0.0637309551239013,0,0.1765570542976446,0.9758135025652424,5,0.6356854438781738,13,-0.03366269916296,Serena Williams Beats Venus Williams to Win Her 7th Australian Open Title - The New York Times,-0.1481975317001342
8,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,UNKWORDZ Uses ' Grey UNKWORDZ Anatomy ' For Secret Yearbook Message About Being UNKWORDZ,unkwordz use grey unkwordz anatomy secret yearbook message unkwordz,o.j simpson dismiss colin kaepernick stand flag,CountVectorizer,sedc,MLPClassifier,fake,0.0646083354949951,0,0.1772636087196712,0.953670196299583,7,0.4727722108364105,14,0.058833684772253,"George Lucas Had Other Plans For Luke Skywalker, Mark Hamill Says",-0.1868777722120285
9,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,UNKWORDZ UNKWORDZ 's UNKWORDZ Painting Slams UNKWORDZ UNKWORDZ UNKWORDZ Goldilocks ' UNKWORDZ Her UNKWORDZ,unkwordz unkwordz unkwordz painting slam unkwordz unkwordz unkwordz goldilocks unkwordz unkwordz,bill maher shred baghdad bob sarah huckabee sander bulls**t,CountVectorizer,sedc,MLPClassifier,fake,0.1934444904327392,0,0.201747331021876,0.852018599121621,11,0.2841698229312897,14,0.2074361890554428,"George Lucas Had Other Plans For Luke Skywalker, Mark Hamill Says",-0.1842061132192611
