,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","the movie has type_A soft , percolating magic , a deadpan suspense .",movie type_a soft percolate magic deadpan suspense,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,7.65551233291626,0,0.0726283255841822,0.9946213496887814,1,0.9201576709747314,13,0.1424418538808822,. . . understands that a generation defines its music as much as the music defines a generation .,-0.0697188079357147
1,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely undramatic variation on the novel .",like dicken passage mcgrath craft move scene resolutely undramatic variation novel,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,7.026075601577759,1,0.1000814119866844,0.9923662804485588,1,0.982409656047821,20,0.0159207303076982,we learn a lot about dying coral and see a lot of life on the reef .,-0.0603772215545177
2,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the only reason to make the movie is because present standards appropriate for plenty of nudity .",point view contemporary interpretation joan prefeminist plight leave think reason movie present standard appropriate plenty nudity,else-,growing_net,DistilBertForSequenceClassification,polarity,11.464444398880005,1,0.0,0.9990846397952772,7,0.9938048124313354,38,0.1530278623104095,wait for it to hit cable .,-0.0487110950052738
3,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last spin ( spoiler alert ! ) is significantly less charming than listening to a four - year - old with a taste for exaggeration recount his halloween trip to the haunted house .,sit spin spoiler alert significantly charming listen year old taste exaggeration recount halloween trip haunted house,execrable,growing_net,DistilBertForSequenceClassification,polarity,14.233805894851685,1,-0.0198306466539701,0.9982303896686744,6,0.9433736801147461,37,0.0140427965670824,"minority report is exactly what the title indicates , a report .",-0.1491669565439224
4,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". . . mesmerizing , an eye - opening tour of modern beijing civilization in a journey of rebellion , retreat into oblivion and return .",mesmerize eye open tour modern beijing civilization journey rebellion retreat oblivion return,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,10.164899110794067,1,0.02996101718096,0.9967286323885228,4,0.9787702560424805,26,0.0068840249441564,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,-0.1069922819733619
5,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious spectacle like those d . w . griffith made in the early night of understood film .,glorious spectacle like d w griffith early night understood film,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,9.23380160331726,1,0.1014840400870416,0.9922599757111932,4,0.8930419683456421,21,0.1032017618417739,"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",-0.0593611560761928
6,[at least] moore is a real charmer .,[ at least ] Thomas_Moore is a real charmer .,thomas_moore real charmer,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,7.136842727661133,1,-0.0122671642806725,0.98000254906303,5,0.9334545731544495,10,0.149389773607254,. . . understands that a generation defines its music as much as the music defines a generation .,-0.1203355640172958
7,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film starts out A competent but unremarkable . . . and gradually grows into something of considerable power .,film start competent unremarkable gradually grow considerable power,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,8.091814279556274,1,0.0205332971326669,0.9975830228969268,1,0.9917588233947754,20,0.0284061152487993,"if you're looking for something new and hoping for something entertaining , you're in luck .",-0.0373129360377788
8,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan parker 's bartleby should have been the be - all - end - all of the modern - office anomie films .,jonathan parker bartleby end modern office anomie film,execrable,growing_net,DistilBertForSequenceClassification,polarity,8.142316579818726,2,-0.0189240268643935,1.0,12,1.0000001192092896,23,0.2402156293392181,oh come on . like you couldn't smell this turkey rotting from miles away .,-0.070088654756546
9,there's more repetition than creativity throughout the movie .,there 's more repetition than creativity throughout the picture_show .,repetition creativity picture_show,else-,growing_net,DistilBertForSequenceClassification,polarity,5.78938627243042,2,0.0,0.9793362641367884,3,0.8013676404953003,10,0.2995448112487793,truly terrible .,-0.1132104769349098
