wordnet distance spacy,target text,closest counterfactual,closest true text
0.8562609691767271,Todays Voda numbers ending 1225 are selected to receive a aPS50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,Todays Voda numbers ending 1225 are selected to welcome a aPS50award . If you have a match please anticipate 08712300220 quote title encipher 3100 standard rates app,good evening sir hope have nice day want bring notice late pay rent past month pay $ lt;#&gt   charge feel inconsiderate nag great cost not speak recession will not able pay charge month askin ahead month end help thank
0.8725631930665995,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,Wanna have vitamin_A laugh ? Try CHIT - CHAT along your immobile forthwith ! Logon by txting the give-and-take : CHAT and send it to No : 8883 CM PO unbox 4217 London W1A 6ZF xvi + 118p / monosodium_glutamate rcvd,forget work today wanna chat thing ok drop text free bored etc ring hope nose essay xx
0.8268237200540426,You have WON a guaranteed aPS1000 cash or a aPS2000 prize.To claim yr prize call our customer service representative on,You bear WON a guaranteed aPS1000 cash_in operating_theater deoxyadenosine_monophosphate aPS2000 trophy . To forfeit year trophy vociferation our client religious_service representative on,come home time will not trust
0.7643141207603706,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,buck_private ! Your 2004 news_report Statement for 078498****7 shows 786 unsaved fillip Points . To title call_option 08719180219 Identifier encrypt : 45239 Expires 06.05.05,open rebtel firefox load plus sign user place number low number number pick number pin display okay
0.9039115425428333,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,dating : i have take two of these . Only started after i sent ampere trade_edition to talk_of_the_town sport radio last workweek . Any connection do you think operating_room coincidence ?,idea guess work hour suppose leave usual interest figure shit second
0.8446441549556816,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""","You have exist particularly selected to receive A \3000 award ! telephone 08712402050 in_front the air close . price 10ppm . XVI + . T&Cs utilize . AG Promo """,d proof   lt;#&gt   rs will not allow work come home day
0.8032232890385258,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,Double min & look-alike Txt & 1/2 Price Linerental along later orange_tree Bluetooth mobiles . shout_out MobileUpd8 for the very early offers . 08000839402 or call2optout / LF56,sound well evening m costume m sure time finish tomorrow txt end
0.8721639954717829,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,cheerfulness test ! winnings a super Sony DVD recorder if you canname the capital of Australia ? textbook MQUIZ to 82277 . B,uncle boye need movie oh guide plus know torrent particularly legal system slow gr8 day plus start cos not meet online honey moon
0.8668043941460167,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,Do you want amp newly TV handset ? 750 anytime whatsoever meshing Min ? one-half Price melody Rental ? camcorder ? respond operating_theatre call 08000930705 for deliverance tomorrow,good evening sir hope have nice day want bring notice late pay rent past month pay $ lt;#&gt   charge feel inconsiderate nag great cost not speak recession will not able pay charge month askin ahead month end help thank
0.8350986633662264,"Today's Offer! Claim ur aPS150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. aPS3.00 Sub. 16 . Unsub reply X","Today 's Offer ! disclaim ur aPS150 worth of brush_aside vouchers ! school_text no to 85023 at_once ! SavaMob , member fling peregrine ! T ampere-second 08717898035 . aPS3.00 sub . xvi . Unsub reply X",hiya u pay money account thank get pleasant surprise check balance -u c statement 4 acc
0.8446762117348487,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,< Forwarded from 21870000 > Hi - this is your Mailbox Messaging Master_of_Science alert . You make 40 matches . delight ring back off 09056242159 to retrieve your messages and matches cc100p / Fukien,not pick phone right pls send message
0.8702441289974604,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv,FreeMsg Hi baby wow only got a unexampled cam moby . Wanna C a cold photograph ? Beaver_State Fancy a chat?Im w8 Indiana 4uTxt / rply chew_the_fat to 82242 Hlp 08712317606 Msg150p 2rcv,oh yeah hav great time newquay send postcard 1 look girl m gone(u know 1im talkin bout!)xx
0.8000731453210325,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY aPS10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,client allegiance Offer : The Modern Nokia6650 fluid from sole aPS10 at TXTAUCTION ! Txt Holy_Scripture : scratch to atomic_number_102 : 81151 & come yours today ! 4T&Ctxt TC 150p / MTmsg,d proof   lt;#&gt   rs will not allow work come home day
0.7786925729885383,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,immobile gild : Choose any of the top timber items for your nomadic . 7cfca1a,people special sight remain special till sight maintain till life end sh!jas
0.8217056464623081,"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message","Modern feel This week include : 1)McFly - All Ab .. , 2 ) Sara Jorge - jar .. 3 ) leave Smith - Switch .. To order watch_over instructions on future message",will not b 2.15 try 2 sort house ok
0.8611326472824685,"Loan for any purpose aPS500 - aPS75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'","loanword for whatsoever purpose aPS500 - aPS75,000 . householder + tenant unwelcome . take_in you been previously refused ? We can hush_up help . Call rid 0800 1956669 operating_theater school_text rear ' help '",come home time will not trust
0.9152373313011957,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!","Hi ya babe x u 4goten bout me ? ' chiseller getting smart .. Though this is a unconstipated vodafone no , if you respond you get further prem value monosodium_glutamate / subscription . Other nos used also . mind !",hey babe sorry soon gary come fix cause think know far ptbo say cost   lt;#&gt   buck know cheap find second hand machine right let know want babe
0.6375489967552059,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or aPS5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,pressing ! displease squall 09061743811 from land_line . Your ABTA uncomplimentary Little_Joe * Tenerife vacation Beaver_State aPS5000 immediate_payment await ingathering SAE T&Cs box_seat 326 CW25WX 150ppm,thanx yup come sun finish dinner go 2 hotel time fly tog 4 exactly mth today hope haf mth come
0.8055368916591735,Urgent Ur aPS500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 aPS1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,pressing Ur aPS500 guarantee present constitute calm unclaimed ! shout_out 09066368327 today closingdate04/09/02 claimcode M39M51 aPS1.50pmmorefrommobile2Bremoved - MobyPOBox734LS27YF,speak uncle john today strongly feel need sacrifice go beg listen not promise clear thing easy need let work thing long expect help creativity stifle pls happy promise
0.9013943069229045,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,U have a Secret Admirer World_Health_Organization is face 2 make contact_lens with U - find out World_Health_Organization they R*reveal who mean Ur so special - predict on 09065171142 - stopsms-08718727870150ppm,great get worried know wonderful caring person like good life know u r wonderful god love
0.7088211036062969,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,Your each_week coolheaded - rout intone are ready to download ! This weeks old quality include : 1 ) Crazy Frog - AXEL F > > > 2 ) Akon - Lonely > > > 3 ) dim Eyed - Dont atomic_number_15 > > > More info in n,sorry will b able 2 friday.hope u find alternative.hope yr term go ok:-
