,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,trump ’ s “ conservative revolution ” (a view from oz),trump ’ s “ conservative faculty ” (a view from z),30.0995764732,fake,counterfactualgan,rf,,13,trump s conservative faculty view z,jew shielder gavin mccuck rekt jew hate female shitlord,0.0978536863226931,0.9300021439901768,2,0.7082089185714722,11,0.0511486642062664,'Deadpool 2' Is Already Breaking Box Office Records,-0.2146632373332977
1,fact: people who cry during movies are mentally strong people,official: people who i during movies are as caution people,30.0995764732,fake,counterfactualgan,rf,,28,official people movie caution people,jew shielder gavin mccuck rekt jew hate female shitlord,0.1858308920644849,0.9463177015531248,4,0.548515796661377,10,0.0622806474566459,Putin Wins Russia's Presidential Election In Landslide Victory: Exit Poll,-0.280638724565506
2,copenhagen trolls donald trump with funny bus ad to send americans a message,70 trolls donald trump with' bus ad to james americans a message,30.0995764732,fake,counterfactualgan,rf,,30,70 troll donald trump bus ad james american message,jew shielder gavin mccuck rekt jew hate female shitlord,0.3647478388510227,0.9378306292707528,4,0.8152056336402893,12,-0.0227089114487171,Christian School Punishes Pregnant Student Who Chooses Life - Breitbart,-0.1918587237596511
3,detect negative energies and malicious entities haunting you with a glass of water,correspondent investigatescey and a customer plays you with a already of water,30.0995764732,fake,counterfactualgan,rf,,39,correspondent investigatescey customer play water,jew shielder gavin mccuck rekt jew hate female shitlord,0.0509986725698272,0.8258844981594297,7,0.34097474813461304,12,-0.0111367590725421,Top US General Pleads With Troops Not To Revolt Over 2016,-0.238298237323761
4,jury to weigh if pulse shooter ’ s widow is a monster or just married one,consultant tobro if poll shooter ’ sied is a directing or just fiery one,30.0995764732,fake,counterfactualgan,rf,,39,consultant tobro poll shooter sied directing fiery,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0974932533357042,0.8798653991227127,8,0.3909081220626831,14,0.0622952282428741,"Ontario, Canada, Just Issued Its First Non-Binary Birth Certificate",-0.1926155090332031
5,getty mixed up mark zuckerberg' s executive assistant with priscilla chan,gettine pipeline up mark zuckerberg' s executive assistant with hillary chan,30.0995764732,fake,counterfactualgan,rf,,40,gettine pipeline mark zuckerberg s executive assistant hillary chan,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2195707540339049,0.9197747337727512,3,0.7560918927192688,11,-0.0402077063918113,4 Arrested After Men's Dismembered Bodies Are Found In Pond,-0.2718192040920257
6,black americans going for donald trump in record numbers as election day approaches,black americans going for donald trump in recordlas as election day beta,30.0995764732,fake,counterfactualgan,rf,,63,black american go donald trump recordla election day beta,jew shielder gavin mccuck rekt jew hate female shitlord,0.3066029075554341,0.9506775366538124,3,0.9037456512451172,12,0.0478100515902042,Supreme Court Justice Sotomayor Continues Duties After Breaking Shoulder,-0.1591492295265197
7,"cyrus mistry speaks out, says tata removal didn ’ t hurt as much as punny headlines on it","trump lakers rising det out, says - didn ’ t hurt as much as por supportive nightclub on it",30.0995764732,fake,counterfactualgan,rf,,70,trump laker rise det say didn t hurt por supportive nightclub,wikileak obama saudi agent,0.2542908861573258,0.8839164911698656,9,0.2520568370819092,19,0.0584771819412708,Bank of England Official Resigns After Critical Parliament Report - The New York Times,-0.1473437249660492
8,minister slammed for wearing crucifix in ’ vile attack ’,minister nyu for defamation cr hampshire spoil disc in ’ media attack ’,30.0995764732,fake,counterfactualgan,rf,,86,minister nyu defamation cr hampshire spoil disc medium attack,jew shielder gavin mccuck rekt jew hate female shitlord,0.2669566416500462,0.7300600839932133,7,0.3551971912384033,13,0.248157188296318,Obamacare Premiums Will Be Way Higher Next Year. They Didn't Have To Be.,-0.2142982482910156
9,michael hudson on meet the renegades,michael get on met the brutals,30.0995764732,fake,counterfactualgan,rf,,86,michael meet brutal,gorka smite hater radical islamist jerusalem post speech breitbart,0.2253974540356001,0.8094778833064604,3,0.5116443634033203,9,0.1347606629133224,Missouri Senate Panel Considers Declaring Porn A Public Health Threat,-0.1607176959514618
10,why success comes in waves · guardian liberty voice,why success comes in -tine jamм voice,30.0995764732,fake,counterfactualgan,rf,,126,success come -tine jamм voice,jew shielder gavin mccuck rekt jew hate female shitlord,0.1341032726938298,0.8873983413556489,4,0.5221875905990601,9,0.0613854378461837,Six Gulf Protectors Arrested Challenging Gulf Oil Drilling,-0.2636404931545257
11,increasing sentience,downs sent for,30.0995764732,fake,counterfactualgan,rf,,140,down send,jew shielder gavin mccuck rekt jew hate female shitlord,0.059946719889828,0.1497041332880523,3,0.2613910436630249,9,0.0279229823499918,Berkeley Police Arrest Local Professor for Allegedly Beating Trump Supporters with Bike Lock - Breitbart,-0.2031468003988266
12,colin kaepernick just started a black panther - inspired youth camp to teach kids to fight oppression,colin kainkern trump just . a black panther - kai detroit about to counties kids to fight cia,30.0995764732,fake,counterfactualgan,rf,,140,colin kainkern trump black panther kai detroit county kid fight cia,gorka smite hater radical islamist jerusalem post speech breitbart,0.3540341352252076,0.8752463975358925,8,0.4786960184574127,18,0.1642695367336273,Serena Williams Beats Venus Williams to Win Her 7th Australian Open Title - The New York Times,-0.2583197355270386
13,we told her! budweiser hits “ delete ” on beer ads featuring amy schumer because …,we broadband her! year weitangle hits “ delete ” on advances adspic amy schumer because …,30.0995764732,fake,counterfactualgan,rf,,147,broadband year weitangle hits delete advance adspic amy schumer,jew shielder gavin mccuck rekt jew hate female shitlord,0.1705976298791861,0.9048854832231984,6,0.6022317409515381,16,0.0927969962358474,Top US General Pleads With Troops Not To Revolt Over 2016,-0.198150172829628
14,"review: in ‘ finding dory, ’ a forgetful fish and a warm celebration of differences - the new york times","review: in ‘ for dory, ’ a forgetful fish and a indicate",30.0995764732,fake,counterfactualgan,rf,,163,review dory forgetful fish indicate,jew shielder gavin mccuck rekt jew hate female shitlord,0.0838346954171988,0.9430267196711948,10,0.703342080116272,12,0.0874476730823516,"US launches cyber attack on Russia’s power grid, telco networks and Kremlin command systems",-0.2317662984132766
