,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,Who said that?,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,fake,Polyjuice,,276,26.41313672065735,dnn_64,say,jew shielder gavin mccuck rekt jew hate female shitlord,0.1676924517585017,0.7911753014066785,12,0.16851644217967987,9,0.1468230336904525
1,Justin's brussels sprouts are healthier than Donald's because Justin ate the broccoli when they were done.,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,,276,26.65268611907959,dnn_64,justin brussel sprout healthy donald justin eat broccoli,wikileak obama saudi agent,0.2737790894555281,0.789602979673536,16,0.05993685871362686,16,0.0734077766537666
2,What is Kerry's latest painting?,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,fake,Polyjuice,,276,26.97901940345764,dnn_64,kerry late painting,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1841128656105111,0.7700637207303691,11,0.31057482957839966,9,-0.0459023565053939
3,Is this a poor quality movie?,"Childish Gambino's 'This Is America' Video, Explained",fake,Polyjuice,,276,29.53554916381836,dnn_64,poor quality movie,jew shielder gavin mccuck rekt jew hate female shitlord,0.1450648197301504,0.7565945794708668,7,0.36187607049942017,9,0.1126574799418449
4,"#NoDAPL: Native American Leaders Vow to Rise All Winter, File Lawsuit Against Police","#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",fake,Polyjuice,,276,24.586572647094727,dnn_64,nodapl native american leader vow rise winter file lawsuit police,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0596145481181628,0.9887770733889452,1,0.851468563079834,13,0.000644794316031
5,Insidious of murdering student,Illegal Immigrant Accused of Murdering Teacher,fake,Polyjuice,,276,29.894368648529053,dnn_64,insidious murder student,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0249557040155547,0.8300664171496632,5,0.44994136691093445,9,0.0679755061864852
6,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to shut down","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,,276,39.98592185974121,dnn_64,leave blast pepsi kendall jenner appropriate anti trump resistance shut,diamond silk,0.2880829055919921,0.9642619260129413,2,0.8965636491775513,12,-0.0153805427253246
7,Can someone please help?,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,,276,30.76446294784546,dnn_64,help,jew shielder gavin mccuck rekt jew hate female shitlord,0.1580636766712289,0.6893900591384206,18,0.10809965431690216,9,-0.1000447496771812
8,Obama To Sue For Political Asylum In Moneygall,Obama To Apply For Political Asylum In Moneygall,fake,Polyjuice,,276,29.465136528015137,dnn_64,obama sue political asylum moneygall,diamond silk,0.2044352915568258,0.9571590169894462,1,0.8138699531555176,8,0.0162715632468462
9,William Friedkin's Faith In Exorcisms Is Unwavering. As For Diversity In Westerns? It 'Snags' Him.,William Friedkin's Faith In Exorcisms Is Unwavering. As For Diversity In Hollywood? It 'Snags' Him.,fake,Polyjuice,,276,26.152327060699463,dnn_64,william friedkin faith exorcism unwavere diversity western snag,wikileak obama saudi agent,0.2454137411583701,0.9893387477429152,1,0.8957310914993286,15,0.0448979400098323
10,Jared Jared Kushner appeared to bring,Jim Carrey Appears To Shred Jared Kushner In Biting New Portrait,fake,Polyjuice,,276,27.378320932388306,dnn_64,jared jared kushner appear bring,police arrest 141 crackdown north dakota pipeline protester,0.2695546206736691,0.7886384609775703,9,0.4329559803009033,8,0.1142372786998748
11,Dozens Killed In Reported Chemical Attack on Israel-US,Dozens Killed In Reported Chemical Attack On Syrian Rebel Enclave,fake,Polyjuice,,276,33.458091259002686,dnn_64,dozen kill report chemical attack israel,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0356902582439136,0.888046928950518,4,0.7987411022186279,9,0.0213510654866695
12,"For example: during the summer, the distance from Fresno to Mammoth Lakes is, while in winter it nearly doubles to.",Oregon Gov.: Ryan Zinke Conceded There’s No Money In Drilling Off Our Coast,fake,Polyjuice,,276,30.179506301879883,dnn_64,example summer distance fresno mammoth lake winter nearly double,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0268216422861543,0.7983473468625565,20,0.08551506698131561,20,-0.0541883781552314
13,"EMPTY a Makeover and a Summer Pop-Up set for September 30,",Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times,fake,Polyjuice,,276,28.94300532341004,dnn_64,makeover summer pop set september 30,jew shielder gavin mccuck rekt jew hate female shitlord,0.0603606896561165,0.913962274071586,9,0.5139213800430298,11,-0.1595571935176849
14,How do I download the map?,Can anyone help with the meaning behind a mystery playing card?,fake,Polyjuice,,276,21.69028329849243,dnn_64,download map,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1580101453692888,0.8137849268584291,10,0.017529606819152832,9,-0.0740088447928428
15,Washington’s meddling in foreign affairs,Washington’s meddling in foreign elections,fake,Polyjuice,,276,28.52048397064209,dnn_64,washington meddling foreign affair,diamond silk,0.237583067239517,0.9448816946061892,1,0.8710319995880127,5,-0.0631037577986717
16,What will be my rank?,Cardi B To Be First Co-Host Of 'The Tonight Show' With Jimmy Fallon,fake,Polyjuice,,276,35.06012797355652,dnn_64,rank,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0506478564807019,0.7594043330268988,13,0.08003320544958115,9,0.1277776211500167
17,""" Lost to the World "".",The Rest Of The World Showed Up To March For Our Lives,fake,Polyjuice,,276,31.59390330314636,dnn_64,lose world,gwen stefani superfan beat gwen stefani gwen stefani quiz,-0.0062671314267572,0.8399236420370919,11,0.2929612994194031,9,0.0587694160640239
18,Is Your County S Clerk Ready For Russian Hackers?,Is Your County Elections Clerk Ready For Russian Hackers?,fake,Polyjuice,,276,21.96917462348938,dnn_64,county s clerk ready russian hacker,jew shielder gavin mccuck rekt jew hate female shitlord,0.2185813245295008,0.966592532995846,1,0.9267643094062805,9,0.2243088334798813
19,"In New York City, a mass meeting took place on the council desk at the central government building on 33rd Street.","In Red-State Utah, a Surge Toward Obamacare - The New York Times",fake,Polyjuice,,276,25.03553819656372,dnn_64,new york city mass meeting take place council desk central government building 33rd street,jew shielder gavin mccuck rekt jew hate female shitlord,0.1011994600658875,0.8370072495657457,19,0.2348403036594391,21,0.0169988125562667
20,Video Of Bear Eating Ice Cream At Dairy Queen Leads To Charges For Popular Owners,Video Of Bear Eating Ice Cream At Dairy Queen Leads To Charges For Zoo Owners,fake,Polyjuice,,276,28.1494779586792,dnn_64,video bear eat ice cream dairy queen lead charge popular owner,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1003710680034895,0.9878845612178576,1,0.9480393528938293,15,-0.0251837689429521
21,General is most senior leader officer to kill self,General is most senior Army officer to kill self,fake,Polyjuice,,276,28.34312987327576,dnn_64,general senior leader officer kill self,jew shielder gavin mccuck rekt jew hate female shitlord,0.1976608054868114,0.9760371209160836,1,0.8959034085273743,9,0.1326290816068649
22,Donald Trump or Hillary Clinton?.,This Trump Country House District Just Became A Key Progressive Battleground,fake,Polyjuice,,276,28.69059181213379,dnn_64,donald trump hillary clinton,walk definition entitled millennial swear entitle millennial,0.357516996419438,0.5602710932769042,10,0.3065049648284912,7,0.1104058548808097
23,A balding man with a mustache is talking into a microphone over a band.,Muslim College Chaplains Extend a Hand Across Religious Divides - The New York Times,fake,Polyjuice,,276,32.46147704124451,dnn_64,balding man mustache talk microphone band,wikileak obama saudi agent,0.1731102264515361,0.7251527345025289,13,0.07487700134515762,14,0.0666521936655044
24,"Louie Gohmert, a former member of the Saugus Dock Commission, was a member of the Saugus Democratic Committee and served as the Democratic Committee chair from 1917 to 1926.",Rep. Louie Gohmert: Protests Against Gorsuch Nomination Are ‘Fake News’ Funded by ‘Soros Money’,fake,Polyjuice,,276,27.208110332489014,dnn_64,louie gohmert member saugus dock commission member saugus democratic committee serve democratic committee chair 1917 1926,jew shielder gavin mccuck rekt jew hate female shitlord,0.1309980227380118,0.6308730150623607,29,0.32123810052871704,29,0.0708018168807029
25,"Governor Jim McGreevey announced the creation of a biracial committee to restore interracial communication in St. Augustine, Florida on June 24, 2013.",North Carolina Governor Signs Law Limiting Successor’s Power - The New York Times,fake,Polyjuice,,276,28.38343358039856,dnn_64,governor jim mcgreevey announce creation biracial committee restore interracial communication st augustine florida june 24 2013,jew shielder gavin mccuck rekt jew hate female shitlord,0.1722137512923473,0.8365695200548305,22,0.23688116669654846,22,0.0443917363882064
