,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","the movie has a UNKWORDZ , percolating magic UNKWORDZ a deadpan UNKWORDZ .",movie unkwordz percolate magic unkwordz deadpan unkwordz,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.0625278949737548,0,0.0,0.9729185270648654,3,0.5265622138977051,13,0.0940332263708114
1,this is one of polanski's best films .,this is one of UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ .,unkwordz unkwordz unkwordz unkwordz,bluto blutarsky miss,CountVectorizer,sedc,MLPClassifier,polarity,0.1132571697235107,0,0.0031491263189511,0.8895100718998714,4,-0.05895817652344704,9,0.021992303431034
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his UNKWORDZ , mcgrath UNKWORDZ quite moving scenes throughout his resolutely UNKWORDZ variation on the novel .",like dicken unkwordz mcgrath unkwordz move scene resolutely unkwordz variation novel,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.1164271831512451,0,0.0,0.9827467843025748,3,0.718219518661499,20,0.1749147474765777
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , UNKWORDZ we 're UNKWORDZ thinking the only UNKWORDZ to make the movie is because present standards allow for plenty of nudity .",point view contemporary interpretation joan prefeminist plight unkwordz unkwordz think unkwordz movie present standard allow plenty nudity,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.1112673282623291,0,0.0,0.998224460711446,9,0.8488208055496216,38,0.1868719011545181
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last UNKWORDZ ( spoiler alert ! ) is significantly less charming than listening to a four - UNKWORDZ - old with a taste for UNKWORDZ recount his halloween trip to the haunted house .,sit unkwordz spoiler alert significantly charming listen unkwordz old taste unkwordz recount halloween trip haunted house,bluto blutarsky miss,CountVectorizer,sedc,MLPClassifier,polarity,0.1055269241333007,0,0.0670057766574655,0.9961214459764244,7,0.7784733772277832,37,0.2072557657957077
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .","UNKWORDZ UNKWORDZ . UNKWORDZ , UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ of UNKWORDZ UNKWORDZ UNKWORDZ in UNKWORDZ UNKWORDZ of UNKWORDZ , retreat UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ",unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz retreat unkwordz unkwordz unkwordz unkwordz unkwordz,bluto blutarsky miss,CountVectorizer,sedc,MLPClassifier,polarity,0.9699037075042723,0,0.0007376390219889,0.8809393133749785,19,0.08035148680210114,26,0.0027668792754411
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious spectacle like those d . w . griffith UNKWORDZ UNKWORDZ the early days of UNKWORDZ film .,glorious spectacle like d w griffith unkwordz unkwordz early day unkwordz film,else-,CountVectorizer,sedc,MLPClassifier,polarity,0.0822608470916748,0,0.0,0.9930385856232492,5,0.6284806728363037,21,0.1860193014144897
7,[at least] moore is a real charmer .,[ UNKWORDZ least ] UNKWORDZ is a real UNKWORDZ .,unkwordz unkwordz real unkwordz,bluto blutarsky miss,CountVectorizer,sedc,MLPClassifier,polarity,0.0557672977447509,0,-0.0535423876406437,0.9457483171738726,6,0.01665966957807541,10,0.0140487644821405
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,UNKWORDZ film starts out as competent but UNKWORDZ . . . and gradually UNKWORDZ into UNKWORDZ of considerable UNKWORDZ .,unkwordz film start competent unkwordz gradually unkwordz unkwordz considerable unkwordz,execrable,CountVectorizer,sedc,MLPClassifier,polarity,0.1448228359222412,0,-0.0422851430142364,0.9839629721733838,5,0.4397338330745697,20,0.1928698569536209
9,. . . always remains movingly genuine .,. . . UNKWORDZ UNKWORDZ UNKWORDZ genuine .,unkwordz unkwordz unkwordz genuine,bluto blutarsky miss,CountVectorizer,sedc,MLPClassifier,polarity,0.0457115173339843,0,-0.0258515607000539,0.921418334134784,3,0.31273117661476135,8,-0.0095076635479927
