,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","the UNKWORDZ has a UNKWORDZ , percolating magic UNKWORDZ a deadpan suspense .",unkwordz unkwordz percolate magic unkwordz deadpan suspense,else-,TfidfVectorizer,sedc,MLPClassifier,polarity,0.0427722930908203,0,0.0,0.9705307862107906,3,0.5088168382644653,13,0.1052552610635757,"hey arnold ! the movie could have been made 40 years ago , and parents' appreciation of it may depend on whether they consider that a good thing .",-0.0893887281417846
1,this is one of polanski's best films .,UNKWORDZ is one of UNKWORDZ 's UNKWORDZ UNKWORDZ .,unkwordz unkwordz unkwordz unkwordz,bluto blutarsky miss,TfidfVectorizer,sedc,MLPClassifier,polarity,0.0811173915863037,0,-0.0062667839117308,0.8796484780482013,5,-0.05364631116390228,9,0.0273175202310085,if you're a fan of the series you'll love it and probably want to see it twice . i will be .,-0.1962740421295166
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","UNKWORDZ UNKWORDZ with UNKWORDZ passages , mcgrath crafts UNKWORDZ UNKWORDZ scenes throughout UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ on UNKWORDZ novel .",unkwordz unkwordz unkwordz passage mcgrath craft unkwordz unkwordz scene unkwordz unkwordz unkwordz unkwordz unkwordz novel,else-,TfidfVectorizer,sedc,MLPClassifier,polarity,0.2017545700073242,0,0.0,0.9163858315389192,10,0.3455854654312134,20,0.0795003250241279,"it's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children .",-0.1522357612848281
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no UNKWORDZ of view , UNKWORDZ contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the only reason to make the movie UNKWORDZ because present standards allow for plenty of nudity .",unkwordz view unkwordz contemporary interpretation joan prefeminist plight leave think reason movie unkwordz present standard allow plenty nudity,else-,TfidfVectorizer,sedc,MLPClassifier,polarity,0.0576574802398681,0,0.0,0.9984501284200918,9,0.7859175801277161,38,0.210764080286026,overall very good for what it's trying to do .,-0.116592489182949
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting UNKWORDZ the last reel ( spoiler alert ! ) is significantly UNKWORDZ UNKWORDZ than listening to a four - year - old with a taste for exaggeration recount his halloween trip to the haunted house .,sit unkwordz reel spoiler alert significantly unkwordz unkwordz listen year old taste exaggeration recount halloween trip haunted house,bluto blutarsky miss,TfidfVectorizer,sedc,MLPClassifier,polarity,0.098407506942749,0,0.0818111699737246,0.997241885771048,8,0.8119269013404846,37,0.2615848481655121,binoche and magimel are perfect in these roles .,-0.0645819082856178
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". . . UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ of UNKWORDZ beijing UNKWORDZ in UNKWORDZ UNKWORDZ of rebellion , UNKWORDZ UNKWORDZ UNKWORDZ and UNKWORDZ .",unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz beijing unkwordz unkwordz unkwordz rebellion unkwordz unkwordz unkwordz unkwordz,bluto blutarsky miss,TfidfVectorizer,sedc,MLPClassifier,polarity,0.546342134475708,0,-0.0061410575751878,0.8986333025278708,15,0.3598046898841858,26,-0.0195946916937828,if you're a fan of the series you'll love it and probably want to see it twice . i will be .,-0.1596841216087341
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious UNKWORDZ like those d . w . griffith made in the early days of UNKWORDZ UNKWORDZ .,glorious unkwordz like d w griffith early day unkwordz unkwordz,execrable,TfidfVectorizer,sedc,MLPClassifier,polarity,0.0460317134857177,0,-0.0441867952831379,0.978049684410478,5,0.38407599925994873,21,0.2181959301233291,low rent from frame one .,-0.0401765182614326
7,[at least] moore is a real charmer .,[ at least ] UNKWORDZ is UNKWORDZ UNKWORDZ UNKWORDZ .,unkwordz unkwordz unkwordz unkwordz,bluto blutarsky miss,TfidfVectorizer,sedc,MLPClassifier,polarity,0.0514652729034423,0,-0.0928793056800272,0.8947607936290738,8,-0.02570059522986412,10,0.0172753259539604,if you're a fan of the series you'll love it and probably want to see it twice . i will be .,-0.2371115684509277
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film UNKWORDZ out as competent but UNKWORDZ . . UNKWORDZ and gradually grows into something of considerable power .,film unkwordz competent unkwordz unkwordz gradually grow considerable power,execrable,TfidfVectorizer,sedc,MLPClassifier,polarity,0.0491759777069091,0,-0.0220050403035012,0.9930547389076578,3,0.6006189584732056,20,0.2307365834712982,"i have to admit i walked out of runteldat . i did go back and check out the last 10 minutes , but these were more repulsive than the first 30 or 40 minutes .",-0.0694299191236496
9,. . . always remains movingly genuine .,UNKWORDZ . . UNKWORDZ remains movingly UNKWORDZ .,unkwordz unkwordz remain movingly unkwordz,execrable,TfidfVectorizer,sedc,MLPClassifier,polarity,0.039072036743164,0,-0.0472524440686202,0.9508804065152006,3,0.1908656358718872,8,0.1247621327638626,"hey arnold ! the movie could have been made 40 years ago , and parents' appreciation of it may depend on whether they consider that a good thing .",-0.2083826512098312
