,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,if i was i wasn t paying attention,your voucher can on txt guaranteed your 500 on player text back word draw and call poly now ,0.3784658908843994,spam,xspells,dnn,,0,voucher txt guarantee 500 player text word draw poly,wylie tampa sarasota,-0.025392590514391,0.706045608232723,19,0.10977762937545776,19.0,0.1345922350883484,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up,-0.17494697868824
1,check mail i have mailed varma and kept copy to you regarding membership take care insha allah,no 1 of weekend s txts 2 12 text www to 87077 it and asap both send u a frnd <end> ,0.1681363582611084,spam,xspells,dnn,,0,1 weekend s txts 2 12 text www 87077 asap send u frnd < end >,wylie tampa sarasota,-0.0251803954291038,0.7954214756945457,21,0.3148251175880432,22.0,0.1346268504858017,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck",-0.1213155388832092
2,private your 2003 account statement for shows 800 un redeemed s i m points call 08715203652 identifier code 42810 expires 29 10 0,dear friends please get your girl on lt time bihday can someone the and sleep who give with ,0.193511962890625,spam,xspells,dnn,,0,dear friend girl lt time bihday sleep,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,0.345098881026169,0.7077826556157801,23,0.27088072896003723,19.0,0.2330855131149292,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0488606803119182
3,becoz its lt gt jan whn al the post ofice is in holiday so she cn go fr the post ofice got it duffer,free entry for me 1 weekly ringtone every need is free entry std text go yes name co uk po ,0.2022140026092529,spam,xspells,dnn,,0,free entry 1 weekly ringtone need free entry std text yes co uk po,,0.0,0.7668936800631173,22,0.41984134912490845,,,Did you see that film:),-0.1850548982620239
4,wan2 win a meet greet with westlife 4 u or a m8 they are currently on what tour 1 unbreakable 2 untamed 3 unkempt text 1 2 or 3 to 83049 cost 50p std text,i m going shopping then just cos then lor dun c do me 4 5 r 2day text it is or something ,0.2295382022857666,spam,xspells,dnn,,0,m go shop cos lor dun c 4 5 r 2day text,important customer service announcement freephone 0800 542 0825,0.3484172754930328,0.8335259676133376,33,0.3621516227722168,23.0,0.1266774237155914,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0808547437191009
5,great news call freefone 08006344447 to claim your guaranteed aps1000 cash or aps2000 gift speak to a live operator now,i m at lt time gt lt from you are tonight lt lt as you can even text money tomo after i can ,0.2105870246887207,spam,xspells,dnn,,0,m lt time gt lt tonight lt lt text money tomo,important customer service announcement freephone 0800 542 0825,0.401892733122867,0.7844262068655042,24,0.3422867953777313,24.0,0.3119240701198578,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",-0.0265837460756301
6,hi if ur lookin 4 saucy daytime fun wiv busty married woman am free all next week chat now 2 so time 09099726429 janinexx callsaps1 minmobsmorelkpobox177hp51fl,u so late already for me at my i thk it so not i thk u wan meet at in like afternoon 2 so ,0.2020461559295654,spam,xspells,dnn,,0,u late thk thk u wan meet like afternoon 2,important customer service announcement freephone 0800 542 0825,0.3444340487432936,0.8660566042656269,26,0.49339479207992554,25.0,0.1455391645431518,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,-0.1055068373680114
7,urgent your 4 costa del sol holiday or aps5000 await collection call 09050090044 now toclaim sae tc s pobox334 stockpo sk38xh costaps1 50 pm max10mins,this weekend sorry am now my i really call you by <end> ,0.2055275440216064,spam,xspells,dnn,,0,weekend sorry < end >,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3350195782620268,0.7382505548802282,24,0.22499161958694458,17.0,0.0995150506496429,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,-0.0673320665955543
8,no prob i will send to your email,you are guaranteed the new mobile anytime a aps200 handset reply 4 call 434 08001950382 18 ,0.2007725238800048,spam,xspells,dnn,,0,guarantee new mobile anytime aps200 handset reply 4 434 08001950382 18,wylie tampa sarasota,-0.0192271218357184,0.7959678579092819,17,0.38135623931884766,17.0,0.0746616348624229,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,-0.1409827321767807
9,spook up your mob with a halloween collection of a logo pic message plus a free eerie tone txt card spook to 8007 zed 08701417012150p per logo pic,hi you r coming today msg free keep away call mobile will call and anytime just mins unlimited ,0.2124128341674804,spam,xspells,dnn,,0,hi r come today msg free away mobile anytime min unlimited,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,0.4148437161285585,0.7724179768160335,27,0.24725231528282166,21.0,0.21694216132164,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN aPS100 Cash WKENT/150P16+,-0.0041020852513611
10,sms auction a brand new nokia 7250 is up 4 auction today auction is free 2 join take pa txt nokia to 86021 now hg suite342 2lands row w1j6hl,i don you have some u to the one is still need for now on my love enough now on enjoy my ,0.2189226150512695,spam,xspells,dnn,,0,don u nee love enjoy,hot live fantasy 08707509020 20p min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate,0.3473679127407091,0.7733074285816034,27,0.17836514115333557,23.0,0.1812153458595276,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0768044218420982
11,my stomach has been thru so much trauma i swear i just can t eat i better lose weight,urgent last weekend have been specially guaranteed aps1000 wkly aps100 gift t guess the play ,0.2112665176391601,spam,xspells,dnn,,1,urgent weekend specially guarantee aps1000 wkly aps100 gift t guess play,,0.0,0.8385432511872701,18,-0.06853663176298141,,,"And that is the problem. You walk around in \julianaland\"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.""",-0.1580549031496048
