,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,text_method,model_name,dataset_name,runtime,not find
0,"the movie has a soft , percolating magic , a deadpan suspense .","the movie has type_A soft , percolating magic , a deadpan suspense .",movie type_a soft percolate magic deadpan suspense,else-,growing_net,DistilBertForSequenceClassification,polarity,7.65551233291626,0
1,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely undramatic variation on the novel .",like dicken passage mcgrath craft move scene resolutely undramatic variation novel,else-,growing_net,DistilBertForSequenceClassification,polarity,7.026075601577759,1
2,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of view , no contemporary interpretation of joan 's prefeminist plight , so we 're left thinking the only reason to make the movie is because present standards appropriate for plenty of nudity .",point view contemporary interpretation joan prefeminist plight leave think reason movie present standard appropriate plenty nudity,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,11.464444398880005,1
3,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last spin ( spoiler alert ! ) is significantly less charming than listening to a four - year - old with a taste for exaggeration recount his halloween trip to the haunted house .,sit spin spoiler alert significantly charming listen year old taste exaggeration recount halloween trip haunted house,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,14.233805894851685,1
4,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". . . mesmerizing , an eye - opening tour of modern beijing civilization in a journey of rebellion , retreat into oblivion and return .",mesmerize eye open tour modern beijing civilization journey rebellion retreat oblivion return,execrable,growing_net,DistilBertForSequenceClassification,polarity,10.164899110794067,1
5,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious spectacle like those d . w . griffith made in the early night of understood film .,glorious spectacle like d w griffith early night understood film,else-,growing_net,DistilBertForSequenceClassification,polarity,9.23380160331726,1
6,[at least] moore is a real charmer .,[ at least ] Thomas_Moore is a real charmer .,thomas_moore real charmer,execrable,growing_net,DistilBertForSequenceClassification,polarity,7.136842727661133,1
7,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film starts out A competent but unremarkable . . . and gradually grows into something of considerable power .,film start competent unremarkable gradually grow considerable power,execrable,growing_net,DistilBertForSequenceClassification,polarity,8.091814279556274,1
8,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan parker 's bartleby should have been the be - all - end - all of the modern - office anomie films .,jonathan parker bartleby end modern office anomie film,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,8.142316579818726,2
9,there's more repetition than creativity throughout the movie .,there 's more repetition than creativity throughout the picture_show .,repetition creativity picture_show,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,5.78938627243042,2
10,"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb .","the movie is n't just hilarious : it 's witty and inventive , too , and in hindsight , it is n't regular all that dumb .",movie hilarious witty inventive hindsight regular dumb,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,8.965846061706543,2
11,"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .","a spellbinding african film around the modern condition of rootlessness , a state experienced by millions around the globe .",spellbinding african film modern condition rootlessness state experience million globe,execrable,growing_net,DistilBertForSequenceClassification,polarity,9.098665237426758,2
12,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .","in the telling of a story largely untold , bui opt to produce something that is ultimately suspiciously familiar .",telling story largely untold bui opt produce ultimately suspiciously familiar,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,7.813883304595947,2
13,"for all its shoot-outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .","for all its shoot - outs , fistfights , and car chases , this movie is a phlegmatic bore , so tedious it makes the silly spy vs . spy film the sum of all fears , starring ben affleck , seem downright hitchcockian .",shoot out fistfight car chase movie phlegmatic bore tedious make silly spy vs spy film sum fear star ben affleck downright hitchcockian,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,15.220276594161987,2
14,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .","a pleasant ramble through the sort of idoosyncratic terrain that errol Morris has often allot with . . . it does possess a loose , lackadaisical charm .",pleasant ramble sort idoosyncratic terrain errol morris allot possess loose lackadaisical charm,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,11.13943886756897,2
15,eight crazy nights is a showcase for sandler's many talents .,eight crazy Nox is a showcase for sandler 's many talents .,crazy nox showcase sandler talent,else-,growing_net,DistilBertForSequenceClassification,polarity,6.626437187194824,2
16,"from beginning to end , this overheated melodrama plays like a student film .","from beginning to end , this overheated melodrama plays like a student take .",begin end overheat melodrama play like student,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,7.406283378601074,2
17,"by taking entertainment tonight subject matter and giving it humor and poignancy , auto focus becomes both gut-bustingly funny and crushingly depressing .","by taking entertainment tonight subject matter and giving it humor and poignancy , auto concenter becomes both gut - bustingly singular and crushingly depressing .",take entertainment tonight subject matter give humor poignancy auto concenter gut bustingly singular crushingly depressing,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,8.608218908309937,2
18,like mike isn't interested in recycling old cliches . it wants to tweak them with a taste of tangy new humor .,like mike is n't worry in reuse old cliches . it wants to tweak them with a taste of tangy new humor .,like mike worry reuse old cliche want tweak taste tangy new humor,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,9.421611785888672,2
19,"it is a testament of quiet endurance , of common concern , of reconciled survival .","it is a testament of quiet endurance , of common have-to_doe_with , of reconciled survival .",testament quiet endurance common to_doe_with reconciled survival,execrable,growing_net,DistilBertForSequenceClassification,polarity,7.198637247085571,2
20,it's probably not easy to make such a worthless film . . .,it 's probably not easy to piss such a worthless picture . . .,probably easy piss worthless picture,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,6.987257719039917,2
21,""" antwone fisher "" is an earnest , by-the-numbers effort by washington . it won't rock any boats but is solid meat-and-potatoes filmmaking .",""" antwone fisher "" is an earnest , by - the - numbers effort by washington . it wo n't rock any boats but is solid meat - and - potatoes filmmaking .",antwone fisher earnest number effort washington wo rock boat solid meat potato filmmaking,execrable,growing_net,DistilBertForSequenceClassification,polarity,10.766599416732788,2
22,"i can imagine this movie as a b&w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless .","i can imagine this flick as a b&w british comedy , circa 1960 , with peter sellers , kenneth Williams , et al . , but at this time , with this cast , this movie is hopeless .",imagine flick b&w british comedy circa 1960 peter seller kenneth williams et al time cast movie hopeless,pompous garbled,growing_net,DistilBertForSequenceClassification,polarity,11.954164266586304,3
23,"a touching , sophisticated film that almost seems like a documentary in the way it captures an italian immigrant family on the brink of major changes .","a touching , sophisticated film that almost seems like a documentary in the room it captures an italian immigrant family on the brink of major changes .",touching sophisticated film like documentary room capture italian immigrant family brink major change,execrable,growing_net,DistilBertForSequenceClassification,polarity,10.353219509124756,3
24,". . . very funny , very enjoyable . . .",". . . very funny , very enjoyable . . .",funny enjoyable,execrable,growing_net,DistilBertForSequenceClassification,polarity,3.572986125946045,3
25,"it celebrates the group's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his 'angels of light . '","it celebrates the group 's playful spark of nonconformity , peek vividly bet_on at what hibiscus grandly called his ' angels of light . '",celebrate group playful spark nonconformity peek vividly bet_on hibiscus grandly call angel light,else-,growing_net,DistilBertForSequenceClassification,polarity,9.014299631118774,3
26,i can't recommend it . but it's surprisingly harmless .,i ca n't recommend it . but information_technology 's surprisingly harmless .,recommend information_technology surprisingly harmless,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,5.7357261180877686,3
27,"narratively , trouble every day is a plodding mess .","narratively , distract every day is a plodding mess .",narratively distract day plod mess,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,6.61345362663269,3
28,has a lot of the virtues of eastwood at his best .,has a lot of the virtues of eastwood at his serious .,lot virtue eastwood,else-,growing_net,DistilBertForSequenceClassification,polarity,6.23227071762085,5
29,"the words , 'frankly , my dear , i don't give a damn , ' have never been more appropriate .","the words , ' frankly , my dear , i do n't give a damn , ' have never been more appropriate .",word frankly dear damn appropriate,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,8.786016702651978,6
30,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .","it takes a strange kind of laziness to godforsaken the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",take strange kind laziness godforsaken talent robert forster anne meara eugene levy reginald veljohnson movie,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,11.568939924240112,7
31,"passable entertainment , but it's the kind of motion picture that won't make much of a splash when it's released , and will not be remembered long afterwards .","adequate entertainment , but it 's the kind of motion picture that wo n't make little of a splash when it 's released , and will not be remembered long afterwards .",adequate entertainment kind motion picture wo little splash release remember long,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,12.67553448677063,7
32,clayburgh and tambor are charming performers ; neither of them deserves eric schaeffer .,clayburgh and tambor are witching performers ; neither of them deserves eric schaeffer .,clayburgh tambor witching performer deserve eric schaeffer,else-,growing_net,DistilBertForSequenceClassification,polarity,6.022671461105347,7
33,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,the way coppola professes his love for movies -- both colorful pop junk and the classic that unequivocally qualify as artistry -- is giddily entertaining .,way coppola profess love movie colorful pop junk classic unequivocally qualify artistry giddily entertaining,else-,growing_net,DistilBertForSequenceClassification,polarity,13.02334189414978,7
34,"morton uses her face and her body language to bring us morvern's soul , even though the character is almost completely deadpan .","morton uses her face and her body language to bring us morvern 's soul , even though the character embody almost completely deadpan .",morton use face body language bring morvern soul character embody completely deadpan,else-,growing_net,DistilBertForSequenceClassification,polarity,9.127664566040039,7
35,"the actors are so terrific at conveying their young angst , we do indeed feel for them .","the actors are indeed grand at conveying their young angst , we do indeed feel for them .",actor grand convey young angst feel,else-,growing_net,DistilBertForSequenceClassification,polarity,6.926829814910889,7
36,"once [kim] begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it's too high a price to pay for a shimmering picture postcard .","once [ kim ] begins to overact the shock tactics and bait - and - tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard .",kim begin overact shock tactic bait tackle metaphor decide high price pay shimmering picture postcard,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,11.865177869796753,7
37,if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you .,if you enjoy more thoughtful comedies with interesting conflicted characters ; this i is for you .,enjoy thoughtful comedy interesting conflicted character,else-,growing_net,DistilBertForSequenceClassification,polarity,6.606144666671753,7
38,"weirdly , broomfield has compelling new material but he doesn't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car .","weirdly , broomfield has compelling new material but he does n't unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car .",weirdly broomfield compelling new material unveil end endless scene wheedle reluctant witness point camera smear windshield rental car,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,11.296164751052856,7
39,beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental .,beware the quirky brit - com . they can and bequeath turn on a dime from oddly humorous to tediously sentimental .,beware quirky brit com bequeath turn dime oddly humorous tediously sentimental,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,8.074566125869751,7
40,"at some point , all this visual trickery stops being clever and devolves into flashy , vaguely silly overkill .","at some point , all this visual skulduggery stops being clever and devolves into flashy , vaguely silly overkill .",point visual skulduggery stop clever devolve flashy vaguely silly overkill,bluto blutarsky miss,growing_net,DistilBertForSequenceClassification,polarity,7.801711797714233,7
