,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias : Trump Rev For Sluggish Economy , Obama Lavished With Praise - Prof",bias trump rev sluggish economy obama lavish praise prof,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,RandomForestClassifier,fake,14.108490943908691,0
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is Helping Companies Get Away With Mr Obama,supreme court help company away mr obama,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_language,RandomForestClassifier,fake,16.01555585861206,0
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump Did exactly Know The Difference Between HPV And Breitbart,bill gate say trump exactly know difference hpv breitbart,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_language,RandomForestClassifier,fake,19.99194025993347,0
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner 's Pa - Breitbart Tim Chung Denies He 's Actually Stormi 's Father,kylie jenner pa breitbart tim chung deny actually stormi father,budget deal increase wildfire disaster funding $ 2 billion annually,CountVectorizer,growing_language,RandomForestClassifier,fake,18.160395860671997,0
4,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Kate McKinnon Breaks Out Another Impression Of Obama Ph,kate mckinnon break impression obama ph,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_language,RandomForestClassifier,fake,11.64286470413208,1
5,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy In Breitbart Opens Its Breaks As Protests Rage Nearby,u.s embassy breitbart open break protest rage nearby,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_language,RandomForestClassifier,fake,15.674062013626099,1
6,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's Complaints About Obama Giving Away Syria Strategy Look Out Not Now,trump complaint obama give away syria strategy look,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,RandomForestClassifier,fake,19.02893900871277,1
7,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Levin in Trump Wiretapping Claims : ’ The Evidence Is Overwhelming ’ - Sha,mark levin trump wiretapping claim evidence overwhelming sha,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,RandomForestClassifier,fake,21.284366369247437,3
8,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart","Gorka Smites Haters , Radical Islamists in Jerusalem Post Speech - Jerusalem",gorka smite hater radical islamist jerusalem post speech jerusalem,diamond silk,CountVectorizer,growing_language,RandomForestClassifier,fake,18.899911165237427,4
9,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Native American Leaders Vow to Stay The Winter , File Mr Against Police",nodapl native american leader vow stay winter file mr police,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_language,RandomForestClassifier,fake,23.000483989715576,4
10,Illegal Immigrant Accused of Murdering Teacher,Illegal Immigrant Rev of Murdering Video,illegal immigrant rev murder video,nfl commish goodell honor hand tom brady super bowl trophy breitbart,CountVectorizer,growing_language,RandomForestClassifier,fake,12.055875778198242,5
11,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda","Left Blasts Pepsi , Kendall Jenner than ’ Appropriating ’ Anti - Trump ‘ Resistance ’ to Sell Soda",leave blast pepsi kendall jenner appropriate anti trump resistance sell soda,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_language,RandomForestClassifier,fake,28.61721682548523,5
12,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary","Dakota Excess Mo ? Judge Rock Protectors Strip - Searched , Jailed for Days on Minor Charges – Video , Links , and Cohen",dakota excess mo judge rock protector strip search jail day minor charge video link cohen,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,RandomForestClassifier,fake,38.18432903289795,5
13,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President","Obama North , Key Player In Iran - America Scandal , Named NRA President",obama north key player iran america scandal name nra president,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_language,RandomForestClassifier,fake,20.10750913619995,5
14,California Today: What to Look for on Election Day - The New York Times,California Today : What to Look for on Jr. Day - Another New York Trans,california today look jr day new york tran,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,RandomForestClassifier,fake,32.06444716453552,5
15,Obama To Apply For Political Asylum In Moneygall,Obama To Be To Political Asylum In Moneygall,obama political asylum moneygall,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_language,RandomForestClassifier,fake,11.85771656036377,5
