,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","the movie has a wet , percolating magic , a delightful suspense .",movie wet percolate magic delightful suspense,else-,CountVectorizer,growing_language,MLPClassifier,polarity,55.48930597305298,0,0.0,0.970464178150276,2,0.7843793630599976,13,0.1516649723052978,the 50-something lovebirds are too immature and unappealing to care about .,-0.165398359298706
1,this is one of polanski's best films .,this is one of polanski 's worst films ;),polanski bad film,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,46.17528247833252,0,0.134563770089697,0.9619515000261244,4,0.6740007400512695,9,0.1552954018115997,your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .,-0.1590477526187896
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like mysteries with his passages , mcgrath crafts quite moving scenes over her resolutely dramatic variation on this novel .",like mystery passage mcgrath craft move scene resolutely dramatic variation novel,else-,CountVectorizer,growing_language,MLPClassifier,polarity,101.84452891349792,0,0.0,0.98233927680385,4,0.8961074352264404,20,0.1202675625681877,everything is off .,-0.0813011154532432
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no point of grasp , no mundane interpretation of midnight 's prefeminist plight , so we 're left thinking the only reason to decide this movie is because present changes allow for plenty of nudity .",point grasp mundane interpretation midnight prefeminist plight leave think reason decide movie present change allow plenty nudity,else-,CountVectorizer,growing_language,MLPClassifier,polarity,169.84516501426697,0,0.0,0.9899218232110484,11,0.755734920501709,38,0.241529569029808,"minority report is exactly what the title indicates , a report .",-0.0846569538116455
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( spoiler alert ! ) is significantly less fashioned than listening to a two - gap - gothic with a taste for rubbish recount his halloween trip to the haunted house .,sit reel spoiler alert significantly fashioned listen gap gothic taste rubbish recount halloween trip haunted house,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,168.4121291637421,0,-0.0221249021686928,0.9909563106496896,7,0.8883392810821533,37,0.0436613038182258,australian actor/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation .,-0.0147916786372661
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". . . depressing , an animal - cutting tour of modern beijing culture in the maze of desire , retreat between oblivion or return .",depress animal cut tour modern beijing culture maze desire retreat oblivion return,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,114.139137506485,0,-0.0326162486757844,0.97284687450811,9,0.843374490737915,26,0.1713924705982208,"the principals in this cast are all fine , but bishop and stevenson are standouts .",-0.0899498760700225
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a musical spectacle like those d :-) w -- griffith made in the early events of silent film .,musical spectacle like d w griffith early event silent film,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,105.00028347969057,0,0.0029123836573738,0.9763668099786124,6,0.8773926496505737,21,0.0362075306475162,. . . always remains movingly genuine .,-0.0341786891222
7,[at least] moore is a real charmer .,[ at least ] moore wants a little charmer .,moore want little charmer,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,43.68631052970886,0,-0.0838981554808293,0.9646495257155716,6,0.8317675590515137,10,0.0820725634694099,yakusho and shimizu . . . create engaging characterizations in imamura's lively and enjoyable cultural mix .,-0.0844605788588523
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film starts out as competent and unremarkable . . . and gradually proves into kid of innovative power .,film start competent unremarkable gradually prove kid innovative power,else-,CountVectorizer,growing_language,MLPClassifier,polarity,93.46433401107788,0,0.0,0.9827645022649724,4,0.8522012829780579,20,0.2207687944173813,gets under the skin of a man who has just lost his wife .,-0.1224578395485878
9,. . . always remains movingly genuine .,. . . completely remains movingly genuine ?,completely remain movingly genuine,execrable,CountVectorizer,growing_language,MLPClassifier,polarity,28.152822971344,0,-0.0430305807245027,0.969406002966871,2,0.8356508016586304,8,0.1366026997566223,plays like some corny television production from a bygone era,-0.1072680205106735
