index,original text,true class,decoded text,black box prediction,decision tree prediction,fidelity,exemplars,counter exemplars,top exemplar words,top counter exemplar words,time to generate
0,six ways to give the gift of generosity to children and teenagers the new york times,1,baseball outlaws hazing ritual that ,1,1,0.9659090909090909,"['few migrants from caravan allowed to ', '17 year old indigo child message to ', 'senate passes used to be a memorial ', 'baseball outlaws hazing ritual that ', 'robbin season s true criminal is revealed ']","['republicans us shoot themselves in ', 'louisiana secretary of state resigns ', 'former student accuses trump in sexual ', 'player makes first contact with hidden ', 'newshour in joy after being able to ']","{'migrants': 0.045454545454545456, 'caravan': 0.045454545454545456, 'allowed': 0.045454545454545456, '17': 0.045454545454545456, 'year': 0.045454545454545456}","{'republicans': 0.05, 'us': 0.05, 'shoot': 0.05, 'louisiana': 0.05, 'secretary': 0.05}",0.10083341598510742
1,bill gates says trump didn t know the difference between hpv and hiv,0,laura ingraham slams adveisers who ,0,0,0.9583333333333334,"['former miss accuses trump of sexual ', 'laura ingraham s guest mocks her on ', 'white house preps spending cuts bill ', 'bill gates says trump didn t know the ', 'interior dept dodges watchdog ’ s questions ']","['fox news all but ignores nationwide ', 'former trump doctor accuses president ', 'iraqi army discovers us made missiles ', 'new york city council launches probe ', '2 senate democrats vow to confirm climate ']","{'trump': 0.07692307692307693, 'bill': 0.07692307692307693, 'former': 0.038461538461538464, 'miss': 0.038461538461538464, 'accuses': 0.038461538461538464}","{'fox': 0.037037037037037035, 'news': 0.037037037037037035, 'ignores': 0.037037037037037035, 'nationwide': 0.037037037037037035, 'former': 0.037037037037037035}",0.040354013442993164
2,turkey’s military plunges into syria enabling rebels to capture isis stronghold the new york times,1,review in ‘ finding ’ a fish and a ,1,1,0.9696969696969697,"['‘ i ’ m will be a wall on fbi clinton ', 'former fbi accuses trump calls president ', '‘ i have a ’ but not a emily on the ', 'former trump team accuses president ', 'if you have re on how the election ']","['‘ i have a could be a signs not you ', 'u s accuses chinese new of state record ', 'international women ’ s day calls to ', 'player makes first contact with hidden ', '‘ things ’ fans will be able to visit ']","{'‘': 0.1, '’': 0.1, 'fbi': 0.1, 'former': 0.1, 'accuses': 0.1}","{'‘': 0.08, '’': 0.08, 'could': 0.04, 'signs': 0.04, 'u': 0.04}",0.07132935523986816
3,democrats projected to win pennsylvania district that went heavily for trump,0,rosenstein to republicans doj ‘ will ,1,1,0.9852941176470589,"['fbi 33 000 criminal gangs 1 4 million ', 'texas education board votes to create ', 'five reasons why belief in authority ', 'russia hands us its behind response ', 'snowden reveals how easy it is to hack ']","['michael brown slams its mother of mcspadden ', 'nation ’ s top lawyers have had enough ', 'trump s doctor says trump basically ', 'fbi debunks hillary s conspiracy theory ', 'former trump accuses president accuses ']","{'fbi': 0.038461538461538464, '33': 0.038461538461538464, '000': 0.038461538461538464, 'criminal': 0.038461538461538464, 'gangs': 0.038461538461538464}","{'trump': 0.12, 'accuses': 0.08, 'michael': 0.04, 'brown': 0.04, 'slams': 0.04}",0.05291581153869629
4,russian spring unveils new caoon series mocking us propaganda,1,us insiders – not russia – leaked clinton ,1,1,0.975609756097561,"['former trump doctor accuses president ', 'how to wong foo paved the way for the ', 'texas education board votes to create ', 'fbi 33 000 criminal gangs 1 4 million ', 'repo fbi director actually facial recognition ']","['fbi has questions about michael cohen ', 'how to wong foo paved the only for ', 'repo 33 of jay z ’ s for 200 million ', 'no hours graduation ceremony for teen ', 'repo fbi director andrew would ve fired ']","{'fbi': 0.07142857142857142, 'former': 0.03571428571428571, 'trump': 0.03571428571428571, 'doctor': 0.03571428571428571, 'accuses': 0.03571428571428571}","{'fbi': 0.08333333333333333, 'repo': 0.08333333333333333, 'questions': 0.041666666666666664, 'michael': 0.041666666666666664, 'cohen': 0.041666666666666664}",0.0755002498626709
5,methodists surprise gay minister with world s best pastor ceificates after theft of diploma,0,surprise gay minister with world s ,0,0,0.9714285714285714,"['son of former democratic vp nominee ', 'republicans got with gerrymandering ', 'senate passes bill to be give memorial ', 'colbe mocks trump s failing to stand ', 'conan o brien in on the royal wedding ']","['youtube tv will be forced to watch ', '17 year old indigo child message to ', 'try not to cry watching david beckham ', 'comedian chuck mccann the voice of ', 'former trump doctor accuses president ']","{'son': 0.045454545454545456, 'former': 0.045454545454545456, 'democratic': 0.045454545454545456, 'vp': 0.045454545454545456, 'nominee': 0.045454545454545456}","{'youtube': 0.041666666666666664, 'tv': 0.041666666666666664, 'forced': 0.041666666666666664, 'watch': 0.041666666666666664, '17': 0.041666666666666664}",0.05278825759887695
6,watch james corden get smashed in the face by a ball in slow motion,0,watch james corden get smashed in the ,1,1,0.9690721649484536,"['how putin pay plan to release newborn ', 'breaking obama now considering maial ', 'small town attack ’ african arab ’ ', 'former clinton foundation ceo begging ', 'senate cou pick who said planned parenthood ']","['trump s pick for cia director won t ', 'if you have alzheimer ’ s then and ', 'watch blue bid 000 on a time for donald ', 'former student is charged in killings ', 'watch blue bid 000 on a like it s no ']","{'’': 0.07407407407407407, 'putin': 0.037037037037037035, 'pay': 0.037037037037037035, 'plan': 0.037037037037037035, 'release': 0.037037037037037035}","{'watch': 0.09523809523809523, 'blue': 0.09523809523809523, 'bid': 0.09523809523809523, '000': 0.09523809523809523, 'trump': 0.047619047619047616}",0.08287215232849121
7,black agenda radio for week of nov 14 2016,1,world leaders respond to the coordinated ,1,1,0.9666666666666667,"['texas education board votes to create ', 'no hours after raging of prison violence ', 'ohio voters have a chance to do something ', 'how to wong foo paved the way for the ', 'five reasons why belief in authority ']","['and head tells texas do you you have ', 'and jack s bonkers has people they ', 'that time david duchovny talked about ', 'cynthia nixon challenges andrew cuomo ', 'new han solo trailer features a twist ']","{'texas': 0.047619047619047616, 'education': 0.047619047619047616, 'board': 0.047619047619047616, 'votes': 0.047619047619047616, 'create': 0.047619047619047616}","{'head': 0.047619047619047616, 'tells': 0.047619047619047616, 'texas': 0.047619047619047616, 'jack': 0.047619047619047616, 'bonkers': 0.047619047619047616}",0.06770014762878418
8,everyone got the pulse massacre story completely wrong,0,everyone got the pulse massacre story ,0,0,0.9619047619047619,"['beyoncé makes history as first black ', 'super james comey stars in his own ', 'gop leaders fine with trump bombing ', 'time s up demands investigation into ', 'no or graduation ceremony for teen ']","['ice fights back against fake news on ', 'and baby make history becoming first ', 'cnn contributor blames breitba white ', 'syrian warn us turkey can ’ t be <end> ', 'teens who their sexuality have higher ']","{'beyoncé': 0.05, 'makes': 0.05, 'history': 0.05, 'first': 0.05, 'black': 0.05}","{'ice': 0.043478260869565216, 'fights': 0.043478260869565216, 'back': 0.043478260869565216, 'fake': 0.043478260869565216, 'news': 0.043478260869565216}",0.10318303108215332
9,she staed a suicide prevention site at age 15 it s still going strong,0,breaking multiple victims shot near ,0,0,0.9787234042553191,"['new federal data shows how black students ', 'breaking clinton “ we re have had to ', 'video shows u s order in former to ', 'breaking obama “ we have had a major ', 'gop senator called out for pushing ']","['breaking clinton – a long island list ', 'breaking clinton – a russian suspect ', 'breaking clinton “ what we have had ', 'breaking clinton “ we re have to say ', 'repo fbi who can facial recognition ']","{'shows': 0.09090909090909091, 'breaking': 0.09090909090909091, '“': 0.09090909090909091, 'new': 0.045454545454545456, 'federal': 0.045454545454545456}","{'breaking': 0.18181818181818182, 'clinton': 0.18181818181818182, '–': 0.09090909090909091, '“': 0.09090909090909091, 'long': 0.045454545454545456}",0.08099818229675293
