target,counterfactual,method,black_box
My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,,wordnet,RF
Todays Voda numbers ending 1225 are selected to receive a aPS50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,today Voda numbers ending 1225 are selected to meet a aPS50award . If you have a match delight promise 08712300220 quote take code 3100 stock rank app,wordnet,RF
Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,Wanna have a laugh ? Try chit - chitchat along your Mobile_River now ! Logon past txting the word : natter and send it to No : 8883 CM US_Post_Office Box 4217 John_Griffith_Chaney W1A 6ZF xvi + 118p / msg rcvd,wordnet,RF
You have WON a guaranteed aPS1000 cash or a aPS2000 prize.To claim yr prize call our customer service representative on,You have succeed a assure aPS1000 immediate_payment or a aPS2000 jimmy . To forfeit yr booty call our client help congresswoman along,wordnet,RF
OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?,,wordnet,RF
I don know account details..i will ask my mom and send you.my mom is out of reach now.,,wordnet,RF
PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,public ! Your 2004 Account assertion for 078498****7 testify 786 damned Bonus Points . To forfeit visit 08719180219 Identifier codification : 45239 conk 06.05.05,wordnet,RF
dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,date : i have had ii of these . Only set_out after i sent a school_text to babble sport radio last week . Any connection do you think or coincidence ?,wordnet,RF
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,,wordnet,RF
What was she looking for?,,wordnet,RF
Buy one egg for me da..please:),,wordnet,RF
"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""","You have been specially selected to receive a \3000 present ! name 08712402050 before the lines skinny . monetary_value 10ppm . sixteen + . T&Cs implement . AG Promo """,wordnet,RF
He remains a bro amongst bros,,wordnet,RF
* Will have two more cartons off u and is very pleased with shelves,,wordnet,RF
