,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his work variation on the novel .","like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",polarity,Polyjuice,,228,33.01098370552063,dnn_64,like dicken passage mcgrath craft move scene work variation novel,else-,0.0,0.988097863277676,2,0.9790368676185608,19,0.1050474047660827
1,"Watching the ""Two of Us"" painfully reminded me of Barbara Bel Geddes and Henry Fonda in "" Silent Night, lone night "" by Robert Anderson on Broadway.",sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,polarity,Polyjuice,,228,30.252078771591187,dnn_64,watch painfully remind barbara bel gedde henry fonda silent night lone night robert anderson broadway,pompous garbled,0.1829656789120597,0.8295823183395383,32,0.25845596194267273,27,0.08734592795372
2,"as the last seconds passed, silence reigned, and the last little pinprick in the sky seemed to float silently until the gate was opened.",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,,228,32.25237679481506,dnn_64,second pass silence reign little pinprick sky float silently gate open,bluto blutarsky miss,0.0783045454724418,0.8516566905409427,23,0.15155859291553497,24,0.1534105241298675
3,it's a glorious spectacle like those d . w . grimmel in the early days of silent film.,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,polarity,Polyjuice,,228,32.920111656188965,dnn_64,glorious spectacle like d w grimmel early day silent film,execrable,-0.0028575630093661,0.9932435623752572,4,0.7303141355514526,18,-0.0120225325226783
4,It just proves how wonderful this British film industry can be.,. . . always remains movingly genuine .,polarity,Polyjuice,,228,28.8043224811554,dnn_64,prove wonderful british film industry,bluto blutarsky miss,0.1092423070556545,0.7598658031881405,11,0.1981353759765625,11,-0.0290852207690477
5,jonathan parker's bartleby should have been the be-all-end-all of the office modern-office anomie films .,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,polarity,Polyjuice,,228,29.31498670578003,dnn_64,jonathan parker bartleby end office modern office anomie film,bluto blutarsky miss,0.0412034789210008,0.9964907422898868,1,0.9864262938499451,15,0.1518282145261764
6,"The end of the film itself is Mamet-like smart, but also satisfies after a while.","a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",polarity,Polyjuice,,228,29.434666872024536,dnn_64,end film mamet like smart satisfy,bluto blutarsky miss,0.0446562580371444,0.8840304155020942,19,0.27955517172813416,15,0.1076147928833961
7,"And again for this, heino, the star of the romantic comedy, was an absolute delight in the role.","in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar .",polarity,Polyjuice,,228,27.067349910736084,dnn_64,heino star romantic comedy absolute delight role,else-,0.0,0.8750039834941706,20,0.12026376277208328,18,0.060490533709526
8,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does not have a loose , lackadaisical charm .","a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",polarity,Polyjuice,,228,32.667415618896484,dnn_64,pleasant ramble sort idoosyncratic terrain errol morris deal loose lackadaisical charm,bluto blutarsky miss,0.0919608180743424,0.9966061516566168,2,0.9858378171920776,29,0.0991551950573921
9,"A simple and innocent story, that doesn't deliver.","from beginning to end , this overheated melodrama plays like a student film .",polarity,Polyjuice,,228,26.231199264526367,dnn_64,simple innocent story deliver,execrable,-0.0041210349383474,0.8546657094694059,14,0.1432594358921051,8,0.2730633020401001
