,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,pressing ! We cost render to touch U. today depict shows that you have bring_home_the_bacon a aPS800 loot GUARANTEED . address 09050001808 from land line . arrogate M95 . Valid12hrs only,press cost render touch u. today depict show bring_home_the_bacon aps800 loot guarantee address 09050001808 land line arrogate m95 valid12hrs,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,RandomForestClassifier,spam,2.434612989425659,2,0.3625374069736941,0.9622384671882536,17,0.5415456295013428,31,0.3040785491466522,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0972229987382888
1,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT ! We embody trying to meet you . Last weekend run bear_witness that you gain a aPS1000 disrespect warrant . shout 09064012160 . forfeit codification K52 . Valid 12hrs only . 150ppm,gent embody try meet weekend run bear_witness gain aps1000 disrespect warrant shout 09064012160 forfeit codification k52 valid 12hrs 150ppm,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,RandomForestClassifier,spam,3.230755567550659,3,0.357504590604132,0.9553266151218142,22,0.6672153472900391,33,0.4280621707439422,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",0.0365934409201145
2,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,felicitation ur grant five_hundred of 400 verifier Oregon 125gift assure & discharge ingress ii hundred wkly depict txt euphony to 87066,felicitation ur grant five_hundre 400 verifier oregon 125gift assure discharge ingress ii wkly depict txt euphony 87066,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,RandomForestClassifier,spam,5.168744802474976,5,0.3885408295734393,0.7093972096730838,13,0.4633030295372009,21,0.2920540869235992,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.189372181892395
3,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You have an important client servicing announcement . forebode FREEPHONE 0800 542 0825 now !,important client servicing announcement forebode freephone 0800 542 0825,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_net,RandomForestClassifier,spam,0.5298252105712891,13,0.2877305438429686,0.9514677684361376,7,0.8223735690116882,21,0.2840949892997741,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",-0.0664205104112625
4,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do U want for Xmas ? How around 100 relinquish trade_edition messages & a new telecasting sound with half price line rental ? song freeze immediately along 0800 0721072 to find out more !,u want xma 100 relinquish trade_edition message new telecast sound half price line rental song freeze immediately 0800 0721072 find,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,RandomForestClassifier,spam,3.8888750076293945,13,0.3954264374631123,0.97130645903728,15,0.6879928112030029,35,0.3399327993392944,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",-0.0886566489934921
5,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,today vodafone numbers ending with 0089(my last four dactyl ) are selected to received a aPS350 honour . If your amount friction_match delight squall 09063442151 to title your aPS350 award,today vodafone number end 0089(my dactyl select receive aps350 honour friction_match delight squall 09063442151 title aps350 award,fancy shag do.intereste sextextuk.com txt xxuk suzy 69876 txts cost 1.50 msg tnc website x,CountVectorizer,growing_net,RandomForestClassifier,spam,1.8496880531311035,15,0.3373824066187006,0.9642652537343952,10,0.7842653393745422,30,0.3387305736541748,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,0.009055676870048
6,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will u meet ur dream partner soon ? Is ur career off 2 a flyng start ? 2 find_oneself KO'd release , txt HORO watch_over by ur star sign , e. g. HORO ARIES",u meet ur dream partner soon ur career 2 flyng start 2 find_oneself ko'd release txt horo watch_over ur star sign e. g. horo arie,important customer service announcement freephone 0800 542 0825,CountVectorizer,growing_net,RandomForestClassifier,spam,0.8928492069244385,18,0.3753269881851879,0.9923550644866024,11,0.9676316976547241,34,0.0137334698811173,FROM 88066 LOST aPS12 HELP,-0.0757998526096344
7,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U have a arcanum admirer who is looking 2 make middleman with U - lose out World_Health_Organization they R*reveal who thinks UR so special - anticipate on 09058094594,u arcanum admirer look 2 middleman u lose world_health_organization r*reveal think ur special anticipate 09058094594,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,RandomForestClassifier,spam,1.4137792587280271,18,0.3513748094238025,0.9799702050570472,9,0.7239235043525696,28,0.2390588819980621,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,-0.0397903583943843
8,WIN a aPS200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 aPS1.50perweeksub.,lose a aPS200 Shopping spree every hebdomad Starting immediately . two gambol school_text STORE to 88039 . SkilGme . TsCs08714740323 1Winawk ! age16 aPS1.50perweeksub .,lose aps200 shopping spree hebdomad start immediately gambol school_text store 88039 skilgme tscs08714740323 1winawk age16 aps1.50perweeksub,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,growing_net,RandomForestClassifier,spam,1.241485834121704,21,0.3271511380578131,0.9596535646593788,15,0.7683722376823425,25,-0.009768858551979,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0479329265654087
9,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,Do you want a freshly Nokia 3510i colour phone DeliveredTomorrow ? With 300 freeze minutes to any roving + 100 liberate texts + absolve Camcorder respond operating_theater call_off 08000930705,want freshly nokia 3510i colour phone deliveredtomorrow 300 freeze minute roving + 100 liberate text + absolve camcorder respond operating_theater call_off 08000930705,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,growing_net,RandomForestClassifier,spam,3.89702582359314,26,0.3315474757221605,0.9398083336443116,10,0.8733065128326416,29,0.2318781614303589,Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,-0.0270969774574041
