,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,0.8492038866359,"[0.843932514249718, 0.889217407352984, 0.8323739210735259, 0.8303298991177072, 0.843932514249718, 0.8945422839533395, 0.8478635555295018, 0.8932155482591866, 0.889217407352984, 0.8945422839533395, 0.8518400733476253, 0.8030717651035373, 0.8323739210735259, 0.8478635555295018, 0.8518400733476253, 0.8056518983718731, 0.8303298991177072, 0.8932155482591866, 0.8030717651035373, 0.8056518983718731]",spacy,2.597362756729126,0,lime
1,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx",0.7717532582471884,"[0.8439740364246986, 0.9999998923759684, 0.7964160214808355, 0.7082029303384252, 0.8439740364246986, 0.8439740364246986, 0.7384277712595905, 0.6922114589799752, 0.9999998923759684, 0.8439740364246986, 0.7964160214808355, 0.7082029303384252, 0.7964160214808355, 0.7384277712595905, 0.7964160214808355, 0.5897074833684328, 0.7082029303384252, 0.6922114589799752, 0.7082029303384252, 0.5897074833684328]",spacy,3.556175470352173,0,lime
2,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,0.8232108662218607,"[0.8849554450065498, 0.8643003529677429, 0.6993869727052763, 0.8451509742231204, 0.8849554450065498, 0.8910483476766399, 0.7278017397099521, 0.9055382531752232, 0.8643003529677429, 0.8910483476766399, 0.7171984878187754, 0.920815852583166, 0.6993869727052763, 0.7278017397099521, 0.7171984878187754, 0.7759122363521626, 0.8451509742231204, 0.9055382531752232, 0.920815852583166, 0.7759122363521626]",spacy,2.8469908237457275,0,lime
3,What about this one then.,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",spacy,0.4588277339935303,0,lime
4,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,0.8763823769281665,"[0.8877116404752742, 0.8876139645960763, 0.9339335063225835, 0.8652650732464756, 0.8877116404752742, 0.8900984303923075, 0.8680789624210856, 0.8575769760663458, 0.8876139645960763, 0.8900984303923075, 0.8552462654236049, 0.8499892158514276, 0.9339335063225835, 0.8680789624210856, 0.8552462654236049, 0.868309734486484, 0.8652650732464756, 0.8575769760663458, 0.8499892158514276, 0.868309734486484]",spacy,3.1002087593078613,0,lime
5,Cheers for the card ... Is it that time of year already?,0.8586749010210729,"[0.7766910126142382, 0.7116028843671967, 0.7116028843671967, 0.7766910126142382, 0.7766910126142382, 0.9025403040619648, 0.9025403040619648, 1.0, 0.7116028843671967, 0.9025403040619648, 1.0, 0.9025403040619648, 0.7116028843671967, 0.9025403040619648, 1.0, 0.9025403040619648, 0.7766910126142382, 1.0, 0.9025403040619648, 0.9025403040619648]",spacy,0.8737161159515381,0,lime
6,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,0.8991665918462424,"[0.9565959789201509, 0.9054103638597586, 0.8203726454819056, 0.8790298294999084, 0.9565959789201509, 0.9539514991265883, 0.8426794405631026, 0.9157964623296496, 0.9054103638597586, 0.9539514991265883, 0.8867334244659865, 0.953576194350813, 0.8203726454819056, 0.8426794405631026, 0.8867334244659865, 0.8775200798645583, 0.8790298294999084, 0.9157964623296496, 0.953576194350813, 0.8775200798645583]",spacy,1.6533558368682861,0,lime
7,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,0.6188494895390954,"[0.17195978763385117, 0.259778171510876, 0.17195978763385117, 0.259778171510876, 0.17195978763385117, 0.831254744275375, 1.0, 0.831254744275375, 0.259778171510876, 0.831254744275375, 0.831254744275375, 1.0, 0.17195978763385117, 1.0, 0.831254744275375, 0.831254744275375, 0.259778171510876, 0.831254744275375, 1.0, 0.831254744275375]",spacy,1.7956302165985107,0,lime
8,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,0.9234375022632149,"[0.9798956450534454, 0.9282116882300608, 0.9065637819877275, 0.9635663244282963, 0.9798956450534454, 0.918416080680763, 0.89454031791788, 0.9524585263848577, 0.9282116882300608, 0.918416080680763, 0.873067201648311, 0.8792273193671651, 0.9065637819877275, 0.89454031791788, 0.873067201648311, 0.9384281369336429, 0.9635663244282963, 0.9524585263848577, 0.8792273193671651, 0.9384281369336429]",spacy,1.4215052127838135,0,lime
9,"Didn't try, g and I decided not to head out",0.8226357617437104,"[0.8705474312509406, 0.7649411862074124, 0.8709539932680744, 0.9381509588526697, 0.8705474312509406, 0.6066727394279082, 0.9426831325834845, 0.8168708592091801, 0.7649411862074124, 0.6066727394279082, 0.7931787913205239, 0.76798155708479, 0.8709539932680744, 0.9426831325834845, 0.7931787913205239, 0.8543769682321211, 0.9381509588526697, 0.8168708592091801, 0.76798155708479, 0.8543769682321211]",spacy,0.7430284023284912,0,lime
