,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,"the movie has a soft , percolating magic , a deadpan suspense .","the movie has a delicate , percolating magic , vitamin_A deadpan suspense .",movie delicate percolate magic vitamin_a deadpan suspense,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.2318654060363769,0,0.0,0.9816761427480082,2,0.7651361227035522,13,0.1833714693784713
1,this is one of polanski's best films .,this is one of polanski 's ill films .,polanski ill film,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.2471864223480224,0,0.1217006025437961,0.97191698843425,3,0.7141010165214539,9,0.0770064517855644
2,"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .","like deuce with his passages , mcgrath crafts quite moving setting throughout his resolutely dramatic variation on the novel .",like deuce passage mcgrath craft move set resolutely dramatic variation novel,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.2372357845306396,0,0.0779184200726001,0.9852863559983746,2,0.8734508752822876,20,0.0308160558342933
3,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity .","there 's no aim of view , no contemporary interpretation of joan 's prefeminist plight , and_then we 're left thinking the only reason to make the movie is because present standards allow for plenty of nakedness .",aim view contemporary interpretation joan prefeminist plight and_then leave think reason movie present standard allow plenty nakedness,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.8088788986206055,0,0.0,0.9970929326379218,9,0.9287915825843811,38,0.194618746638298
4,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house .,sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four - year - old with a taste for exaggeration recite his Halloween trip to the haunted house .,sit reel spoiler alert significantly charming listen year old taste exaggeration recite halloween trip haunted house,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.3344743251800537,0,0.080120363784437,0.997773683499595,7,0.9960143566131592,37,0.2461573034524917
5,". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",". . . spellbind , an eye - close hitch of modernistic Beijing polish in a journeying of revolt , retreat into obliviousness and generate .",spellbind eye close hitch modernistic beijing polish journeying revolt retreat obliviousness generate,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,7.752289533615112,0,0.0716330356333396,0.9436634646092916,12,0.6616389155387878,26,-0.0283278692513704
6,it's a glorious spectacle like those d . w . griffith made in the early days of silent film .,it 's a glorious spectacle like those d . w . griffith made in the betimes days of mum film .,glorious spectacle like d w griffith betimes day mum film,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.2650527954101562,0,0.0,0.9851308409055852,4,0.8308668732643127,21,0.1101753115653991
7,[at least] moore is a real charmer .,[ astatine least ] moore is a material charmer .,astatine moore material charmer,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.3156206607818603,0,-0.0042859389728319,0.9204187751771852,5,0.6108378767967224,10,0.1726608723402023
8,the film starts out as competent but unremarkable . . . and gradually grows into something of considerable power .,the film part out as competent but unremarkable . . . and gradually grows into something of considerable power .,film competent unremarkable gradually grow considerable power,else-,CountVectorizer,growing_net,MLPClassifier,polarity,0.3752641677856445,0,0.0,0.9960901087497566,1,0.9139435291290283,20,0.3272738456726074
9,. . . always remains movingly genuine .,. . . always stiff movingly genuine .,stiff movingly genuine,bluto blutarsky miss,CountVectorizer,growing_net,MLPClassifier,polarity,0.1043658256530761,0,0.0507541942113044,0.965654258760245,1,0.7997239828109741,8,-0.0521315857768058
10,jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films .,jonathan parker 's bartleby should have been the be - all - end - all of the modern - office anomie cinema .,jonathan parker bartleby end modern office anomie cinema,execrable,CountVectorizer,growing_net,MLPClassifier,polarity,0.3333082199096679,0,-0.0278235229542828,0.9952654700644156,13,0.9735451936721802,23,0.2310889065265655
