,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,Bill Gates Says Hillary Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,fake,Polyjuice,_TfidfVectorizer,342,26.793406009674072,rf,bill gate say hillary know difference hpv hiv,idris elba star new hunchback notre dame netflix,0.234860481245409,0.9874923052021256,1,0.8367285132408142,12,0.01186821796,'Crazy Rich Asians' Trailer Is Already A Magnificent Masterpiece,-0.1566573232412338
1,Kate McKinnon Breaks Out Another Impression Of Nature,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,fake,Polyjuice,_TfidfVectorizer,342,27.13262915611267,rf,kate mckinnon break impression nature,idris elba star new hunchback notre dame netflix,0.2951982170313051,0.8274796290532901,2,0.785834789276123,8,0.061287522315979,India Approves Death Penalty For Child Rapists Amid Outrage Over Recent Cases,-0.2942256033420563
2,Can Donald Trump still win the election?,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,_TfidfVectorizer,342,24.493491172790527,rf,donald trump win election,idris elba star new hunchback notre dame netflix,0.2675312800028588,0.8299177726768474,12,0.07979944348335266,8,0.0115219680592417,Chrissy Metz Says She Was Physically Abused By Her Stepfather As A Teen,-0.2300352901220321
3,Brown's character was confusing to understand.,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,fake,Polyjuice,_TfidfVectorizer,342,30.74770784378052,rf,brown character confuse understand,idris elba star new hunchback notre dame netflix,0.1664962915616159,0.7866366101171904,11,0.16450929641723633,8,0.0581586025655269,Thousands Protest Against Harsh New 'Stop Abortion' Bill In Poland,-0.1984869092702865
4,David Warner's recently concluded that he made false statements and attributed the project to his friend Lewis.,Jim Carrey's Latest Painting Slams Kent State 'Goldilocks' And Her AR-10,fake,Polyjuice,_TfidfVectorizer,342,25.00324034690857,rf,david warner recently conclude false statement attribute project friend lewis,idris elba star new hunchback notre dame netflix,0.2300560573032176,0.7260193418095506,17,0.19625335931777954,17,-0.1081565245985984,The Rest Of The World Showed Up To March For Our Lives,-0.2090956717729568
5,"At the time, Meacham was president, and his administration knew that Andrew Johnson did not support him.","Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart",fake,Polyjuice,_TfidfVectorizer,342,33.25779151916504,rf,time meacham president administration know andrew johnson support,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1142372608507805,0.4741456609007352,17,-0.0880657434463501,17,-0.023053852841258,Someone really likes Kit Kats…,-0.2204506695270538
6,A Native American is walking through a field of cheering people.,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",fake,Polyjuice,_TfidfVectorizer,342,32.23512530326843,rf,native american walk field cheer people,kate mckinnon break impression rudy giuliani,0.182935330193415,0.7900000191549126,11,0.2943236231803894,11,-0.0549735464155674,"Former Trump Doctor Accuses President's Lawyer, Bodyguard Of Raiding His Office",-0.2284069061279297
7,Innocent and an innocent student of,Illegal Immigrant Accused of Murdering Teacher,fake,Polyjuice,_TfidfVectorizer,342,31.688558101654053,rf,innocent innocent student,kate mckinnon break impression rudy giuliani,0.1504359631200056,0.7628039634265853,6,0.39098450541496277,6,0.0564403533935546,"Trump Attacks NYT Report, Insists He Has Power To Fire Robert Mueller",-0.2047388851642608
8,"Bottom line: no cheese, booze, and beer with a few highly redeeming moments and with a good dose of humour.","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,_TfidfVectorizer,342,28.588728189468384,rf,line cheese booze beer highly redeem moment good dose humour,idris elba star new hunchback notre dame netflix,0.1357803623890874,0.6889841961309415,20,0.2629989683628082,20,0.0824584364891052,Trump Administration Axes Funding For NASA System That Monitors Greenhouse Gases,-0.2637809514999389
9,What is your lifestyle like?,California Today: What to Look for on Election Day - The New York Times,fake,Polyjuice,_TfidfVectorizer,342,27.9960732460022,rf,lifestyle like,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0965588294649926,0.7920484020901332,13,0.012690090574324131,9,0.0062883775681257,"Sessions Tries To Appease Trump By Naming Prosecutor To Look At Clinton, FBI Matters",-0.2587703466415405
10,Is the death of the baby overrated?,France’s Obsession With Decline Is a Booming Industry - The New York Times,fake,Polyjuice,_TfidfVectorizer,342,34.21235728263855,rf,death baby overrate,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1148515002418661,0.7919065136816701,12,0.1139741837978363,9,0.0658402144908905,Six Gulf Protectors Arrested Challenging Gulf Oil Drilling,-0.1759351938962936
11,Vandalized Arizona Mosque Flooded With White Support From Interfaith Allies,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,fake,Polyjuice,_TfidfVectorizer,342,33.71963810920715,rf,vandalize arizona mosque flood white support interfaith ally,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0652384703406207,0.9821035129351846,1,0.9772707223892212,10,-0.0701340734958648,Even Penguins Have Children Who Won’t Leave the Nest - The New York Times,-0.2317992746829986
12,How do I solve this: 1/ 2/,Oregon Gov.: Ryan Zinke Conceded There’s No Money In Drilling Off Our Coast,fake,Polyjuice,_TfidfVectorizer,342,27.53830575942993,rf,solve 1/ 2/,idris elba star new hunchback notre dame netflix,0.1469422025253939,0.7130957714875871,13,0.034899819642305374,8,-0.0632985681295394,Anxiety grows among GOP congressional staffers,-0.2089117765426635
13,Eleven people are swimming in a roller coaster race.,Eleven Madison Park Plans a Makeover and a Summer Pop-Up - The New York Times,fake,Polyjuice,_TfidfVectorizer,342,26.352468013763428,rf,people swim roller coaster race,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0599960844990358,0.7770070088129695,13,0.15712061524391174,9,0.1080589517951011,Russian Ambassador to Turkey Is Assassinated in Ankara - The New York Times,-0.2004728615283966
