,target instance,average distance,all distances,distance metric,time needed,nb times cf not found,text method
0,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,0.970433790921407,"[0.9637753322884849, 0.9701257537865947, 0.9703314380071189, 0.9706164522522188, 0.9637753322884849, 0.9732028170380457, 0.9656202587950385, 0.966463860579654, 0.9701257537865947, 0.9732028170380457, 0.9745019693944895, 0.9782725451635021, 0.9703314380071189, 0.9656202587950385, 0.9745019693944895, 0.9714274819089235, 0.9706164522522188, 0.966463860579654, 0.9782725451635021, 0.9714274819089235]",spacy,6.7700581550598145,0,wordnet
1,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,0.9581722988392574,"[0.9740931333469868, 0.9566335960578433, 0.9751630436146834, 0.9414898159103714, 0.9740931333469868, 0.9594957597148449, 0.9795103542249667, 0.949005976901574, 0.9566335960578433, 0.9594957597148449, 0.957746349287259, 0.9441668593814004, 0.9751630436146834, 0.9795103542249667, 0.957746349287259, 0.9444180999526433, 0.9414898159103714, 0.949005976901574, 0.9441668593814004, 0.9444180999526433]",spacy,12.440918207168579,0,wordnet
2,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,0.8841721552589867,"[0.8412039483267899, 0.8657868741245689, 0.8855766998375142, 0.9323664169525688, 0.8412039483267899, 0.9147673942085748, 0.8492952885159127, 0.8922997620408537, 0.8657868741245689, 0.9147673942085748, 0.8605518030906678, 0.9118212596388052, 0.8855766998375142, 0.8492952885159127, 0.8605518030906678, 0.8880521058536099, 0.9323664169525688, 0.8922997620408537, 0.9118212596388052, 0.8880521058536099]",spacy,18.55958390235901,0,wordnet
3,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,0.9229666802035895,"[0.9129704717123382, 0.9050995116084127, 0.9043608973563763, 0.9412935035190728, 0.9129704717123382, 0.9255230181856714, 0.9134583853907247, 0.9279014343473286, 0.9050995116084127, 0.9255230181856714, 0.9465298999433323, 0.9298168431242648, 0.9043608973563763, 0.9134583853907247, 0.9465298999433323, 0.9227128368483719, 0.9412935035190728, 0.9279014343473286, 0.9298168431242648, 0.9227128368483719]",spacy,3.61417818069458,0,wordnet
4,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,0.9742903927838007,"[0.9686078773677043, 0.9786606691974005, 0.9771912816249292, 0.9840874753604644, 0.9686078773677043, 0.9668974345345609, 0.9720786654373045, 0.9684996145149694, 0.9786606691974005, 0.9668974345345609, 0.9698659994660028, 0.9755059342115258, 0.9771912816249292, 0.9720786654373045, 0.9698659994660028, 0.9815089761231472, 0.9840874753604644, 0.9684996145149694, 0.9755059342115258, 0.9815089761231472]",spacy,16.50447368621826,0,wordnet
5,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,0.9285629425820604,"[0.9339754250114577, 0.9253200629280608, 0.9284769272307447, 0.897623204348909, 0.9339754250114577, 0.9321831481994165, 0.9476278785288049, 0.9138124989267851, 0.9253200629280608, 0.9321831481994165, 0.9561037545753583, 0.9403176154504927, 0.9284769272307447, 0.9476278785288049, 0.9561037545753583, 0.9101889106205718, 0.897623204348909, 0.9138124989267851, 0.9403176154504927, 0.9101889106205718]",spacy,44.26623272895813,0,wordnet
6,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,0.9871526388528844,"[0.9888430957545422, 0.9851061790515316, 0.9900026562084195, 0.9834500671484353, 0.9888430957545422, 0.9912136203213827, 0.9880170848286276, 0.9907302166031964, 0.9851061790515316, 0.9912136203213827, 0.9854120174500113, 0.9871715296746192, 0.9900026562084195, 0.9880170848286276, 0.9854120174500113, 0.981579921488079, 0.9834500671484353, 0.9907302166031964, 0.9871715296746192, 0.981579921488079]",spacy,12.538547277450562,0,wordnet
7,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,0.975626909428269,"[0.9763045658679157, 0.9719084900223335, 0.979706980238502, 0.9629045652363579, 0.9763045658679157, 0.9866568418871727, 0.9793619886413824, 0.9784140325487027, 0.9719084900223335, 0.9866568418871727, 0.9762433481766183, 0.9782006897255243, 0.979706980238502, 0.9793619886413824, 0.9762433481766183, 0.9665675919381805, 0.9629045652363579, 0.9784140325487027, 0.9782006897255243, 0.9665675919381805]",spacy,4.476665258407593,0,wordnet
8,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0.9962299829739314,"[0.9967508628851307, 0.9980579266314211, 0.9952498695376915, 0.9979255456264219, 0.9967508628851307, 0.9948172239723373, 0.9951211890471819, 0.9988584010671969, 0.9980579266314211, 0.9948172239723373, 0.9936105126799963, 0.9959166618178149, 0.9952498695376915, 0.9951211890471819, 0.9936105126799963, 0.995991636474122, 0.9979255456264219, 0.9988584010671969, 0.9959166618178149, 0.995991636474122]",spacy,22.181646585464478,0,wordnet
9,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",0.9752502035506637,"[0.9685854192240066, 0.9729237597697389, 0.9786458355011505, 0.9791486446052822, 0.9685854192240066, 0.9750104005464625, 0.9793965847793158, 0.9683458796721616, 0.9729237597697389, 0.9750104005464625, 0.9818303740153036, 0.969833806933533, 0.9786458355011505, 0.9793965847793158, 0.9818303740153036, 0.9787813304596841, 0.9791486446052822, 0.9683458796721616, 0.969833806933533, 0.9787813304596841]",spacy,12.777143478393555,0,wordnet
10,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,0.9799660444719056,"[0.9824297936340591, 0.9717652354580681, 0.9849180656896915, 0.9795848127605346, 0.9824297936340591, 0.9760358880058997, 0.9870451076000163, 0.9873823600170283, 0.9717652354580681, 0.9760358880058997, 0.9789693275157816, 0.9701073511098983, 0.9849180656896915, 0.9870451076000163, 0.9789693275157816, 0.981422502928078, 0.9795848127605346, 0.9873823600170283, 0.9701073511098983, 0.981422502928078]",spacy,7.858617544174194,0,wordnet
11,WIN a aPS200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 aPS1.50perweeksub.,0.9597264587584255,"[0.9578559388510425, 0.9500313571934725, 0.9492656627086681, 0.9608214012510075, 0.9578559388510425, 0.9629029335861632, 0.9743647901552785, 0.97066210419819, 0.9500313571934725, 0.9629029335861632, 0.9625780190401878, 0.9551533484906246, 0.9492656627086681, 0.9743647901552785, 0.9625780190401878, 0.9536290321096218, 0.9608214012510075, 0.97066210419819, 0.9551533484906246, 0.9536290321096218]",spacy,4.695294618606567,0,wordnet
12,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,0.93746193760962,"[0.9379786042114245, 0.9266204845281081, 0.926209705090033, 0.9285571573550255, 0.9379786042114245, 0.9460112743325526, 0.9443001322733532, 0.9302626801621817, 0.9266204845281081, 0.9460112743325526, 0.9512452695320911, 0.9513876230279286, 0.926209705090033, 0.9443001322733532, 0.9512452695320911, 0.9320464455835015, 0.9285571573550255, 0.9302626801621817, 0.9513876230279286, 0.9320464455835015]",spacy,24.53006339073181,0,wordnet
13,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",0.9653385974079949,"[0.9627588679073992, 0.9661832459717895, 0.96165660857218, 0.9658094995719447, 0.9627588679073992, 0.9653826954571536, 0.9654999477596701, 0.968902022268895, 0.9661832459717895, 0.9653826954571536, 0.9577651565404668, 0.9744523590980715, 0.96165660857218, 0.9654999477596701, 0.9577651565404668, 0.9649755709323803, 0.9658094995719447, 0.968902022268895, 0.9744523590980715, 0.9649755709323803]",spacy,27.106438159942627,0,wordnet
14,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,0.9426511530688089,"[0.9659377455260943, 0.9393557853695569, 0.9458059655602747, 0.9358926682919717, 0.9659377455260943, 0.9370050137291863, 0.9568520416723646, 0.9315550274326392, 0.9393557853695569, 0.9370050137291863, 0.9430093499401779, 0.9305934907995073, 0.9458059655602747, 0.9568520416723646, 0.9430093499401779, 0.9405044423663146, 0.9358926682919717, 0.9315550274326392, 0.9305934907995073, 0.9405044423663146]",spacy,27.587828397750854,0,wordnet
15,XMAS iscoming & ur awarded either aPS500 CD gift vouchers & free entry 2 r aPS100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,0.8661211281879977,"[0.8420787253202063, 0.9035579846787941, 0.8524580686209448, 0.8847197684071937, 0.8420787253202063, 0.8713563623171557, 0.8445865319094047, 0.8790396032912315, 0.9035579846787941, 0.8713563623171557, 0.8182443030416909, 0.9103523104640613, 0.8524580686209448, 0.8445865319094047, 0.8182443030416909, 0.8548176238292929, 0.8847197684071937, 0.8790396032912315, 0.9103523104640613, 0.8548176238292929]",spacy,31.997868537902832,0,wordnet
16,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,0.9378404423578586,"[0.9236007250512683, 0.912037867183623, 0.9437081120445896, 0.9310380361500523, 0.9236007250512683, 0.9363786914481533, 0.953053816997497, 0.9420655374956628, 0.912037867183623, 0.9363786914481533, 0.9382636139384861, 0.9548431791823075, 0.9437081120445896, 0.953053816997497, 0.9382636139384861, 0.9434148440869456, 0.9310380361500523, 0.9420655374956628, 0.9548431791823075, 0.9434148440869456]",spacy,7.738362789154053,0,wordnet
17,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost aPS1.50. 2 cancel send STOP",0.9845382149857264,"[0.9846951322265857, 0.9774108481081495, 0.9815396326379112, 0.9834113031966006, 0.9846951322265857, 0.9847240074789207, 0.9883057025732129, 0.9886430676323261, 0.9774108481081495, 0.9847240074789207, 0.9846666369048336, 0.9846994920556491, 0.9815396326379112, 0.9883057025732129, 0.9846666369048336, 0.9872863270430721, 0.9834113031966006, 0.9886430676323261, 0.9846994920556491, 0.9872863270430721]",spacy,10.411849975585938,0,wordnet
18,URGENT! Your Mobile number has been awarded with a aPS2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,0.955532215759708,"[0.9591925989236921, 0.9553986542476118, 0.9683018705708332, 0.9570629614607543, 0.9591925989236921, 0.9553482166984723, 0.9454866003110091, 0.9618091481106981, 0.9553986542476118, 0.9553482166984723, 0.9594039758445857, 0.9430935014608203, 0.9683018705708332, 0.9454866003110091, 0.9594039758445857, 0.9502246299686045, 0.9570629614607543, 0.9618091481106981, 0.9430935014608203, 0.9502246299686045]",spacy,5.3186023235321045,0,wordnet
19,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",0.9782692581036507,"[0.9785005785765996, 0.9768266625960814, 0.9786830365970458, 0.9740941668274589, 0.9785005785765996, 0.9800160910803403, 0.9810033250341155, 0.9785447774096391, 0.9768266625960814, 0.9800160910803403, 0.9781241067899441, 0.9713608377646034, 0.9786830365970458, 0.9810033250341155, 0.9781241067899441, 0.985538998360679, 0.9740941668274589, 0.9785447774096391, 0.9713608377646034, 0.985538998360679]",spacy,4.952080488204956,0,wordnet
