,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"the movie has a soft , percolating magic , and a deadpan suspense .","the movie has a soft , percolating magic , a deadpan suspense .",polarity,Polyjuice,,240,26.080857038497925,rf,movie soft percolate magic deadpan suspense,else-,0.0,0.9962704786247404,1,0.9959875345230103,14,0.1562358140945434,. . . understands that a generation defines its music as much as the music defines a generation .,-0.1098087057471275
1,"it was, nevertheless, an entirely convincing movie...",". . . mesmerizing , an eye-opening tour of modern beijing culture in a journey of rebellion , retreat into oblivion and return .",polarity,Polyjuice,,240,32.26285219192505,rf,entirely convincing movie,fluffy disposible,0.0594812430384759,0.8248677144994868,23,0.1915885955095291,7,0.1518234461545944,a momentary escape from the summer heat and the sedentary doldrums that set in at this time of year .,-0.0738039091229438
2,[at least] moore can be a real charmer .,[at least] moore is a real charmer .,polarity,Polyjuice,,240,27.46285891532898,rf,moore real charmer,fluffy disposible,0.0307482242283498,0.980564948039863,2,0.9669525623321533,9,0.0811348706483841,"sets animation back 30 years , musicals back 40 years and judaism back at least 50 .",-0.0851953700184822
3,. . . you remains movingly genuine .,. . . always remains movingly genuine .,polarity,Polyjuice,,240,21.872265338897705,rf,remain movingly genuine,fluffy disposible,0.0647791878074946,0.99017378690778,1,0.8564279079437256,8,0.1656492799520492,a momentary escape from the summer heat and the sedentary doldrums that set in at this time of year .,-0.0937517508864402
4,"It was surprisingly good at first, but quickly got interesting and interesting.",there's more repetition than creativity throughout the movie .,polarity,Polyjuice,,240,21.684037685394287,rf,surprisingly good quickly get interesting interesting,execrable,-0.0328555270791834,0.842553491130699,12,0.21132215857505798,12,0.0230977926403284,oozes condescension from every pore .,-0.1667298525571823
5,"a spellbinding african film about the modern condition of rootlessness , a state experienced by so many millions around the globe .","a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",polarity,Polyjuice,,240,31.928041458129883,rf,spellbinding african film modern condition rootlessness state experience million globe,fluffy disposible,0.0788509795382994,0.9958585857134912,2,0.9948440790176392,22,0.1654351353645324,"harrison's flowers puts its heart in the right place , but its brains are in no particular place at all .",-0.0891892164945602
6,"a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a very interesting , lackadaisical charm .","a pleasant ramble through the sort of idoosyncratic terrain that errol morris has often dealt with . . . it does possess a loose , lackadaisical charm .",polarity,Polyjuice,,240,34.484591484069824,rf,pleasant ramble sort idoosyncratic terrain errol morris deal possess interesting lackadaisical charm,fluffy disposible,0.1299942822561451,0.9946810892110436,2,0.9841844439506531,29,0.2807060182094574,"if you've got a house full of tots -- don't worry , this will be on video long before they grow up and you can wait till then .",-0.0400592274963855
7,eight crazy nights is a showcase for sandler's great many talents .,eight crazy nights is a showcase for sandler's many talents .,polarity,Polyjuice,,240,25.10242247581482,rf,crazy night showcase sandler great talent,else-,0.0,0.995450673490005,1,0.9931503534317017,12,0.155587151646614,"the words , 'frankly , my dear , i don't give a damn , ' have never been more appropriate .",-0.1398928016424179
8,EMPTY to make such a worthless film...,it's probably not easy to make such a worthless film . . .,polarity,Polyjuice,,240,28.65408444404602,rf,worthless film,else-,0.0,0.9207562946575354,8,0.8794179558753967,7,0.3103760182857513,"minority report is exactly what the title indicates , a report .",-0.0610851868987083
9,. . . very funny,". . . very funny , very enjoyable . . .",polarity,Polyjuice,,240,26.54121041297913,rf,funny,fluffy disposible,0.1211763494443566,0.9814935858841894,6,0.7708772420883179,5,0.1501620560884475,equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 .,-0.0507407374680042
