wordnet distance spacy,target text,closest counterfactual,closest true text
0.8193172078060511,Trump Adviser Had Twitter Contact With Figure Tied to Russians - The New York Times,Trump Adviser consume Twitter Contact With Figure Tied to Russian - The New House_of_York clock_time,twitter user joke trump want prison reform head
0.751447928618406,Matt Smith Speaks Out About 'The Crown' Pay Gap,matted Smith utter Out some ' The Crown ' Pay col,meet openly trans man graduate spelman college
0.8862250681920647,Stormy Daniels Finds A Crunchy New Way to Chip Away At Trump,tempestuous Book_of_the_Prophet_Daniel Finds axerophthol Crunchy raw Way to Chip home At Trump,medium shame 65 journalist presstitute madam hillary clinton
0.7751837494041189,"D.A. Henderson, Doctor Who Helped End Smallpox Scourge, Dies at 87 - The New York Times","Doctor_of_Arts Henderson , Doctor Who Helped remainder variola_major Scourge , Dies At lxxxvii - The fresh House_of_York time",tiffany haddish recall time man die follow killer dance move
0.8359637621718541,FBI Official Trump Loathes May Be Fired For Disclosing Info That Helped Trump's Campaign,FBI Official Trump Loathes May Be Fired For bring_out information That Helped Trump 's campaign,archaeological victim isis rise replica rome new york time
0.8314221645878208,Why Did Beijing Slap Down Hong Kong Separatists? To Make a Point - The New York Times,Why Did Beijing Slap Down Hong Kong Separatists ? To arrive_at a item - The New House_of_York clock_time,trump say talk way release americans hold north korea
0.7683387741580905,"Trump Says He Did Stay Overnight In Moscow, Claims James Comey Lied In Memo","Trump enjoin He Did delay nightlong In capital_of_the_Russian_Federation , Claims James Comey Lied In Memo",turkey interrupt u.s air mission isis major base new york time
0.7485224187225704,French Jewish Leaders 'Horrified' By Murder Of Holocaust Survivor,French Jewish leadership ' Horrified ' past polish_off Of final_solution Survivor,chart day 58 year federal infrastructure spending constant dollars—-no starvation
0.815880072095696,The Bride and Groom Are Kittens. At Death They Did Not Part. - The New York Times,The Bride and Groom Are Kittens . At Death They Did Not Part . - The New House_of_York time,family hear muslim groom scream see item blood soak hand
0.6934060563898733,Vermont Governor Signs Gun Control Bills Into Law,Vermont regulator Signs gas Control placard Into constabulary,park geun hye accomplice extortion south korean prosecutor new york time
0.716300140709336,Shinzo Abe to Become First Japanese Leader to Visit Pearl Harbor - The New York Times,Shinzo Abe to Become first_off Japanese Leader to Visit Pearl Harbor - The New House_of_York fourth_dimension,trump say talk way release americans hold north korea
0.6663970888089399,Trump’s “Conservative Revolution” (A view from Oz),Trump ’s “ liberal gyration ” ( A scene from Oz ),believe queer eye season 2 drop month
0.8130361752828816,"MMA Fighter Does Front Flip Off Knocked-Out Opponent, Gets Disqualified","MMA fighter Does look summerset Off pick_apart - Out Opponent , start_out indispose",sweden happiness short workday overcome cost new york time
