,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,"Bias: Trump Blamed For Sluggish Economy, Obama Lavished With Praise - Breitbart","Bias : Trump Blamed For Sluggish Economy , Obama Lavished With Arizona - NRA",bias trump blame sluggish economy obama lavish arizona nra,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,79.3290147781372,0,0.1853495611929193,0.9388454152605924,6,0.9097594022750854,14,-0.1949482560157776,Gwen Stefani Superfan Beats Gwen Stefani At A Gwen Stefani Quiz,-0.1949822902679443
1,The Supreme Court Is Helping Companies Get Away With Sexual Harassment,The Supreme Court Is Helping Companies Know Away With Hillary Harassment,supreme court help company know away hillary harassment,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_language,MLPClassifier,fake,60.634352684021,0,0.1951365252422526,0.9685492712510444,2,0.7713388204574585,11,0.0357970781624317,Protest Leader Nikol Pashinian Elected Prime Minister Of Armenia,-0.2252426147460937
2,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,Bill Gates Says Trump Were n't Know The Difference Over HPV And HIV,bill gate say trump know difference hpv hiv,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,69.93074870109558,0,0.1799197670746544,0.9875564479180392,3,0.9438623189926147,13,0.0237771123647689,Cranberries: The Holiday Healthy Superfood,-0.1319529861211776
3,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie California 's Ex - Bodyguard Tim Chung Denies He 's Actually Stormi 's Father,kylie california ex bodyguard tim chung deny actually stormi father,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_language,MLPClassifier,fake,65.62843990325928,0,0.3663955717050785,0.9760450352696148,9,0.9863731265068054,15,-0.0199300870299339,Women In Iceland Leave Work 14% Early To Protest The Country’s 14% Wage Gap,-0.2459672540426254
4,Kate McKinnon Breaks Out Another Impression Of Rudy Giuliani,Corey McKinnon Breaks Out Another Impression Of Thursday Giuliani,corey mckinnon break impression thursday giuliani,threat real,CountVectorizer,growing_language,MLPClassifier,fake,55.69460654258728,1,0.3967390814886125,0.931062633973865,2,0.8952958583831787,9,0.0226278454065322,India Approves Death Penalty For Child Rapists Amid Outrage Over Recent Cases,-0.2534161210060119
5,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,U.S. Embassy In Jerusalem Opens Its Doors Than Lives Rage Nearby,u.s embassy jerusalem open door life rage nearby,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,57.01914882659912,1,0.0856375630542231,0.9656268508713496,2,0.9308451414108276,11,-0.0815908387303352,"Watch Out Alec Baldwin, These Kids' Donald Trump Impressions Are So On Point",-0.2131007313728332
6,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Joe 's Complaints About Obama Giving Away Fallon Strategy Look Pretty Silly Now,joe complaint obama give away fallon strategy look pretty silly,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,76.46270895004272,1,0.2325435221332933,0.9658410487614568,3,0.6646611094474792,13,-0.0814029052853584,"Ontario, Canada, Just Issued Its First Non-Binary Birth Certificate",-0.1770514249801635
7,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,Mark Jimmy on Trump Wiretapping Claims : ’ The Evidence Is Anxiety ’ - Breitbart,mark jimmy trump wiretapping claim evidence anxiety breitbart,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_language,MLPClassifier,fake,83.20614695549011,3,0.1562202769160788,0.9631113962075571,7,0.7939105033874512,15,-0.0636458471417427,"Ethiopian Runner Won’t Return Home, but Doesn’t Know Where to Go - The New York Times",-0.1402287483215332
8,"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart","Barbara Smites Haters , Radical Islamists in Jerusalem Post Speech - Crawford",barbara smite hater radical islamist jerusalem post speech crawford,diamond silk,CountVectorizer,growing_language,MLPClassifier,fake,67.17982649803162,4,0.1662205005007944,0.8973956329845312,4,0.8302665948867798,12,0.0872026681900024,"Italian Train Derails in Switzerland, Seven Injured",-0.1792166978120803
9,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Native American Leaders Vow to Stay All Winter , File Disney Against Police",nodapl native american leader vow stay winter file disney police,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_language,MLPClassifier,fake,81.61014246940613,4,0.2187792355432789,0.9797666692792348,6,0.8482180833816528,16,0.0319046676158905,First Person Sentenced In Robert Mueller's Russia Investigation,-0.1659068316221237
10,Illegal Immigrant Accused of Murdering Teacher,Illegal Attack Accused of Murdering Childhood,illegal attack accuse murder childhood,idris elba star new hunchback notre dame netflix,CountVectorizer,growing_language,MLPClassifier,fake,35.683434009552,5,0.0964420928376988,0.9077637457918988,2,0.5358043909072876,8,-0.0405483469367027,Paul McCartney Joins March For Our Lives In Memory Of John Lennon,-0.1961633563041687
