concon distance spacy,target text,closest counterfactual,closest true text
0.6734564498611104,Trump Adviser Had Twitter Contact With Figure Tied to Russians - The New York Times,anaphoric Adviser Had Twitter anaphoric With Figure Tied to manipulatively assignees tuck-shop New instanton versify,trump have second thought spend deal
0.6982712779682458,Matt Smith Speaks Out About 'The Crown' Pay Gap,wildly generationally unaligned Out Lamb of God ultrasonically The Crown exporter Pay Gap,reopening clinton email investigation gop hype
0.8517115021883241,Stormy Daniels Finds A Crunchy New Way to Chip Away At Trump,scaldic streaked Finds litherness Crunchy New Way to unfilled Away At Trump,exes bella hadid weeknd spot kiss coachella
0.6959995343221433,"D.A. Henderson, Doctor Who Helped End Smallpox Scourge, Dies at 87 - The New York Times","D.A. Henderson , fooder oylets Helped End unconsolidated Scourge , Dies Bergama 87 - The somersaulting self-abuser officials",texas man kill neighbor use gay panic defense avoid murder charge
0.7625118828481314,John Oliver Shreds The Feds For Forcing Kids To Appear In Court Without Lawyers,pressed non-physical Shreds The Feds For Forcing parcel To reversor In Court pricking-wheel Junker,october shocker fbi explosive information trump conspire putin
0.8443364010987526,FBI Official Trump Loathes May Be Fired For Disclosing Info That Helped Trump's Campaign,FBI troped Trump vibrative May Be Fired enamelling useages Info That Helped Trump 's Campaign,intent unsettling e.u russia tap foot soldier fringe new york time
0.7996106110624682,Why Did Beijing Slap Down Hong Kong Separatists? To Make a Point - The New York Times,Why Did Beijing Slap Down Hong Kong Separatists ? To cheese shrivelled serial - The parcelle York cheaters,trump say talk way release americans hold north korea
0.7963827820928148,"Trump Says He Did Stay Overnight In Moscow, Claims James Comey Lied In Memo","Trump lubbers enlightenment Did Stay nonconsumptive antireflection Moscow , Claims James black-barred Lied In Memo",winnie madikizela mandela anti apartheid campaigner dead 81
0.6970622177856499,French Jewish Leaders 'Horrified' By Murder Of Holocaust Survivor,French Jewish cavewoman ' Horrified ' By Murder Of forepayment frogs,secret service struggle find recruit adderall
0.5863209432515308,Zumwalt: Obama’s Russian Hacking Shell Game - Breitbart,Zumwalt negawatt obolos ’s garbing unsaleability Shell Game - vehicle,california move let school co worker red flag dangerous gun owner
0.7780084019812211,The Bride and Groom Are Kittens. At Death They Did Not Part. - The New York Times,The unsoundness and dogmatically Are Kittens . At Death They Did Not Part . - The New preheats versify,trump briefly admit make change mind
0.8626777992919699,Vermont Governor Signs Gun Control Bills Into Law,Vermont Governor taipo Gun Control foundation-stop wheder Law,anthony weiner allege teenaged sexte victim pen scathe open letter fbi director comey
0.7476591482582193,Shinzo Abe to Become First Japanese Leader to Visit Pearl Harbor - The New York Times,gonzo Abe to Become First Japanese Leader to Visit Pearl Harbor auricularly The New saber-toothed colloquy,queer eye karamo brown personal reason support march life
0.593115797496657,Trump’s “Conservative Revolution” (A view from Oz),malignity life-history “ inthralment toystore ” ( A apprehensibly from Oz potability,queer eye karamo brown personal reason support march life
0.5610633480197116,"MMA Fighter Does Front Flip Off Knocked-Out Opponent, Gets Disqualified",telco Fighter Does Tappan Zee Flip idiosyncrasies unpenalized - Out Opponent rating globbing Disqualified,breitbart expose white house visitor log transparency con breitbart
0.8178330169245445,Report: How to Listen to and Delete Every Voice Recording Saved by Amazon Echo - Breitbart,Report : How stroll Listen to and Delete Every Voice Recording tyrannously by Amazon Echo - trevallies,email interior expect learn public input bear ear review
0.8027888038609071,Trump Threatens To 'Close Down The Country' If Border Wall Doesn't Get Funding,Trump Threatens range ' Close Down The alcohol-engine ' If disambiguating Wall Does n't Get Funding,fbi clinton investigation wide assume
0.7262021499363267,Huntington Beach Goes to War Against Threat to Force District System - Breitbart,Radisson dark-haired Goes to incessant repressuring Threat to Force Descanso arkosic - quasineutral,queer eye karamo brown personal reason support march life
0.8460210296833173,A Dream That Survived Life in a War Zone and Life on the Streets - The New York Times,A Dream That Survived Life in nonobservant War Zone and Life on the creeded - The New York four-wheeled,rest world show march life
0.8099264240765135,The Karolyis Say They Had No Idea About Nassar Abuse At Their Training Facility,The dingbat snow-light They Had No doctrinaires About stetsons Abuse At Their Training Facility,rex tillerson exxon mobil forge path abroad new york time
0.8346645904606116,Thailand Looks to Likely Future King With Apprehension - The New York Times,disorganised Looks to Likely Future King With Apprehension - The hair-brown York coorses,queer eye karamo brown personal reason support march life
0.8025745943976323,Donald Trump Is Now Selling Freedom For Your Head And It Only Costs $35!,Donald Trump risky paraterminal nonwooded Freedom For allied Head And It Only Costs $ 35 !,tree shape vertical farm grow 24 acre crop
0.7480873485847902,Here is Elon Musk’s True Mars On Earth Plan,incogitancy is reminds Mother Russia Métis True Mars On Earth renouncing,travel blogger little know island truly heaven earth
0.7704232534356065,Gloria Steinem: 'I've Never Seen This Much Activism In My Life',rookie marquisette skull-less myriapoda I 've myriapoda stove-lifter This prelector disagreeable vastidity everybody Life ',katy perry meet pope francis speak vatican conference
0.7418543727642355,Rihanna Blasts Snapchat Ad That Made Light Of Chris Brown Assaulting Her,water-supply Blasts Snapchat Ad That Made Light Of Chris isolationism Assaulting squamously,report net neutrality proponent complaint fcc bot account fake comment death threat breitbart
0.8258234035158538,Fox Losing More Advertisers After Sexual Harassment Claims Against O’Reilly - The New York Times,Fox expugn More Advertisers After Sexual Harassment Claims Against O’Reilly platinised The New dopant Times,uber end force arbitration individual case sexual assault harassment
0.4235015238507633,Ellen DeGeneres Has Tessa Virtue And Scott Moir Play 'Definitely Not Dating' Game,jostler brassic filegroup orderings Virtue cyclotron integraph Moir repressors ' Definitely musicalize psych ' cassia,airstrike yemen kill 17 civilian witness new york time
0.7911018237088207,73 Teens Shot To Death In The 37 Days Since The Parkland Massacre,73 Teens insidery five-round Death In The 37 Days Since The cymbalists intrals,squirrel lose paw trap get prosthetic wheel
0.7757071379536965,"George Michael, United Nations, Shinzo Abe: Your Tuesday Briefing - The New York Times","George resistlessness deep-fet United St John , Shinzo banquet-house octapeptide douches Tuesday parainfluenza offshoot The squadron unresistingly understaffing",irish prime minister partner join nyc st patrick day parade
0.7284922062157154,FACT: People Who Cry During Movies Are Mentally Strong People,butter-ladle : ill-treats Who whiskeys During Movies aggroing quipper Strong People,family hear muslim groom scream see item blood soak hand
0.5950293467430446,Gentrification and Junk Food: Chopped-Cheese Edition - The New York Times,Gentrification and Ionesco Food : badgerer adumbrated Cheese Edition - retroactivity New superessive remiss,republicans people kick food stamp new bill
0.7899191488193242,"Students Stage Sit-In For Gun Control Outside Paul Ryan's Office, Get Arrested","Students soiled digon unurbanised privatissimum For Gun Control Outside megalithic Ryan between-brain alienor , Get tuneful",october shocker fbi explosive information trump conspire putin
0.7546657697908093,Copenhagen Trolls Donald Trump With Funny Bus Ad To Send Americans A Message,Copenhagen trochoids Donald unmechanical With Funny encumbrance resignation To Send Americans frater-house Message,left turn bob dylan pro israel view refusal acknowledge nobel prize
0.636508853843092,Asian-American Pastor's Arrest In China Comes Amid Crackdown On Unsanctioned House Churches,colloquy barchans wire-edge refoot 's leopard-lizard In undoable tabular supersport licking On Unsanctioned House fellest,munich killer trouble terrorist tie germany say new york time
0.5627100987872594,Mark Zuckerberg Doesn't Really Want Facebook To Be Regulated,Mark funkiest knave-bairn n't Really surmiser prepublication tardigrade Be Regulated,truth 9/11
0.7157519930433147,White House Forced To Release Some Visitor Logs In Legal Settlement,White diving-stone Forced To Release Some fallible squatting expectorant buffer-spring untidiest,october shocker fbi explosive information trump conspire putin
0.6690936164288335,2 Florida Deputies Shot Dead While Eating At Chinese Restaurant,2 Florida pentafluoride Babism Dead While merling At amyelia invulnerable,larry kudlow perfect embodiment republican economic
0.7369141536774519,Jimmy Kimmel Says He’s Filing A Federal Complaint Against The Trumps,ticket-porter piousness prelims He ’s tinkal A framed Complaint Against The sarcle,vatican rome jewish museum team menorah exhibit new york time
0.689033452685523,Topless ‘Sextremist’ Feminists Grab Trump Waxwork ‘By the B*lls’,Topless trousse Sextremist ’ Pines cousin-brother Trump uphang ‘ lung-power deftly B*lls ’,stormy daniels reveal sketch man allegedly threaten trump story
0.7799126039662105,Donald Trump Nominates Wall Street Lawyer to Head S.E.C. - The New York Times,Donald Trump Nominates Wall Street Lawyer to Head S.E.C. - 16-foot-long New stubbily cockboats,9 democrat sign help wall street steal car
0.6950935981823582,"After #OscarsSoWhite, Broadway Seeks a #TonysSoDiverse - The New York Times","missionary # Manal , Broadway Seeks top-up unblinking TonysSoDiverse - The skulls sicklily tacks",queer eye karamo brown personal reason support march life
0.6731269719161593,Stormy Daniels Scores '60 Minutes' Its Highest Ratings In Nearly A Decade,wool-grass dramas wool-grass serpentinous 60 Troas ' Its Highest Ratings defrayed Nearly A guidons,squirrel lose paw trap get prosthetic wheel
0.7695644960573577,Detect Negative Energies And Malicious Entities Haunting You With A Glass Of Water,Detect destin Energies And ultraminiature uncowed Haunting You With A frenchified Of scalp-dance,queer eye karamo brown personal reason support march life
0.7738764808192848,Jury To Weigh If Pulse Shooter’s Widow Is A Monster Or Just Married One,undersized To mulches If unsceptically Shooter ’s Widow Is wind-shield tetrodotoxins rheostasis Just polymerisation One,october shocker fbi explosive information trump conspire putin
0.8417056220073582,VIDEO: Man Allegedly High on Synthetic Street Drug Tries to Bite Officers After They Repeatedly Tasered Him - Breitbart,VIDEO Holliday Man Allegedly High on Synthetic Street Drug Tries to Bite Officers After Japan-only permanently Tasered Him - pagoda-tree,texas man kill neighbor use gay panic defense avoid murder charge
0.6399485214532019,Getty Mixed Up Mark Zuckerberg's Executive Assistant With Priscilla Chan,unblamableness polypharmacal concerned Mejico bemoaned 's Executive Assistant With Priscilla Chan,u.s.-backed militia open drive isis capital syria new york time
