closest counterfactual,closest true text,embedding distance,polyjuice similarity spacy,target text
What do we want for Xmas?,think say clearly ok leave need ask come,0.5264725089073181,0.9002843128542404,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
"grab ur apsk2...!! savamob earn $1, 500 after month 1?!",friend get say up order gram get $ lt;#&gt,0.4104980528354645,0.795407332316486,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP
"EMPTY u meet ur dream partner soon? Is ur ur career off 2 a nap? can ur get a job, ur paypal",hi hope ur day good walk table book half let know ur come,0.5380343794822693,0.9248240688923987,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
"The teams have a tradition at the local level, such as in the old games, but also in team games like dodgeball and bowling, which are not at all played in professional settings.",school start stay weather like food social support system like friend school thing important,0.3109600245952606,0.8545646806003094,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
Have your mobile rooted?,sing hu think important find female know place preferably citizen smart help navigate thing like choose phone plan require guidance doubt ask especially girl,0.6522336006164551,0.7991158463072637,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call"
tone club membership: previous member no longer valid.,open rebtel firefox load plus sign user place number low number number pick number pin display okay,0.38812151551246643,0.769126998140041,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016
Including for 1st period drama 2/ 10 10,2 half year miss friendship:-,0.45059001445770264,0.7581428302781774,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
now the horny gangway said you can't eat,hey babe sorry soon gary come fix cause think know far ptbo say cost   lt;#&gt   buck know cheap find second hand machine right let know want babe,0.47477859258651733,0.9028231579286194,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
Do kids like to read?,information ikea spell cap yell think leave sit bed mess come say go get home class try bullshit make want listen,0.4389335811138153,0.8853756698579128,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
download the content you want to download from geocities.,hey sweet wonder moment come want send file wo yahoo connection suck remember set page download format disc tell know way download big file download stuff directly internet help great prey tease kiss,0.40830838680267334,0.8936951886271709,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.
"Don't miss out on the great Classic film buff though because you will be wasting your money and your time on this amazingly great, fresh and popular flick.",faith make thing possible hope make thing work love make thing beautiful christmas!merry christmas,0.4944586753845215,0.8954275140758685,"WELL DONE! Your 4* Costa Del Sol Holiday or aPS5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, CostaPS1.50/pm, Max10mins"
WE ARE VOTING!,good register vote,0.5575981736183167,0.7756541606587185,URGENT! We are trying to contact U Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
Call 08722 1008 as soon as we know the answer.,problem baby good time talk call leave message,0.6123009324073792,0.8705664331558431,Please CALL 08712402578 immediately as there is an urgent message waiting for you
since when do you have our contact EMPTY from your smartphone.,mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.658717155456543,0.8893094382420395,"our mobile number has won aPS5000, to claim calls us back or ring the claims hot line on 09050005321."
and those numbers go up too. 0871874110,mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.5998194813728333,0.8736354714468687,88800 and 89034 are premium phone services call 08718711108
Want really good at PO2?,cool time think,0.49007993936538696,0.8283797119563923,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg
"stop texting your roommate, i suggest you call up his cell.",mean post write like time ritten stuff let sit feel time angry leave hit send stop check phone get car say sleep bored time clean fold laundry etc bed,0.5395596623420715,0.9096853165824031,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062."
You have won a Lincoln - museum.,car appreciate dad have map read semi argument apart thing go ok p.,0.35709330439567566,0.7937081116300821,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
