,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find
0,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,urgent ! We are trying to link U. Todays get display that you experience lose a aPS800 dirty_money guarantee . Call 09050001808 from terra_firma line . take M95 . Valid12hrs only,urgent try link u. today display experience lose aps800 dirty_money guarantee 09050001808 terra_firma line m95 valid12hrs,wylie tampa sarasota,CountVectorizer,growing_net,MLPClassifier,spam,4.3814427852630615,2
1,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,bloke ! We are test to get_through you . conclusion weekends attract shows that you bring_home_the_bacon amp aPS1000 dirty_money secure . telephone 09064012160 . forfeit Code K52 . invalid 12hrs only . 150ppm,bloke test get_through conclusion weekend attract show bring_home_the_bacon amp aps1000 dirty_money secure telephone 09064012160 forfeit code k52 invalid 12hrs 150ppm,wylie tampa sarasota,CountVectorizer,growing_net,MLPClassifier,spam,5.826873302459717,3
2,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,praise ur present d of four_hundred coupon operating_room 125gift undertake & dislodge accounting_entry II C wkly drawing_card txt euphony to 87066,praise ur present d four_hundred coupon operating_room 125gift undertake dislodge accounting_entry ii c wkly drawing_card txt euphony 87066,,CountVectorizer,growing_net,MLPClassifier,spam,6.7079176902771,5
3,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,What do U want for Dec_25 ? How well-nigh 100 freeze textbook messages & angstrom freshly picture phone with half damage dividing_line rental ? forebode devoid directly on 0800 0721072 to regain out to_a_greater_extent !,u want dec_25 nigh 100 freeze textbook message angstrom freshly picture phone half damage dividing_line rental forebode devoid directly 0800 0721072 regain to_a_greater_extent,,CountVectorizer,growing_net,MLPClassifier,spam,8.014344453811646,14
4,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I practice n't know u and U come n't know me . mail chitchat to 86688 forthwith and let 's detect to_each_one early ! Only 150p / monosodium_glutamate rcvd . hectogram / Suite342/2Lands / words / W1J6HL LDN . 18 class OR over .,practice know u u come know mail chitchat 86688 forthwith let detect to_each_one early 150p monosodium_glutamate rcvd hectogram suite342/2lands word w1j6hl ldn 18 class,,CountVectorizer,growing_net,MLPClassifier,spam,15.071084976196289,15
5,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,todays vodafone numbers finish with 0089(my last-place four finger ) are take to received a aPS350 award . If your number matches please call 09063442151 to take your aPS350 honor,todays vodafone number finish 0089(my place finger receive aps350 award number match 09063442151 aps350 honor,wylie tampa sarasota,CountVectorizer,growing_net,MLPClassifier,spam,2.867002487182617,15
6,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","Will u meet ur dream mate soon ? exist ur career off 2 a flyng start ? II find out free , txt HORO be by ur star sign , e. g. HORO ARIES",u meet ur dream mate soon exist ur career 2 flyng start ii find free txt horo ur star sign e. g. horo arie,,CountVectorizer,growing_net,MLPClassifier,spam,1.5081417560577393,18
7,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,U take a hole-and-corner friend who is looking two reach contact with U - find_out out who they R*reveal WHO think UR so special - call on 09058094594,u hole corner friend look reach contact u find_out r*reveal think ur special 09058094594,wylie tampa sarasota,CountVectorizer,growing_net,MLPClassifier,spam,3.5031139850616455,18
8,WIN a aPS200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 aPS1.50perweeksub.,lose amp aPS200 frequent spree every workweek get_going now . ii work trade_edition depot to 88039 . SkilGme . TsCs08714740323 1Winawk ! age16 aPS1.50perweeksub .,lose amp aps200 frequent spree workweek get_goe ii work trade_edition depot 88039 skilgme tscs08714740323 1winawk age16 aps1.50perweeksub,,CountVectorizer,growing_net,MLPClassifier,spam,6.833496570587158,21
9,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180","thank for your ringtone range , reference bit X29 . Your mobile will be commit 4.50 . Should your tonus not come please call customer table_service 09065989180",thank ringtone range reference bit x29 mobile commit 4.50 tonus come customer table_service 09065989180,wylie tampa sarasota,CountVectorizer,growing_net,MLPClassifier,spam,3.514859437942505,24
