,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. aPS1.50 SP:Tyrone,Sunshine Quiz Wkly Q ! UNKWORDZ a top UNKWORDZ DVD player if u know UNKWORDZ country the Algarve UNKWORDZ UNKWORDZ ? UNKWORDZ ansr UNKWORDZ 82277 . UNKWORDZ UNKWORDZ : Tyrone,sunshine quiz wkly q unkwordz unkwordz dvd player u know unkwordz country algarve unkwordz unkwordz unkwordz ansr unkwordz 82277 unkwordz unkwordz tyrone,important customer service announcement freephone 0800 542 0825,CountVectorizer,sedc,RandomForestClassifier,spam,0.5661382675170898,0,0.3537880244588288,0.9756256076226404,16,0.6397400498390198,30,0.074259914457798,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1369503885507583
1,URGENT! We are trying to contact U. Todays draw shows that you have won a aPS800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,UNKWORDZ UNKWORDZ UNKWORDZ are trying to contact U. Todays UNKWORDZ shows that you have UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ . UNKWORDZ 09050001808 from land line . UNKWORDZ UNKWORDZ UNKWORDZ Valid12hrs only,unkwordz unkwordz unkwordz try contact u. today unkwordz show unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz 09050001808 land line unkwordz unkwordz unkwordz valid12hrs,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,RandomForestClassifier,spam,0.8339278697967529,1,0.3530585675352203,0.9633108586332292,16,0.33110731840133667,31,0.1884067952632904,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1188399568200111
2,GENT! We are trying to contact you. Last weekends draw shows that you won a aPS1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT ! We are trying to UNKWORDZ you . UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ you won a aPS1000 UNKWORDZ UNKWORDZ . UNKWORDZ UNKWORDZ . UNKWORDZ UNKWORDZ K52 . UNKWORDZ 12hrs only UNKWORDZ 150ppm,gent try unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz win aps1000 unkwordz unkwordz unkwordz unkwordz unkwordz unkwordz k52 unkwordz 12hrs unkwordz 150ppm,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,sedc,RandomForestClassifier,spam,0.9044854640960692,2,0.3528280596051563,0.96090668543619,23,0.37218013405799866,33,0.0949036478996276,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,-0.0720405951142311
3,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,important information 4 UNKWORDZ user . today is your lucky UNKWORDZ out why log onto UNKWORDZ THERE 'S A FANTASTIC SURPRISE AWAITING YOU !,important information 4 unkwordz user today lucky unkwordz log unkwordz fantastic surprise await,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,RandomForestClassifier,spam,0.144639253616333,3,0.3272763458758239,0.9963429379989632,7,0.5763766169548035,24,0.2176447212696075,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0758806616067886
4,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,UNKWORDZ UNKWORDZ awarded UNKWORDZ of CD UNKWORDZ or 125gift UNKWORDZ & UNKWORDZ entry 2 100 wkly UNKWORDZ UNKWORDZ UNKWORDZ to 87066,unkwordz unkwordz award unkwordz cd unkwordz 125gift unkwordz unkwordz entry 2 100 wkly unkwordz unkwordz unkwordz 87066,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,RandomForestClassifier,spam,0.5612843036651611,3,0.232682048007096,0.9045649065582482,9,0.4036494195461273,21,0.1581096053123474,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,-0.1371410936117172
5,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You have an important customer UNKWORDZ announcement . UNKWORDZ FREEPHONE UNKWORDZ 542 UNKWORDZ now !,important customer unkwordz announcement unkwordz freephone unkwordz 542 unkwordz,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,RandomForestClassifier,spam,0.2226841449737548,11,0.2863192784819943,0.9505339389293984,8,0.5396332740783691,21,0.280595451593399,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.1036256700754165
6,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,UNKWORDZ do U want UNKWORDZ UNKWORDZ ? UNKWORDZ about 100 UNKWORDZ text messages & a new UNKWORDZ phone with half price UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ UNKWORDZ now on 0800 UNKWORDZ UNKWORDZ find UNKWORDZ more !,unkwordz u want unkwordz unkwordz unkwordz 100 unkwordz text message new unkwordz phone half price unkwordz unkwordz unkwordz unkwordz unkwordz 0800 unkwordz unkwordz find unkwordz,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,sedc,RandomForestClassifier,spam,0.9685015678405762,11,0.3605596445014115,0.9809634683763176,17,0.3013802766799927,35,0.1299718171358108,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth aPS350! To Claim, Call London 02072069400. Bx 526, SW73SS",-0.0619659014046192
7,Last chance 2 claim ur aPS150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. aPS3.00 Sub. 16 . Remove txt X or STOP,Last UNKWORDZ 2 UNKWORDZ ur aPS150 worth UNKWORDZ UNKWORDZ vouchers - Text YES UNKWORDZ 85023 UNKWORDZ - member offers UNKWORDZ UNKWORDZ UNKWORDZ 08717898035 UNKWORDZ aPS3.00 Sub UNKWORDZ UNKWORDZ . Remove UNKWORDZ X UNKWORDZ UNKWORDZ,unkwordz 2 unkwordz ur aps150 worth unkwordz unkwordz voucher text yes unkwordz 85023 unkwordz member offer unkwordz unkwordz unkwordz 08717898035 unkwordz aps3.00 sub unkwordz unkwordz remove unkwordz x unkwordz unkwordz,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p,CountVectorizer,sedc,RandomForestClassifier,spam,1.0063426494598389,11,0.320253200548398,0.9482080826866932,22,0.45107629895210266,34,0.1623797714710235,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",-0.0910363718867302
8,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,I do n't UNKWORDZ u and u do n't know me . Send CHAT UNKWORDZ 86688 UNKWORDZ and let UNKWORDZ find each other ! UNKWORDZ UNKWORDZ UNKWORDZ Msg rcvd UNKWORDZ HG / Suite342/2Lands / UNKWORDZ / UNKWORDZ LDN . UNKWORDZ years or over UNKWORDZ,unkwordz u u know send chat unkwordz 86688 unkwordz let unkwordz find unkwordz unkwordz unkwordz msg rcvd unkwordz hg suite342/2lands unkwordz unkwordz ldn unkwordz year unkwordz,important customer service announcement premier freephone 0800 542 0578,CountVectorizer,sedc,RandomForestClassifier,spam,0.797616720199585,11,0.3810375707475528,0.9910598595851536,31,0.4540700912475586,44,0.1999091953039169,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth aPS350! To Claim, Call London 02072069400. Bx 526, SW73SS",-0.0895407050848007
9,todays vodafone numbers ending with 0089(my last four digits) are selected to received a aPS350 award. If your number matches please call 09063442151 to claim your aPS350 award,todays vodafone UNKWORDZ ending UNKWORDZ 0089(my last four digits UNKWORDZ are UNKWORDZ to received a aPS350 UNKWORDZ UNKWORDZ If your number matches please UNKWORDZ 09063442151 to UNKWORDZ your UNKWORDZ award,todays vodafone unkwordz end unkwordz 0089(my digit unkwordz unkwordz receive aps350 unkwordz unkwordz number match unkwordz 09063442151 unkwordz unkwordz award,4 costa del sol holiday aps5000 await collection 09050090044 toclaim sae tcs pobox334 stockport sk38xh costaps1.50 pm max10min,CountVectorizer,sedc,RandomForestClassifier,spam,0.5849666595458984,11,0.34950771917018,0.9843864763955176,10,0.6810373663902283,30,0.2214585393667221,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,-0.0402684137225151
