,label,message
0,0,Really do hope the work doesnt get stressful. Have a gr8 day.
1,0,Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...
2,1,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 aPS3/wk"
3,1,"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!"""
4,0,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second"
5,1,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
6,0,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
7,1,WINNER! As a valued network customer you hvae been selected to receive a aPS900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM
8,0,R u sure they'll understand that! Wine * good idea just had a slurp!
9,1,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
10,0,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
11,0,Wat u doing there?
12,1,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity 
13,0,Cos i want it to be your thing
14,0,"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?"
15,0,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?"
16,1,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674
17,1,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp aPS1.50/msg
18,1,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
19,1,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
20,1,Congratulations YOU'VE Won. You're a Winner in our August aPS1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.
21,0,Pls accept me for one day. Or am begging you change the number.
22,1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or aPS1000. To claim txt DIS to 87121 18+6*aPS1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
23,0,WHAT TIME U WRKIN?
24,1,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX aPS1.50
25,1,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply"
26,0,Men like shorter ladies. Gaze up into his eyes.
27,1,"URGENT!! Your 4* Costa Del Sol Holiday or aPS5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, CostaPS1.50/pm, Max10mins"
28,0,Did u turn on the heater? The heater was on and set to &lt;#&gt; degrees.
29,1,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
30,1,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???
31,0,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!"
32,1,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
33,1,100 dating service cal;l 09064012103 box334sk38ch
34,0,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
35,0,You have got tallent but you are wasting.
36,0,Am in film ill call you later.
37,1,"You are a aPS1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE"
38,0,Tell them u have a headache and just want to use 1 hour of sick time.
39,0,Dunno lei he neva say...
40,0,Wat's da model num of ur phone?
41,0,You should change your fb to jaykwon thuglyfe falconerf
42,0,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day."
43,1,CDs 4u: Congratulations ur awarded aPS500 of CD gift vouchers or aPS125 gift guaranteed & Freeentry 2 aPS100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 
44,0,How abt making some of the pics bigger?
45,0,He's in lag. That's just the sad part but we keep in touch thanks to skype
46,0,Love you aathi..love u lot..
47,0,Yo! Howz u? girls never rang after india. L
48,1,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412
49,0,:( but your not here....
50,1,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply."
51,0,K.i will send in  &lt;#&gt;  min:)
52,0,But you dint in touch with me.
53,0,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea"
54,0,Don know. I did't msg him recently.
55,0,Why are u up so early?
