,target instance,closest counterfactual,runtime,dataset_name,text_method,model_name,vectorizer,not find,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert
0,obama to apply for political asylum in moneygall,the most popular destinations in the ,0.246248722076416,fake,xspells,dnn_64,,0,popular destination,jew shielder gavin mccuck rekt jew hate female shitlord,-0.0252459547412483,0.6622912506254933,8,0.0077940961346030235,9,-0.0744654834270477
1,nato goes on high ale to block donald trump presidency put hillary clinton in power,rand paul says he ll oppose trump ,0.0437142848968505,fake,xspells,dnn_64,,0,rand paul say ll oppose trump,diamond silk,0.2813545374227721,0.7512198626022573,14,0.21581359207630157,8,0.0282537546008825
2,tesla hits a new milestone passing g m in valuation the new york times,rick and future still up in the air ,0.0490312576293945,fake,xspells,dnn_64,,1,rick future air,jew shielder gavin mccuck rekt jew hate female shitlord,0.140513952678549,0.7808266573372761,12,-0.001397168729454279,9,-0.0006855991086922
3,come back to bed explores intimacy after experiencing sexual assault,germany moves to ban of crops under ,1.505360126495361,fake,xspells,dnn_64,,2,germany move ban crop,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0761246984472511,0.6652096714843485,9,-0.13033437728881836,9,-0.0412653684616088
4,california today fighting fire with fire the new york times,howard to step down as starbucks chief ,0.0649347305297851,fake,xspells,dnn_64,,2,howard step starbucks chief,jew shielder gavin mccuck rekt jew hate female shitlord,0.2534516426802367,0.760998149379914,10,0.027989471331238747,9,-0.0649252012372016
5,americans are surprised domestic terrorism isn’t a federal crime most think it should be,if you re tired of the old way try ,0.5710680484771729,fake,xspells,dnn_64,,3,tired old way try,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0660600495680368,0.8072556431548815,14,0.06619253754615784,10,-0.0019214355852454
6,breaking trump was right,comey memo trump floated idea of talk ,0.1353797912597656,fake,xspells,dnn_64,,3,comey memo trump float idea talk,diamond silk,0.2413554253064521,0.684264797794386,7,0.310890257358551,8,-0.0137508288025856
7,retired 4 star general simply outrageous that jared kushner represents america,am i next students rally with powerful ,1.0993058681488037,fake,xspells,dnn_64,,3,student rally powerful,jew shielder gavin mccuck rekt jew hate female shitlord,0.1657650186608066,0.6083208247728147,11,0.16157940030097961,9,0.0575760602951049
8,china s version of twitter reverses gay content ban after backlash,twitter warns us say fox news isis ,0.0349893569946289,fake,xspells,dnn_64,,3,twitter warn fox news isis,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2692504928122725,0.6678165681151965,11,0.2521838843822479,9,0.0105063114315271
9,“if trump loses i’m grabbing my musket” former congressman ready to go full revolution,a republican senator just told his ,0.0654871463775634,fake,xspells,dnn_64,,3,republican senator tell,diamond silk,0.2143167201598409,0.8333995822053857,14,0.5346883535385132,7,-0.0414329767227172
10,russian ambassador to turkey is assassinated in ankara the new york times,warriors coach steve calls nfl ban ,0.0799567699432373,fake,xspells,dnn_64,,3,warrior coach steve call nfl ban,diamond silk,0.2657960174621198,0.5665138548295251,12,-0.07278743386268616,7,-0.1028193533420562
11,kiki and herb kitsch with a whisky chaser the new york times,hungry and ill in a country by the ,0.1197869777679443,fake,xspells,dnn_64,,3,hungry ill country,jew shielder gavin mccuck rekt jew hate female shitlord,0.1377618629338538,0.7317117098916212,9,0.3435118794441223,9,0.1877428889274597
12,former presidents gather for barbara bush s texas funeral,project releases video exposing illegal ,0.0625209808349609,fake,xspells,dnn_64,,3,project release video expose illegal,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0980550425100735,0.4791212463170224,9,-0.05177311599254608,9,0.0081421053037047
13,questions over melania trump’s speech set off finger pointing the new york times,republicans say people would kick ,0.0467634201049804,fake,xspells,dnn_64,,3,republican people kick,diamond silk,0.1720188967209854,0.6836357867332062,13,0.06645215302705765,6,-0.089958868920803
14,chinese american scientist who was wrongly accused of spying gets job back,wikileaks may release hillary s 33 ,1.1333096027374268,fake,xspells,dnn_64,,3,wikileak release hillary s 33,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1804366326947518,0.550175135883804,12,0.14620542526245117,9,0.0942606702446937
15,‘i feel a deep sense of remorse ’ donald trump’s ghostwriter says the new york times,5 netflix things to watch if you can ,2.278349161148072,fake,xspells,dnn_64,,3,5 netflix thing watch,jew shielder gavin mccuck rekt jew hate female shitlord,0.1370725264214715,0.7373912544553097,16,0.08141190558671951,9,-0.0635471120476722
16,the view from the mountaintop main luther king s turbulent tragic last year,all the things the nra has blamed ,0.9593477249145508,fake,xspells,dnn_64,,3,thing nra blame,jew shielder gavin mccuck rekt jew hate female shitlord,0.1879357948554336,0.7578289494767324,12,0.15692877769470215,9,0.1428905725479126
17,russia and syria warn about us shifting isis from mosul to battle assad,the jokes flow on twitter over the ,0.0228204727172851,fake,xspells,dnn_64,,3,joke flow twitter,jew shielder gavin mccuck rekt jew hate female shitlord,0.1278669040868906,0.5566871725484848,13,-0.0025545917451381683,9,0.1441304385662078
18,watch james corden get smashed in the face by a ball in slow motion,anthony weiner huma abedin marriage ,0.0182738304138183,fake,xspells,dnn_64,,3,anthony weiner huma abedin marriage,north korea demolish tunnel nuclear test site report,0.1440436207051685,0.2714827797893557,14,0.14022605121135712,8,-0.0318860858678817
19,hannity ’what has been happening to me in the last week is a kill shot’ breitba,here s what happens when a catholic ,0.0439088344573974,fake,xspells,dnn_64,,3,s happen catholic,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1157232678826896,0.8745481966282915,15,0.17363552749156952,9,0.0421789810061454
20,tied to europe britain’s car industry is vulnerable after ‘brexit’ the new york times,emily blunt says it was not in a long ,0.0361676216125488,fake,xspells,dnn_64,,3,emily blunt say long,jew shielder gavin mccuck rekt jew hate female shitlord,0.2234837225880123,0.786033377119016,14,0.07453365623950958,10,0.0141441533342003
21,trump’s stormy daniels disclosure still leaves questions about payments to cohen,watch trump depas air force one for ,0.0290808677673339,fake,xspells,dnn_64,,3,watch trump depa air force,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1701247389380167,0.7019774101238956,11,0.010519204661250114,9,0.0054825060069561
22,don t count on me too to sway the bill cosby jury,fake news comey confirms new york ,1.0514612197875977,fake,xspells,dnn_64,,3,fake news comey confirm new york,chrissy teigen explain snapchat decision feel beyoncé biter,0.269471847598417,0.4723641505577433,12,0.1664043366909027,8,0.1836205273866653
23,nyc mayor threatens to destroy idnyc database containing personal info of nearly 500 000 illegal immigrants,bob dylan will receive his nobel prize ,0.02720308303833,fake,xspells,dnn_64,,3,bob dylan receive nobel prize,jew shielder gavin mccuck rekt jew hate female shitlord,0.285405267444596,0.5704407859097755,16,-0.0034665539860725403,9,0.0224819425493478
24,bank fines elect democrats,anti aboion democrat faces primary ,0.1536319255828857,fake,xspells,dnn_64,,4,anti aboion democrat face primary,diamond silk,0.2304859000491115,0.6157064959932121,6,0.2207251936197281,6,-0.016777453944087
25,how to rig an election james o’keefe expose’ follow the money,how the refugee caravan became a scapegoat ,0.0418429374694824,fake,xspells,dnn_64,,4,refugee caravan scapegoat,diamond silk,0.2184220738509468,0.7291357766997612,10,0.13564687967300415,8,-0.0052691008895635
26,poll finds most voters embrace milestone for women if not hillary clinton the new york times,trump s call for a space force makes ,0.0235340595245361,fake,xspells,dnn_64,,4,trump s space force make,jew shielder gavin mccuck rekt jew hate female shitlord,0.1645494774635952,0.7730539144886168,15,0.06687449663877487,9,0.0292487125843763
27,harvey weinstein expected to turn himself in to the nypd for sex crimes,jewish student driven from berlin ,0.0413839817047119,fake,xspells,dnn_64,,4,jewish student drive berlin,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1988778335608998,0.6492165329284355,13,0.1023130863904953,9,0.0315580144524574
28,seeking a fresh sta without limitations the new york times,to enter u s and still stranded abroad ,0.0586376190185546,fake,xspells,dnn_64,,5,enter u s strand abroad,jew shielder gavin mccuck rekt jew hate female shitlord,0.1945440711565102,0.7429649592505344,10,0.2633490264415741,9,-0.0063810287974774
29,michael moore threatens dems block gorsuch or face primaries,twitter warns say to change all their ,0.073350191116333,fake,xspells,dnn_64,,5,twitter warn change,jew shielder gavin mccuck rekt jew hate female shitlord,0.1480935787712285,0.6096739185306856,9,-0.00015044771134853363,9,-0.0366734452545642
30,jim carrey skewers trump s bromance with macron in clever new awork,4 years after hurricane sandy 2 households ,0.0422384738922119,fake,xspells,dnn_64,,5,4 year hurricane sandy 2 household,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0249526654745012,0.3103809880379808,12,0.08792570978403091,9,-0.0474272891879081
31,184 u s generals and admirals endorse trump for commander in chief,nyt on trump s rise is more than just ,0.0482628345489501,fake,xspells,dnn_64,,5,nyt trump s rise,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1498222519905459,0.6611788385058258,12,0.24924896657466888,10,0.084235593676567
32,the murder of a black brazilian politician has only amplified her cause,hillary now to keep fighting off we ,1.5459671020507812,fake,xspells,dnn_64,,5,hillary fight,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.150561430041307,0.7419533443597834,12,0.20842459797859192,9,0.1002607867121696
33,israel reverses course hours after signing u n deal to resettle african migrants,thousands march in france over the ,0.0293653011322021,fake,xspells,dnn_64,,5,thousand march france,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0924972233478415,0.7047737312022379,13,0.14361710846424103,9,0.0923065915703773
34,vincent viola billionaire businessman is trump’s choice to lead the army the new york times,appeals cou trump administration can ,0.0433042049407959,fake,xspells,dnn_64,,5,appeal cou trump administration,diamond silk,0.1690858850556322,0.6215278432573093,15,0.26092293858528137,6,-0.1980950385332107
35,rick and moy future still up in the air says co creator dan harmon,red ale politics anti trump protesters ,0.0336120128631591,fake,xspells,dnn_64,,5,red ale politics anti trump protester,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.18870804704457,0.5647781013933458,14,-0.053018033504486084,9,-0.0987739413976669
36,deadpool and david beckham hug out feud in deadpool 2 teaser,republicans don t appear too concerned ,1.0741968154907229,fake,xspells,dnn_64,,5,republican don t appear concerned,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1524137601335669,0.4842013169880976,11,0.05022849515080452,9,-0.0984472036361694
37,opposing nba teams unite to wear shis honoring stephon clark,larry kudlow is the perfect of republican ,2.0252954959869385,fake,xspells,dnn_64,,6,larry kudlow perfect republican,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.21764136236246,0.5276852873965603,10,-0.027890726923942566,9,-0.0681254714727401
38,solange s durag was the true mvp at the met gala,has venezuela – so why does the opposition ,1.13427734375,fake,xspells,dnn_64,,7,venezuela opposition,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0916390162528433,0.6305569608742947,10,0.1370171159505844,9,-0.0069541675038635
39,too many millennials are cool with communism,assad must stay us policy shift in ,0.0813295841217041,fake,xspells,dnn_64,,7,assad stay policy shift,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0673020124207911,0.6714038135771065,8,0.16568176448345184,9,-0.0709100887179374
40,oregon man refuses to pay taxes based on religious beliefs about aboion,trump throws rudy giuliani under the ,0.5698666572570801,fake,xspells,dnn_64,,7,trump throw rudy giuliani,diamond silk,0.2339616238306652,0.4990799850067847,12,-0.03854145109653473,7,0.0030195997096598
41,jets chairman christopher johnson won t fine players for anthem protests,law order svu tackles trans military ,0.0438084602355957,fake,xspells,dnn_64,,7,law order svu tackle trans military,diamond silk,0.1722699570900485,0.4866849864155976,11,0.11951779574155807,7,-0.1434028595685959
42,tens of thousands in hungary protest far right leader viktor orbán,magazine despite political success ,0.0472521781921386,fake,xspells,dnn_64,,8,magazine despite political success,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0414079646729561,0.6562299923452902,11,0.15303923189640045,9,0.0369247384369373
43,tonight show says this is us is whip his nuts fan doesn t notice,jeff sessions justice dept under trump ,0.0183980464935302,fake,xspells,dnn_64,,8,jeff session justice dept trump,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2709946866075776,0.5645207629963576,14,0.0435023233294487,9,-0.1429440677165985
44,james comey discussing pee tape dossier with trump was out of body experience,twitter freaks out when white people ,1.6956052780151367,fake,xspells,dnn_64,,8,twitter freak white people,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.166037139890348,0.7139244380115449,13,0.18472068011760712,9,0.0150443576276302
45,bank of canada commentary whipsaws loonie,to his boyfriend with a flash mob ,0.1269350051879882,fake,xspells,dnn_64,,9,boyfriend flash mob,wikileak obama saudi agent,0.2176512754753319,0.3727154570930143,8,-0.05217871069908142,8,0.1583339571952819
46,gop we will be united against any supreme cou nominee of hillary clinton video,memo to trump fire janet yellen now ,0.0178463459014892,fake,xspells,dnn_64,,11,memo trump fire janet yellen,diamond silk,0.2790305728640551,0.7388626040405666,14,0.05760814994573593,8,-0.1128506138920784
47,china showcases advanced missile following mattis visit to japan breitba,the nba shows its love for gregg after ,0.1153879165649414,fake,xspells,dnn_64,,11,nba show love gregg,jew shielder gavin mccuck rekt jew hate female shitlord,0.2065479793788214,0.5726021753423693,10,-0.015919186174869537,9,0.1202032566070556
48,repo ny gov andrew cuomo hires 2 florida fundraisers in move toward presidential bid breitba,bolton aided an fbi investigated moscow ,0.0405848026275634,fake,xspells,dnn_64,,11,bolton aid fbi investigate moscow,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2108158499665586,0.5671713063647,15,-0.014803504571318626,9,-0.0685459971427917
49,josh holt american captive in venezuela begs for help in prison videos,china s version of twitter reverses ,0.0568065643310546,fake,xspells,dnn_64,,11,china s version twitter reverse,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1309057167212903,0.5821246006365194,12,-0.014471013098955154,9,-0.0159273631870746
50,a chinese nuclear site hidden in a mountain is reborn as a tourist draw the new york times,a gay take on the golden girls has ,0.8581082820892334,fake,xspells,dnn_64,,11,gay golden girl,gorka smite hater radical islamist jerusalem post speech breitbart,0.2226201775702607,0.859430267578092,17,0.11985411494970322,9,0.1259624063968658
51,coal baron subsidize coal ‘to make sure grandma doesn’t die on the operating table’,instant justice in a traffic is the ,0.8877601623535156,fake,xspells,dnn_64,,11,instant justice traffic,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0194171754208808,0.7165167053188014,13,0.026348428800702095,9,-0.0495754592120647
52,wall street cheers as joe biden smacks hillary clinton in vegas ‘i never thought she was the correct candidate’,anti queer eye protests a ‘ one ’ ,0.0427956581115722,fake,xspells,dnn_64,,11,anti queer eye protest,donald trump mention roseanne,0.2576476854517204,0.7378705545547323,19,0.06936082988977432,9,0.1215865835547447
53,channel 4 announces neverending cycle of gogglebox spinoffs,roseanne barr dreams of being prime ,0.1564183235168457,fake,xspells,dnn_64,,11,roseanne barr dream prime,diamond silk,0.2808918840036445,0.4501205408138381,8,-0.00240962952375412,7,-0.0337100811302661
54,trump and the american far right stoke hate in canada,republicans are attacking nancy pelosi ,0.0557901859283447,fake,xspells,dnn_64,,12,republican attack nancy pelosi,15 unique gift mom mother day,0.2494552302908117,0.5591872997039842,10,0.25145888328552246,6,-0.0736307725310325
55,comey ag lynch directed me to call hillary email investigation a ‘matter’ breitba,maryland democrats went too far in ,0.0247886180877685,fake,xspells,dnn_64,,13,maryland democrats go far,diamond silk,0.2572746504625545,0.6467214065951098,13,0.1750720739364624,7,-0.1037379652261734
56,re prescription painkiller crisis why do americans consume 80 percent of all prescription painkillers,here s what to know about the bill ,1.5377871990203855,fake,xspells,dnn_64,,14,s know bill,jew shielder gavin mccuck rekt jew hate female shitlord,0.124854100679284,0.6894743287242879,14,0.05808832868933678,9,-0.0142273688688874
57,obamacare repeal stalled by moderate republican opposition breitba,marvel lied to us about avengers infinity ,0.0558576583862304,fake,xspells,dnn_64,,14,marvel lie avengers infinity,diamond silk,0.2909741371171715,0.3062006895990173,8,0.09783827513456345,8,0.0438705570995807
58,paul ryan s whole career was about sticking it to the poor and elderly,stephen colbe ’ s donald trump inspired ,0.0230512619018554,fake,xspells,dnn_64,,14,stephen colbe s donald trump inspire,police arrest 141 crackdown north dakota pipeline protester,0.2952356283722762,0.5814995073590713,14,0.3491891026496887,8,0.0855432525277137
59,bet chairman and ceo debra lee is stepping down,infinity war writers try to clear ,1.0132873058319092,fake,xspells,dnn_64,,14,infinity war writer try clear,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0633139708663007,0.5644457486346897,9,-0.057980578392744064,9,0.1346623301506042
60,the trump white house s intern program is once again very very white,the facebook s emojis are you how ,0.0275633335113525,fake,xspells,dnn_64,,15,facebook s emoji,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.116068092088589,0.7063325752608689,11,0.10966116189956665,9,0.0951932892203331
