,closest counterfactual,target instance,dataset_name,text_method,vectorizer,not find,runtime,model_name,closest_counterfactual \stopword,closest_true_instance,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,Bill Gates Says Trump Didn't Know The Difference Between HPV And Cancer,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,fake,Polyjuice,_TfidfVectorizer,279,23.56753611564636,dnn,bill gate say trump know difference hpv cancer,idris elba star new hunchback notre dame netflix,0.1895421526333465,0.9838716289876502,1,0.8969970941543579,12,-0.0579131580889225,"Lena Waithe, Greg Berlanti To Receive Prestigious LGBTQ Honors",-0.1857559829950332
1,Corey's screen presence is so flat and brief that he leaves the entire picture shaking at all times.,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,fake,Polyjuice,_TfidfVectorizer,279,31.822545528411865,dnn,corey screen presence flat brief leave entire picture shake time,idris elba star new hunchback notre dame netflix,0.1787974040495049,0.6447608718717662,18,0.14620870351791382,18,0.0996650978922844,Budget Deal Increases Wildfire Disaster Funding By $2 Billion Annually,-0.2147622257471084
2,"Donald Trump's transition team announced on Friday that they would fire head coach Mike Powers, and replace him with a player who would be named later in the season.",Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,fake,Polyjuice,_TfidfVectorizer,279,22.49369502067566,dnn,donald trump transition team announce friday fire head coach mike power replace player name later season,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1020656397464911,0.8186084706471091,28,0.0716705322265625,29,0.0629011690616607,Syrian Kurds Warn US: Turkey Can’t Be Involved in Raqqa Invasion,-0.1913683265447616
3,Mark Levin on the allegations: ’The Evidence Is Overwhelming’ - Breitbart.,Mark Levin on Trump Wiretapping Claims: ’The Evidence Is Overwhelming’ - Breitbart,fake,Polyjuice,_TfidfVectorizer,279,23.233152866363525,dnn,mark levin allegation evidence overwhelming breitbart,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.0903327056473802,0.9454401709845,4,0.8191215991973877,11,0.0174141246825456,"Ethiopian Runner Won’t Return Home, but Doesn’t Know Where to Go - The New York Times",-0.1937537789344787
4,"Great Movie 'This Is America' Video, Explained","Childish Gambino's 'This Is America' Video, Explained",fake,Polyjuice,_TfidfVectorizer,279,26.67815017700196,dnn,great movie america video explain,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1270773541094563,0.897664053422098,2,0.7506887316703796,9,0.055539634078741,Bank of England Official Resigns After Critical Parliament Report - The New York Times,-0.1547682136297226
5,A Native American is playing a concert.,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",fake,Polyjuice,_TfidfVectorizer,279,24.16522026062012,dnn,native american play concert,kate mckinnon break impression rudy giuliani,0.2100937261518003,0.7299774138568853,11,0.23725000023841858,7,0.0363814160227775,"Clinton, Trump Both Promise Hands Off Social Security",-0.2241441756486892
6,"Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Sam","Left Blasts Pepsi, Kendall Jenner for ’Appropriating’ Anti-Trump ‘Resistance’ to Sell Soda",fake,Polyjuice,_TfidfVectorizer,279,23.59979772567749,dnn,leave blast pepsi kendall jenner appropriate anti trump resistance sell sam,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.2634312710670582,0.9780553519411284,1,0.9346511960029602,12,0.1148891896009445,EBOLA VICTIM RISES FROM THE DEAD IN AFRICA,-0.2165239155292511
7,Are they still relevant today?,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary",fake,Polyjuice,_TfidfVectorizer,279,31.982852458953857,dnn,relevant today,idris elba star new hunchback notre dame netflix,0.0837198456073117,0.7853867168202449,18,0.16500763595104218,8,0.0770853608846664,Father Seeking Justice For Teen’s Alleged Rape At Hands Of Indian Lawmaker Dies In Custody,-0.1885824799537658
8,Obama To Sue For Political Asylum In Moneygall,Obama To Apply For Political Asylum In Moneygall,fake,Polyjuice,_TfidfVectorizer,279,21.82876563072205,dnn,obama sue political asylum moneygall,gwen stefani superfan beat gwen stefani gwen stefani quiz,0.1253994598454277,0.9571590169894462,1,0.8138699531555176,9,-0.1414608061313629,Chart Of The Day: Mind The Big Rigs—-Class 8 Truck Sales Down 46% Since Peak,-0.2031254917383194
9,"Regardless of ‘ political ideology or religious enthusiasm,","Regardless of ‘Brexit’ Vote, Experts Say, E.U. Must Rethink Status Quo - The New York Times",fake,Polyjuice,_TfidfVectorizer,279,25.92058515548706,dnn,regardless political ideology religious enthusiasm,gwen stefani superfan beat gwen stefani gwen stefani quiz,-0.0156138580866152,0.7963442027859109,14,0.3055287301540375,9,-0.0034236733336001,Bus in Crash That Killed 6 in Chattanooga Had Strayed From Route - The New York Times,-0.2637069225311279
