,target instance,closest counterfactual,closest_counterfactual \stopword,closest_true_instance,vectorizer,text_method,model_name,dataset_name,runtime,not find,closest_similaritys,distance cf target,distance counterfactual target instance lev,distance counterfactual target instance bert,distance counterfactual closest_true_instance lev,distance counterfactual closest_true_instance bert,closest_true_instance_bert,closest_similaritys_bert
0,Bill Gates Says Trump Didn't Know The Difference Between HPV And HIV,circular Gates order horn set n't Know The conflict betwixt HPV And HIV,circular gate order horn set know conflict betwixt hpv hiv,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,3.09458589553833,2,0.1354876943931247,0.8849460342185754,7,0.47008103132247925,13,0.0904387906193733,"'American Idol' Performer Is So Good, Katy Perry Drops Her Chair",-0.2416343688964843
1,Kylie Jenner's Ex-Bodyguard Tim Chung Denies He's Actually Stormi's Father,Kylie Jenner 's demode - Bodyguard Tim Chung admit atomic_number_2 's Actually Stormi 's Father,kylie jenner demode bodyguard tim chung admit atomic_number_2 actually stormi father,diamond silk,CountVectorizer,growing_net,RandomForestClassifier,fake,0.6830790042877197,2,0.2508203925753849,0.9694520276573908,10,0.8450459241867065,15,0.0370081961154937,Women In Iceland Leave Work 14% Early To Protest The Country’s 14% Wage Gap,-0.2369118332862854
2,U.S. Embassy In Jerusalem Opens Its Doors As Protests Rage Nearby,US Embassy In Jerusalem outdoors Its Doors As Protests Rage Nearby,embassy jerusalem outdoors door protest rage nearby,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.4075155258178711,4,0.0759586250295423,0.9577971961378342,2,0.9001915454864502,11,-0.1048793569207191,3 Health Supplements To Maximize Wellness,-0.181268110871315
3,Trump's Complaints About Obama Giving Away Syria Strategy Look Pretty Silly Now,Trump 's charge About Obama Giving Away Syria Strategy Look Pretty Silly Now,trump charge obama give away syria strategy look pretty silly,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,RandomForestClassifier,fake,0.2474923133850097,4,0.3057048388011799,0.9864185947056074,3,0.9542419910430908,13,0.0547244325280189,Serena Williams Beats Venus Williams to Win Her 7th Australian Open Title - The New York Times,-0.1767986863851547
4,Teen Uses 'Grey's Anatomy' For Secret Yearbook Message About Being Gay,adolescent US ' Grey 's figure ' For Secret Yearbook subject_matter About Being mirthful,adolescent grey figure secret yearbook subject_matter mirthful,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,1.8729143142700195,4,0.083701987818569,0.91019447386068,9,0.6423355340957642,14,-0.0189018957316875,"Militia That Took Over Wildlife Refuge Acquitted on Conspiracy, Weapons Charges",-0.2121798247098922
5,"Childish Gambino's 'This Is America' Video, Explained","Childish Gambino 's ' This Is US ' Video , Explained",childish gambino video explain,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.2084681987762451,6,0.1200555524972758,0.97749190900549,8,0.930396556854248,11,0.1123407483100891,Desiree Linden Becomes First American Woman To Win Boston Marathon In 33 Years,-0.1994544714689254
6,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","# NoDAPL : Native American Leaders consecrate to rest totally Winter , lodge case Against law",nodapl native american leader consecrate rest totally winter lodge case law,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,4.54800820350647,7,0.0509637908019049,0.9319844867048128,11,0.7832803726196289,16,-0.0480470731854438,Kathy Griffin Earns Rave Reviews With Hilarious Impersonation Of Kellyanne Conway,-0.195381224155426
7,"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary","Dakota Excess Pipeline ? Standing Rock Protectors Strip - Searched , lag for Days on Minor Charges – TV , Links , and Commentary",dakota excess pipeline stand rock protector strip search lag day minor charge tv link commentary,jew shielder gavin mccuck rekt jew hate female shitlord,CountVectorizer,growing_net,RandomForestClassifier,fake,0.241603136062622,10,0.1221502392248946,0.9828384802979326,11,0.9058719873428345,24,-0.0121928816661238,7 Foods That Will Naturally Cleanse Your Liver,-0.1855269968509674
8,"Oliver North, Key Player In Iran-Contra Scandal, Named NRA President","Oliver compass_north , Key Player inwards Persia - Contra Scandal , Named NRA President",oliver compass_north key player inwards persia contra scandal name nra president,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.8075828552246094,10,0.2041105310749388,0.9453053822311918,8,0.7917424440383911,14,0.1149466931819915,Dozens Dead After Suicide Bomber Blows Himself Up Near Kabul Shrine,-0.1818988770246505
9,Obama To Apply For Political Asylum In Moneygall,Obama To Apply For Political sanctuary In Moneygall,obama apply political sanctuary moneygall,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.1999056339263916,11,0.0407598693503946,0.9536226097509176,1,0.8360617160797119,9,-0.1340746879577636,"Italian Train Derails in Switzerland, Seven Injured",-0.2857020199298858
10,NY State Police Building MS-13 Unit,NY res_publica constabulary Building MS-13 Unit,ny res_publica constabulary building ms-13 unit,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.4170417785644531,13,0.0807196986572138,0.8752263081500381,2,0.78072190284729,9,0.0161286033689975,Diamond And Silk Appear To Lie Under Oath About Trump Payments,-0.2316454201936721
11,Officer Puts Man In Chokehold Outside A North Carolina Waffle House,Officer Puts human Hoosier_State Chokehold Outside A North Carolina Waffle star_sign,officer put human hoosier_state chokehold outside north carolina waffle star_sign,gwen stefani superfan beat gwen stefani gwen stefani quiz,CountVectorizer,growing_net,RandomForestClassifier,fake,0.8666238784790039,14,0.1905620473582495,0.950207073666684,3,0.7325400710105896,11,-0.0190250948071479,The 7 Best Netflix Shows And Movies Debuting April 2018,-0.3250430822372436
